# p n (o, c) time_rains time_ellrains time_pari time_javad
# p prime from 2^5
# n prime from 2^9 to 2^10
# o is auxiliary extension degree for Rains
# c is order of p mod n
# timing of 0 means the algorithm failed or was too long
# using Sage 7.0
37 521 (32, 130) 0 10.0496908 61.1128356 18.851086
37 523 (10, 522) 0 9.233594 553.771939 25.9970652
37 541 (18, 540) 0 11.339935 291.566834 28.7876056
37 547 (2, 546) 5.8415826 9.5981402 302.00445 28.869277
37 557 (2, 556) 6.003186 9.7734142 325.11485 30.6787258
37 563 (14, 562) 0 10.1330942 336.47706 31.8021514
37 569 (1, 568) 0.7661436 12.704731 353.262102 32.4540526
37 571 (2, 285) 6.4839176 11.0053092 175.0451325 28.5674736
37 577 (4, 64) 0 10.4920936 39.8450216 22.669341
37 587 (14, 586) 0 12.680015 397.198359 35.2674712
37 593 (1, 74) 0.8160794 13.4380922 27.7782514 16.6059236
37 599 (8, 299) 0 13.4141406 210.705053 32.0496594
37 601 (2, 30) 7.2039666 12.3547318 21.1380874 23.6260216
37 607 (2, 202) 7.2566202 12.4052566 146.520177333 29.9267018
37 613 (5, 17) 0 12.727543 12.706283 24.3468134
37 617 (4, 308) 0 14.678604 234.843993 33.722582
37 619 (4, 309) 0 12.4579724 237.6803855 34.2081808
37 631 (5, 126) 0 15.7757826 101.250836 30.5603086
37 641 (1, 160) 0.974963 13.2164686 68.6740304 20.4145396
37 643 (2, 642) 8.386572 14.1745268 1095.311631 43.6754516
37 647 (14, 646) 0 17.4408362 572.056542 44.1466066
37 653 (1, 652) 1.0418436 15.1624482 323.715778 34.136724
37 659 (2, 329) 8.7347288 15.621503 160.5988595 28.6630728
37 661 (6, 660) 0 15.2514248 623.573231 46.7377048
37 673 (4, 28) 0 15.5451266 27.031079 31.3361484
37 677 (8, 338) 0 17.0399982 334.015814 42.1544662
37 683 (2, 62) 9.3672906 16.07297 29.4285136 22.2724056
37 691 (2, 345) 9.6946602 17.2726338 360.81207 45.3378986
37 701 (6, 700) 0 20.401135 779.270696 55.0650862
37 709 (1, 708) 1.2380502 20.6272774 810.338432 56.2687596
37 719 (1, 359) 1.283376 18.0124438 229.5219315 41.6912834
37 727 (4, 726) 0 23.3607866 895.842451 60.8207802
37 733 (10, 183) 0 22.4210896 224.551624 46.3886222
37 739 (1, 41) 1.3746822 24.177892 51.3502026 41.7218208
37 743 (1, 53) 1.3689642 23.7812386 36.3774602 27.5448734
37 751 (1, 375) 1.4208646 19.927324 497.48927 57.7983616
37 757 (16, 756) 0 23.935238 1046.256356 67.3237086
37 761 (2, 380) 12.1255208 20.6464586 278.1575745 42.7365842
37 769 (10, 768) 0 23.1456252 1092.667563 67.1505156
37 773 (2, 193) 12.5158242 21.7416924 273.0405635 52.3005524
37 787 (2, 393) 12.977706 22.6301096 590.464916 61.4606334
37 797 (1, 796) 1.6341034 27.9579446 1260.498395 75.373327
37 809 (1, 808) 1.6028304 22.8495732 716.572963 61.755164
37 811 (10, 135) 0 27.05348 218.718309 55.7207502
37 821 (8, 82) 0 23.9698794 137.912886 54.794623
37 823 (2, 411) 14.3193386 24.6266476 704.092929 70.4796828
37 827 (14, 826) 0 25.572184 1453.396426 83.124436
37 829 (5, 828) 0 27.3851168 2891.544698 84.95780825
37 839 (4, 419) 0 32.7143352 758.205394 73.593327
37 853 (2, 284) 15.5816984 27.5323088 536.282446 72.72218
37 857 (2, 856) 15.9670922 26.9237574 1666.607016 90.34770025
37 859 (22, 858) 0 29.5042434 1680.826117 92.97630825
37 863 (3, 431) 0 27.3444896 845.500747 81.79769125
37 877 (8, 219) 0 28.7842736 444.094571 73.491722
37 881 (18, 440) 0 32.915871 915.185223 84.6082335
37 883 (4, 294) 0 37.086522 610.726055 79.74394775
37 887 (6, 443) 0 33.4682214 940.492324 87.78889225
37 907 (3, 906) 0 36.3163398 2070.234306 104.871759333
37 911 (1, 910) 1.99981820001 36.5570258 1118.383011 83.2944485
37 919 (4, 918) 0 42.0992528 2183.630256 109.555042333
37 929 (4, 232) 0 35.8216392 556.01531 87.3044485
37 937 (1, 468) 2.3866046 36.7940742 1161.252324 100.781658333
37 941 (6, 94) 0 43.3090398 233.6117455 80.3935145
37 947 (6, 946) 0 34.8938158 2445.703812 118.694139
37 953 (2, 476) 20.0972116 35.643199 649.140347 86.19883525
37 967 (8, 966) 0 47.6044402 2650.902338 126.713411333
37 971 (6, 485) 0 35.5643012 1328.499848 109.815875333
37 977 (1, 976) 2.5956662 37.9340084 2754.337938 126.093635667
37 983 (7, 491) 0 38.0442706 1396.669051 115.114971
37 991 (18, 330) 0 48.6587176 957.447928 107.670303667
37 997 (2, 332) 22.1349414 40.252562 979.68957 108.191937
37 1009 (5, 72) 0 42.689379 219.144493 96.4769415
37 1013 (2, 1012) 22.7719892 41.4336934 2415.951794 196.0882285
37 1019 (1, 1018) 2.8441504 55.1172258 1719.198646 101.316556
37 1021 (5, 1020) 0 52.7882198 3289.786108 150.1885515
41 521 (32, 520) 0 12.644322 251.3824675 25.6532998
41 523 (10, 87) 0 9.1447298 41.0704872 18.4170088
41 541 (18, 27) 0 9.6033978 14.1435338 18.3760512
41 547 (5, 6) 0 11.0043742 3.3713368 18.3140698
41 557 (6, 556) 0 12.0902222 325.237514 30.8273442
41 563 (14, 562) 0 10.6880656 336.778201 31.3960798
41 569 (6, 142) 0 12.9489672 85.55693925 24.2565884
41 571 (2, 114) 6.6624062 11.3905802 69.1656874 23.6396236
41 577 (4, 192) 0 10.9170152 119.976711667 26.3328802
41 587 (14, 586) 0 13.5485004 396.440365 35.107425
41 593 (1, 592) 0.826911999995 14.1625268 227.7330675 28.7952588
41 599 (1, 299) 0.877125799999 12.4501638 210.2307165 32.2371406
41 601 (3, 600) 0 12.0857424 434.818226 37.7290972
41 607 (6, 303) 0 14.6391918 221.0087765 33.1775244
41 613 (10, 153) 0 12.6935474 113.164625 28.6652846
41 617 (8, 308) 0 13.626375 234.293309 33.8956654
41 619 (4, 309) 0 15.3738128 237.144166 34.3412154
41 631 (10, 63) 0 13.5595976 50.456063 28.3584692
41 641 (2, 640) 8.3603114 15.364919 299.715263 30.7696838
41 643 (6, 642) 0 16.605252 557.405135 43.6581698
41 647 (7, 323) 0 15.672442 280.754157 37.9138668
41 653 (1, 652) 1.0586612 15.2327992 323.959022 37.4626416
41 659 (2, 94) 8.9346328 15.596047 48.472518 15.1021038
41 661 (1, 165) 1.1158766 19.0794984 151.267791 35.0175808
41 673 (4, 224) 0 16.0183018 216.1530555 38.3722402
41 677 (4, 169) 0 15.6671142 165.5462555 36.525628
41 683 (2, 682) 9.6062714 16.1159118 386.018865 37.8964212
41 691 (5, 690) 0 19.3480832 735.512145 52.7945422
41 701 (3, 350) 0 20.7969236 382.449938 47.6742466
