# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[3,2**10], nbound=[2**8,2**10], prime=2, loops=3, verbose=True, write=True, fname=os.getcwd()+'/02.dat')
3 257 (2, 256) 0.406666666667 0.249333333333 0 4.62133333333 1.78933333333 1.68666666667 1.056 2.292
3 263 (20, 131) 44.004 0 0 2.21866666667 1.076 1.07866666667 0.736 2.36533333333
3 269 (8, 268) 6.15066666667 0 0 18.448 2.21066666667 2.21866666667 1.33733333333 2.81866666667
3 271 (5, 30) 2.34533333333 0 0 1.82666666667 0.336 0.264 0.186666666667 1.76266666667
3 277 (4, 69) 1.592 0 0 4.74 0.652 0.561333333333 0.394666666667 2.01466666667
3 281 (1, 280) 0.0293333333333 0 0 11.596 2.47733333333 2.52666666667 1.552 2.63066666667
3 283 (17, 282) 36.784 0 0 22.2746666667 2.664 2.748 1.648 3.33466666667
3 289 (16, 272) 32.948 0 0 21.4933333333 1.864 2.556 1.57733333333 3.32266666667
3 293 (1, 292) 0.0306666666667 0 0 13.2893333333 2.652 2.728 1.636 2.71066666667
3 307 (4, 34) 1.94666666667 0 0 2.93866666667 0.432 0.344 0.244 2.32666666667
3 311 (2, 155) 0.569333333333 0.341333333333 0 15.1653333333 1.75466666667 1.824 1.19733333333 3.356
3 313 (2, 39) 0.572 0.353333333333 0 3.588 0.5 0.398666666667 0.281333333333 2.52266666667
3 317 (13, 316) 25.976 0 0 33.9853333333 3.584 3.40933333333 2.14266666667 4.47333333333
3 331 (16, 330) 44.612 0 0 39.5373333333 3.888 3.51066666667 2.244 4.7
3 337 (5, 168) 3.69333333333 0 0 20.1786666667 2.10266666667 1.98 1.324 3.94133333333
3 343 (4, 294) 2.37466666667 0 0 37.488 3.17466666667 4.42 2.66666666667 5.37066666667
3 347 (8, 173) 10.304 0 0 22.7506666667 2.33333333333 2.31466666667 1.49466666667 4.31066666667
3 349 (5, 174) 3.908 0 0 23.2906666667 2.388 2.45733333333 1.63733333333 4.45066666667
3 353 (7, 352) 8.14933333333 0 0 49.552 4.40933333333 3.90933333333 2.42266666667 5.44533333333
3 359 (1, 179) 0.0479999999999 0 0 13.6106666667 2.44933333333 2.51733333333 1.63466666667 3.628
3 361 (10, 342) 18.9426666667 0 0 50.3733333333 3.35466666667 4.312 2.68 5.77333333333
3 367 (2, 122) 0.788 0.497333333333 0 18.508 1.93466666667 1.79066666667 1.2 4.516
3 373 (4, 186) 2.80933333333 0 0 29.9506666667 2.832 2.892 1.82266666667 5.29466666667
3 379 (28, 378) 215.168 0 0 66.776 5.912 5.496 3.46133333333 7.016
3 383 (2, 191) 0.958666666667 0.577333333333 0 33.596 3.18133333333 3.316 2.07466666667 5.81866666667
3 389 (19, 388) 95.0293333333 0 0 71.4453333333 5.95466666667 4.97333333333 3.24 7.004
3 397 (2, 198) 0.869333333333 0.548 0 38.012 3.50266666667 3.38933333333 2.20133333333 6.372
3 401 (8, 400) 15.1973333333 0 0 89.792 10.244 9.228 5.69733333333 11.1893333333
3 409 (4, 204) 4.55466666667 0 0 58.14 4.39733333333 5.68666666667 3.35333333333 10.48
3 419 (1, 209) 0.134666666667 0 0 34.6973333333 6.20666666667 6.172 3.22133333333 9.2
3 421 (5, 105) 9.97066666667 0 0 31.6906666667 3.392 2.69066666667 2.168 9.72666666667
3 431 (1, 43) 0.0786666666666 0 0 7.37333333333 1.57733333333 1.29066666667 0.785333333333 5.916
3 433 (4, 27) 6.27333333333 0 0 8.51066666667 1.076 0.829333333333 0.337333333333 8.812
3 439 (5, 146) 9.13333333333 0 0 48.896 4.444 4.852 3.01066666667 12.5213333333
3 443 (1, 221) 0.136 0 0 41.1546666667 7.644 7.316 5.28133333333 8.87066666667
3 449 (8, 448) 20.9533333333 0 0 134.169333333 9.324 7.544 4.86133333333 10.912
3 457 (2, 228) 1.34133333333 0.906666666667 0 69.344 5.26266666667 5.036 3.25466666667 9.736
3 461 (4, 460) 4.90533333333 0 0 150.138666667 10.2266666667 8.808 5.40533333333 11.852
3 463 (1, 462) 0.121333333333 0 0 153.917333333 10.952 9.55333333333 5.83866666667 12.4986666667
3 467 (2, 233) 1.292 0.997333333333 0 76.9186666667 5.94533333333 5.688 3.83733333333 10.4826666667
3 479 (8, 239) 23.096 0 0 84.6266666667 6.408 6.54133333333 4.03333333333 11.3066666667
3 487 (4, 486) 5.34666666667 0 0 185.544 12.2173333333 11.14 6.588 14.1186666667
3 491 (1, 49) 0.101333333333 0 0 8.90933333333 1.50533333333 1.20933333333 0.772 6.28133333333
3 499 (4, 166) 5.69466666667 0 0 77.476 6.28933333333 5.09866666667 4.19333333333 14.7186666667
3 503 (2, 251) 2.02666666667 1.17066666667 0 114.254666667 7.652 7.86 4.824 13.7813333333
3 509 (1, 508) 0.113333333333 0 0 114.578666667 13.7533333333 13.296 7.73066666667 12.956
3 521 (32, 520) 1090.07066667 0 0 304.34 20.7933333333 15.7026666667 11.416 26.5373333333
3 523 (5, 58) 13.9946666667 0 0 30.356 2.38666666667 1.368 0.952 11.0533333333
3 529 (11, 253) 67.3586666667 0 0 115.298666667 5.76 6.176 4.02133333333 14.5493333333
3 541 (11, 135) 63.7613333333 0 0 65.1853333333 4.84266666667 3.72133333333 2.55733333333 13.8613333333
3 547 (5, 14) 11.216 0 0 5.492 0.910666666667 0.421333333333 0.249333333333 11.496
3 557 (2, 556) 1.84933333333 1.27866666667 0 309.002666667 18.84 15.5546666667 9.45066666667 21.4533333333
3 563 (7, 281) 24.5053333333 0 0 156.306666667 11.0226666667 10.0733333333 6.22266666667 18.4093333333
3 569 (2, 568) 1.97066666667 1.324 0 334.693333333 19.5773333333 16.8706666667 10.0053333333 22.9093333333
3 571 (5, 570) 12.3933333333 0 0 348.852 27.6306666667 23.7586666667 15.2746666667 32.5386666667
3 577 (4, 48) 9.53466666667 0 0 32.06 2.83333333333 1.40133333333 0.842666666666 18.592
3 587 (7, 293) 38.1293333333 0 0 227.481333333 12.0186666667 10.5853333333 6.688 20.4053333333
3 593 (1, 592) 0.162666666667 0 0 198.777333333 20.136 17.0826666667 10.2386666667 17.0226666667
3 599 (8, 299) 38.608 0 0 200.162666667 12.6973333333 11.4653333333 7.14933333333 21.7266666667
3 601 (2, 75) 2.12 1.35866666667 0 48.6053333333 3.392 2.28133333333 1.568 16.552
3 607 (17, 606) 222.150666667 0 0 431.821333333 25.4946666667 19.5213333333 12.2173333333 26.7626666667
3 613 (5, 102) 14.6746666667 0 0 69.404 4.58 3.22133333333 2.18 17.516
3 617 (8, 616) 41.7693333333 0 0 499.416 24.4013333333 19.4613333333 12.1653333333 28.152
3 619 (4, 206) 9.13866666667 0 0 148.050666667 9.744 7.764 5.11733333333 21.044
3 625 (4, 500) 10.4946666667 0 0 373.170666667 17.456 19.648 13.5973333333 29.4573333333
3 631 (1, 630) 0.202666666667 0 0 500.184 27.76 20.832 13.3693333333 29.3666666667
3 641 (1, 640) 0.189333333333 0 0 260.425333333 24.444 18.0306666667 11.7213333333 21.3853333333
3 643 (1, 214) 0.212000000002 0 0 188.805333333 14.2733333333 9.36133333333 6.932 30.5466666667
3 647 (1, 323) 0.234666666668 0 0 284.928 15.1506666667 11.5266666667 7.94133333334 25.4
3 653 (1, 652) 0.198666666668 0 0 284.381333333 26.748 20.5786666667 13.1493333333 23.1933333333
3 659 (1, 329) 0.204 0 0 141.470666667 15.0186666667 12.164 8.03866666666 20.7173333333
3 661 (2, 22) 2.55066666667 1.78133333333 0 16.488 1.52666666667 0.834666666667 0.545333333333 19.5986666667
3 673 (4, 168) 11.4666666667 0 0 152.08 9.004 6.19333333333 4.30133333333 23.712
3 677 (8, 676) 51.2213333333 0 0 679.366666667 30.236 22.7306666667 13.9333333333 33.2746666667
3 683 (1, 31) 0.231999999999 0 0 14.2786666667 2.39733333333 1.19466666667 0.784 10.428
3 691 (5, 690) 18.452 0 0 704.870666667 34.6226666667 24.148 15.544 35.768
3 701 (32, 700) 1945.94666667 0 0 773.185333333 46.084 33.52 25.04 52.7106666667
3 709 (4, 177) 15.8653333333 0 0 186.648 9.94933333333 7.17866666667 4.87066666667 27.3
3 719 (1, 359) 0.254666666668 0 0 190.396 20.4933333333 17.0186666667 11.0013333333 26.8946666667
3 727 (4, 242) 12.6466666667 0 0 278.637333333 15.7053333333 12.4093333333 8.024 32.4973333333
3 733 (1, 183) 0.290666666668 0 0 212.297333333 11.7706666667 8.564 5.74 30.7253333333
3 739 (4, 738) 12.968 0 0 1020.55466667 51.1533333333 35.6333333333 21.152 56.84
3 743 (1, 371) 0.378666666666 0 0 243.473333333 22.1746666667 18.5186666667 11.676 28.8733333333
3 751 (10, 750) 106.841333333 0 0 977.974666667 44.92 34.4186666667 20.056 46.412
3 757 (16, 9) 315.537333333 0 0 7.288 1.16 0.518666666668 0.321333333333 29.7133333333
3 761 (1, 152) 0.282666666666 0 0 118.64 13.4493333333 9.47066666667 7.42133333333 32.712
3 769 (5, 48) 31.9093333333 0 0 75.04 5.30666666667 3.03733333333 1.29466666667 38.9093333333
3 773 (1, 772) 0.325333333334 0 0 1089.59733333 44.0226666667 29.196 18.724 46.8333333333
3 787 (28, 262) 1843.53066667 0 0 388.973333333 25.1733333333 17.5626666667 10.8693333333 54.5426666667
3 797 (2, 796) 5.46799999999 3.728 0 1248.84933333 49.4626666667 35.0026666667 21.6413333333 51.12
3 809 (1, 808) 0.317333333335 0 0 629.089333333 47.2146666667 34.56 21.104 44.0693333333
3 811 (5, 810) 26.0306666667 0 0 1297.176 53.928 36.0293333333 22.8533333333 53.9266666667
3 821 (8, 820) 78.9826666667 0 0 1358.58 53.1706666667 37.2586666667 23.4626666667 55.9453333333
3 823 (5, 822) 27.912 0 0 1375.204 56.0826666667 38.972 24.496 56.8026666667
3 827 (7, 413) 59.6146666667 0 0 684.608 30.4213333333 23.7986666667 14.648 47.8826666667
3 829 (5, 207) 28.4506666667 0 0 339.086666667 16.0626666667 11.544 7.56533333333 41.1266666667
