# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20, 2**20+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1048583 3 (1, 2) 0.006 0 0 0.0076 0.0004 0.0 0.0004 0.0
1048583 5 (2, 4) 0.0248 0.0124 0.0108 0.0008 0.0004 0.0008 0.0004 0.0004
1048583 7 (6, 3) 0.0804 0 0.0196 0.0008 0.0008 0.0008 0.0008 0.0004
1048583 9 (2, 6) 0.0376 0.022 0.0148 0.0012 0.0016 0.0016 0.0016 0.0016
1048583 11 (1, 10) 0.0024 0 0.0384 0.0012 0.0036 0.0036 0.0036 0.0032
1048583 13 (4, 3) 0.0964 0 0.0256 0.0012 0.0016 0.0016 0.002 0.002
1048583 17 (6, 16) 0.2348 0 0.0588 0.0036 0.008 0.0072 0.008 0.008
1048583 19 (4, 3) 0.1532 0 0.0672 0.002 0.0024 0.0028 0.0028 0.0044
1048583 23 (2, 11) 0.084 0.0612 0.0652 0.0044 0.0116 0.0096 0.0092 0.0092
1048583 25 (4, 20) 0.2728 0 0.076 0.008 0.0316 0.0312 0.0312 0.0332
1048583 27 (2, 18) 0.1136 0.0828 0.1108 0.0088 0.0144 0.0152 0.014 0.018
1048583 29 (1, 1) 0.0088 0 0.1116 0.0008 0.0008 0.0016 0 0
1048583 31 (10, 5) 3.032 0 0.1204 0.0056 0.0068 0.0072 0.0072 0.0148
1048583 37 (4, 18) 0.5028 0 0.1568 0.0176 0.0256 0.0252 0.0248 0.0364
1048583 41 (1, 20) 0.0168 0 0.2332 0.0188 0.0328 0.0324 0.0316 0.0376
1048583 43 (4, 42) 0.7116 0 0.2128 0.0576 0.0752 0.0624 0.0628 0.0768
1048583 47 (6, 46) 2.4216 0 0.2556 0.0828 0.0884 0.0844 0.0832 0.1028
1048583 49 (4, 21) 0.982 0 0.314 0.0348 0.0396 0.0384 0.0424 0.0692
1048583 53 (1, 52) 0.0292 0 0.3572 0.086 0.1128 0.1048 0.1036 0.1196
1048583 59 (1, 29) 0.0376 0 0.4952 0.08 0.0816 0.08 0.0756 0.1248
1048583 61 (1, 60) 0.038 0 0.5232 0.1736 0.1616 0.156 0.1476 0.1916
1048583 67 (1, 33) 0.0468 0 0.6664 0.1148 0.1116 0.1068 0.1028 0.1816
1048583 71 (8, 70) 10.1988 0 0.6696 0.2784 0.2452 0.2312 0.2228 0.3012
1048583 73 (1, 72) 0.0564 0 0.7044 0.2884 0.2528 0.2316 0.2272 0.312
1048583 79 (1, 39) 0.08 0 0.904 0.2008 0.1912 0.1884 0.1768 0.318
1048583 81 (1, 54) 0.0704 0 0.9688 0.1812 0.344 0.348 0.338 0.4008
1048583 83 (1, 41) 0.0752 0 1.3468 0.2452 0.3208 0.3528 0.2884 0.422
1048583 89 (12, 88) 72.4428 0 2.1036 0.862 0.7576 0.7156 0.7 0.9816
1048583 97 (4, 96) 8.2508 0 3.0712 1.0316 0.8664 0.8452 0.7768 1.1832
1048583 101 (2, 1) 1.6812 1.2164 2.6024 0.0288 0.0172 0.0392 0 0
1048583 103 (1, 102) 0.2188 0 4.1828 1.4116 1.0988 0.9832 0.9928 1.38
