# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**9], nbound=[2**7,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1048583 131 (1, 65) 0.221333333333 0 3.02133333333 0.676 0.633333333333 0.553333333333 0.522666666667 0.788
1048583 137 (3, 17) 6.276 0 6.036 0.316 0.169333333333 0.16 0.153333333333 0.937333333333
1048583 139 (2, 23) 2.27333333333 1.19066666667 4.008 0.434666666667 0.246666666667 0.228 0.210666666667 1.01866666667
1048583 149 (2, 148) 2.772 1.36133333333 4.608 3.06666666667 1.63333333333 1.57466666667 1.424 2.208
1048583 151 (6, 75) 28.7053333333 0 6.32933333333 1.61333333333 1.01866666667 0.965333333333 0.870666666667 1.83066666667
1048583 157 (10, 156) 106.270666667 0 4.968 3.71733333333 1.916 1.85466666667 1.63866666667 2.61466666667
1048583 163 (1, 81) 0.345333333333 0 7.65466666667 2.05333333333 1.18133333333 1.10133333333 1.00933333333 2.20533333333
1048583 167 (7, 83) 52.568 0 5.58533333333 2.276 1.27066666667 1.212 1.124 2.38666666667
1048583 169 (2, 39) 3.78666666667 1.72 5.62533333333 1.1 0.765333333333 0.752 0.701333333333 2.052
1048583 173 (1, 172) 0.393333333333 0 8.85733333333 3.42266666667 2.396 2.23466666667 1.98933333333 2.70533333333
1048583 179 (1, 1) 0.428 0 6.87466666667 0.084 0.0213333333334 0.0506666666667 0 0
1048583 181 (6, 180) 44.5426666667 0 8.97066666667 6.028 2.69733333333 2.55733333333 2.296 3.712
1048583 191 (2, 5) 5.15733333333 2.72533333333 7.69466666667 0.232 0.130666666667 0.110666666667 0.106666666667 1.31866666667
1048583 193 (4, 32) 19.916 0 7.52666666667 1.29333333333 0.572 0.478666666667 0.44 2.49866666667
1048583 197 (18, 196) 720.524 0 8.38933333333 8.256 3.23066666667 2.9 2.66933333333 4.504
1048583 199 (4, 33) 21.7453333333 0 7.97733333333 1.48266666667 0.645333333333 0.565333333333 0.508 2.72533333333
1048583 211 (10, 70) 217.844 0 12.0293333333 3.40666666667 1.432 1.26933333333 1.2 3.96133333333
1048583 223 (4, 111) 28.5426666667 0 14.6013333333 6.50266666667 2.768 2.62266666667 2.32533333333 5.17866666667
1048583 227 (8, 113) 151.766666667 0 13.88 6.69733333333 2.67466666667 2.43733333333 2.15733333333 5.272
1048583 229 (3, 76) 15.2986666667 0 15.824 4.79466666667 1.87866666667 1.57466666667 1.44666666667 4.764
1048583 233 (2, 232) 6.27733333333 3.80533333333 10.4826666667 9.36533333333 5.148 4.63466666667 4.15466666667 5.33066666667
1048583 239 (2, 119) 6.71733333333 3.992 12.4746666667 5.24 3.27866666667 3.34666666667 2.684 5.65733333333
1048583 241 (6, 8) 88.5226666667 0 12.26 0.789333333333 0.276 0.2 0.184 4.148
1048583 243 (1, 162) 0.894666666667 0 13.1173333333 6.89066666667 3.51733333333 3.65866666667 3.09866666667 4.90266666667
1048583 251 (2, 125) 7.37866666667 4.404 13.9706666667 6.34133333333 3.62133333333 3.40933333333 2.92 5.43733333333
1048589 131 (1, 65) 0.209333333333 0 3.47333333333 0.653333333333 0.593333333333 0.557333333333 0.537333333333 0.829333333333
1048589 137 (3, 68) 6.376 0 5.76 1.13466666667 0.7 0.658666666667 0.608 1.348
1048589 139 (4, 23) 9.408 0 3.996 0.436 0.252 0.230666666667 0.213333333333 1.03066666667
1048589 149 (4, 74) 11.052 0 6.76666666667 1.56933333333 1.012 0.902666666667 0.833333333333 1.77066666667
1048589 151 (6, 75) 29.276 0 7.15066666667 1.62933333333 1.016 0.973333333333 0.888 1.85733333333
1048589 157 (1, 26) 0.325333333334 0 7.868 0.637333333333 0.349333333334 0.321333333333 0.289333333333 1.408
1048589 163 (2, 81) 3.412 1.65333333333 5.37333333333 2.10666666667 1.19066666667 1.12533333333 1.01866666667 2.216
