# ./benchmark.sh 01 5 2**8 5 2**8 2 5
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**8], nbound=[5,2**8], prime=2, loops=5, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/01.dat')"
5 7 (2, 6) 0.0800130367279 0.00813679695129 0.016592168808 0.000894927978516 0.00044469833374 0.000492191314697 0.000395202636719 0.000383186340332 0.00045428276062
5 9 (1, 6) 0.00157556533813 0 0.00887961387634 0.000919914245605 0.000536203384399 0.000665712356567 0.000515031814575 0.00047755241394 0.000630950927734
5 11 (2, 5) 0.0295637607574 0.00914659500122 0.00950598716736 0.00105204582214 0.000621461868286 0.000845813751221 0.000622129440308 0.000594997406006 0.000795030593872
5 13 (4, 4) 0.0443775653839 0 0.0102105617523 0.00118961334229 0.000583648681641 0.000773620605469 0.000576591491699 0.000569581985474 0.000977993011475
5 17 (6, 16) 0.0690624713898 0 0.0143535614014 0.0021625995636 0.00241365432739 0.00303959846497 0.00229697227478 0.00226011276245 0.00311498641968
5 19 (1, 9) 0.00220727920532 0 0.0159415721893 0.00222291946411 0.00197081565857 0.00244760513306 0.00183262825012 0.00179500579834 0.00291695594788
5 23 (2, 22) 0.0428053855896 0.0120833396912 0.0120601177216 0.00455803871155 0.00472793579102 0.00627059936523 0.00428376197815 0.0042631149292 0.00575661659241
5 27 (2, 18) 0.0444438457489 0.0174451828003 0.0186581134796 0.00483374595642 0.004731798172 0.0065288066864 0.00452709197998 0.00456342697144 0.00800037384033
5 29 (1, 14) 0.0023380279541 0 0 0.00478715896606 0.00461525917053 0.00579657554626 0.0041907787323 0.00426001548767 0.00855641365051
5 31 (12, 3) 0.262771606445 0 0.019750213623 0.00238704681396 0.00117592811584 0.00250988006592 0.0013952255249 0.00155363082886 0.01345911026
5 37 (1, 36) 0.00260906219482 0 0.025856924057 0.0150136470795 0.0137093067169 0.016352891922 0.0116410732269 0.0116141319275 0.0188285827637
5 41 (2, 20) 0.0566001415253 0.018980884552 0.0193813800812 0.0100311756134 0.00901999473572 0.0114486217499 0.00820698738098 0.00823941230774 0.0167323589325
5 43 (4, 42) 0.0923565864563 0 0.0199905872345 0.0233699798584 0.0180962085724 0.0229938983917 0.0152485847473 0.0151543617249 0.0241346359253
5 47 (6, 46) 0.200910425186 0 0.0567219734192 0.0386988162994 0.0266662120819 0.0339301586151 0.0227932453156 0.0227831363678 0.0405186653137
5 49 (4, 42) 0.111752796173 0 0.0270453929901 0.0269711971283 0.0200359344482 0.0260264873505 0.0186954021454 0.0187391757965 0.0351208209991
