# ./benchmark.sh 04 5 2**8 2**8 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**8], nbound=[2**8,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/04.dat')"
5 257 (6, 256) 4.13424491882 0 0.906001726786 16.3811169465 2.17199357351 1.87103732427 1.28165698051 1.28322203954 2.80332605044
5 263 (3, 262) 1.15756630898 0 0.599612633387 18.3750170072 2.50812800725 2.45901536942 1.54782891273 1.54505562782 3.21401198705
5 269 (8, 67) 8.56401165326 0 0.544079701106 4.69343002637 0.722416003545 0.62787437439 0.442501703898 0.470497687658 2.29334823291
5 271 (2, 27) 0.57198659579 0.407677014669 0 1.88983575503 0.341785589854 0.282404661179 0.193004290263 0.219712734222 2.07037727038
5 277 (2, 276) 0.604975064596 0.436292648315 0.597747325897 22.1796580156 2.83247089386 2.75726501147 1.72017804782 1.72318673134 3.62031459808
5 281 (2, 140) 0.603092034658 0.355503400167 0 5.78012712797 1.51172335943 1.40396738052 0.987313985825 1.00366433462 2.41649770737
5 283 (1, 282) 0.0528723398844 0 0 24.253993988 3.04575236638 3.1156129837 1.85422205925 1.85763223966 3.88996863365
5 289 (6, 272) 5.3766477108 0 0.686907291412 23.4676160018 2.15515303612 2.61653200785 1.75100199382 1.75394090017 3.90703431765
5 293 (2, 292) 0.647057930628 0.469916423162 0.666431029638 14.8980829716 3.03044565519 2.77643926938 1.8452436924 1.84878094991 3.42882363002
5 307 (2, 306) 0.711505095164 0.545533339183 0.764322360357 32.6348869801 3.78310195605 3.54464801153 2.25403968493 2.25523956617 4.69043866793
5 311 (2, 155) 0.729843695958 0.496254682541 0 16.6098106702 2.12641239166 2.17588734627 1.37059362729 1.411195755 4.00034634272
5 313 (3, 8) 1.57023429871 0 0.898907899857 0.724143981934 0.172402222951 0.111656268438 0.0760610103607 0.113262653351 2.7620083491
5 317 (26, 316) 307.354388595 0 1.09505073229 37.1194650332 4.19200062752 3.99214029312 2.50141334534 2.50626866023 5.22565531731
5 331 (6, 165) 7.06179801623 0 0.949316104253 20.7968103091 2.40487098694 2.33547902107 1.51678466797 1.56416598956 4.56579168638
5 337 (16, 112) 109.538564364 0 1.04587276777 14.5462669532 1.72572930654 1.46901273727 1.03183929125 1.08341638247 4.24563733737
5 343 (4, 294) 3.25875020027 0 0.916694641113 40.9699896971 3.33307027817 4.39470465978 2.7293753624 2.73918644587 6.02569301923
5 347 (6, 346) 7.90682069461 0 1.04273168246 51.7035803 5.54895337423 5.03479266167 3.33586319288 3.34073869387 6.70092733701
5 349 (24, 174) 319.264147997 0 0.964799404144 25.5499505997 2.92408506076 2.88507167498 1.83680470785 1.88753716151 5.3305776914
5 353 (2, 352) 0.981413602829 0.58448155721 0 54.1655173302 5.38660120964 4.46320462227 3.06656471888 3.06710004807 6.68315442403
5 359 (1, 179) 0.0822150707245 0 0 14.9293616613 3.128165404 3.09661801656 2.09634319941 2.12802704175 4.39968927701
5 361 (9, 171) 20.9894139767 0 1.44197074572 26.6502142747 2.42215458552 2.73443071047 1.90270709991 1.96298360825 5.7755399545
5 367 (6, 122) 8.83464161555 0 1.58509103457 20.3934644063 2.30019569397 2.19316371282 1.38776397705 1.45677359899 5.47215525309
5 373 (4, 372) 3.89341807365 0 1.10378932953 67.8428859711 6.44795203209 5.804033041 3.72024099032 3.71982971827 7.82674694061
5 379 (2, 21) 1.07297134399 0.729696114858 0 3.58120203018 0.516333977381 0.406421661377 0.267364025116 0.331211646398 4.69360502561
5 383 (12, 382) 76.9127500057 0 0 76.2909835974 7.31054830551 7.09651041031 4.35410030683 4.35742076238 8.85420767466
5 389 (24, 97) 393.2067101 0 1.38581562042 18.5844416618 1.94211101532 1.53147339821 1.08104459445 1.16112232208 5.86202001572
5 397 (6, 396) 10.5117803415 0 1.61268377304 84.7982013226 7.48157429695 6.35817758242 4.22391398748 4.23408174515 9.131975015
5 401 (2, 25) 1.20684901873 0.798635323842 0 4.96507318815 0.650661389033 0.426208972931 0.300706624985 0.374023755391 5.40168833733
5 409 (4, 17) 4.76243933042 0 1.44263839722 3.48500935237 0.495174249013 0.342856725057 0.239896615346 0.314006725947 5.51326799393
5 419 (1, 209) 0.116975704829 0 1.8020307223 26.7468863328 4.5942149957 4.23749232292 2.84121505419 2.89957865079 7.37355772654
5 421 (16, 210) 179.876607656 0 1.70561536153 51.3652860324 4.84117333094 4.49451263746 2.8553100427 2.95899232229 8.68491133054
5 431 (2, 215) 1.32866032918 0.923124313354 1.59998472532 28.7622919877 5.15363168716 5.19000895818 3.29895798365 3.358609279 7.54435030619
