# ./benchmark.sh 05 2**8 2**10 2**8 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**8,2**10], nbound=[2**8,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/05.dat')"
257 263 (6, 262) 20.7519893646 0 2.9431986014 20.4302990437 3.81460165977 3.73181533813 2.62602345149 2.62740039825 5.32987594604
257 269 (8, 268) 42.6489516099 0 2.92542990049 22.1315456231 4.02295001348 3.93166875839 2.76324923833 2.76544825236 5.6966436704
257 271 (6, 270) 22.43410333 0 3.17121871312 23.1073864301 4.1740175883 4.27125573158 2.87348572413 2.87908641497 5.89698306719
257 277 (1, 276) 0.263453722 0 3.22825527191 24.5760153135 4.23731573423 4.12888971965 2.85386999448 2.85886605581 5.9634958903
257 281 (1, 280) 0.267772992452 0 3.34264469147 15.770201683 4.42929037412 4.13173508644 2.99468406041 2.98659769694 4.96453499794
257 283 (3, 141) 5.23039102554 0 3.54442405701 13.143906037 2.65561564763 2.54349764188 1.81875475248 1.91753602028 5.33815471331
257 289 (1, 136) 0.302037636439 0 3.53928693136 12.7184990247 2.01266805331 2.02208065987 1.56542166074 1.67527135213 5.26503698031
257 293 (1, 146) 0.291756629944 0 3.9652030468 8.73095361392 2.82629323006 2.52740764618 1.89231602351 1.9739399751 4.42113367716
257 307 (4, 153) 11.7512203058 0 3.99542872111 17.5895256201 3.27682296435 3.09995039304 2.19625123342 2.32259726524 6.49925104777
257 311 (3, 310) 6.38952660561 0 4.09239864349 38.1691126823 6.04515059789 5.9684419632 4.05566596985 4.05460770925 8.34377161662
257 313 (6, 104) 31.3246736526 0 4.45999781291 12.1793557008 2.34544960658 2.07057094574 1.50121068954 1.66819898287 6.10426370303
257 317 (26, 79) 1020.04398513 0 4.29777431488 9.62303741773 1.93122235934 1.67892392476 1.20599333445 1.39779965083 5.97269590696
257 331 (2, 22) 3.03562402725 1.64375766118 5.3284479777 3.06448396047 0.689086039861 0.497527043025 0.364376703898 0.608927090963 5.61066023509
257 337 (5, 336) 24.8194846312 0 5.11164903641 50.0627213319 6.81136496862 6.00974074999 4.33655238152 4.2883023421 9.47612690926
257 343 (6, 294) 38.7517280579 0 5.4132150809 45.3285563787 7.84174601237 9.06286692619 6.81170900663 6.83088636398 12.348590374
257 347 (2, 346) 3.37565072378 2.13572200139 5.26949469248 56.6648836931 8.00026893616 7.63436166445 5.24537324905 5.23758308093 10.910392046
257 349 (10, 29) 131.221000274 0 5.4853049914 4.63105829557 0.954520702362 0.707043409348 0.499773661296 0.770895322164 6.52929822604
257 353 (7, 352) 59.3100167116 0 5.77325304349 59.0555860202 7.86509696643 6.81158630053 4.97282393773 4.96049896876 11.1010433833
257 359 (1, 358) 0.471835931142 0 6.41143123309 38.073486646 8.57235884666 7.96565961838 5.53576199214 5.5474486351 9.52702601751
257 361 (18, 342) 542.254179955 0 6.24281867345 60.2078596751 6.8231613636 7.98268802961 5.58861867587 5.59990374247 11.9513193766
