# ./benchmark.sh 08 2**40 2**40+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/08.dat')"
1099511627791 5 (1, 1) 0.0339159170787 0 0.0358566443125 0.000723997751872 0.000235080718994 0.000216960906982 0.000214020411174 0 0
1099511627791 7 (2, 6) 0.0560347239176 0.038652976354 0.0319979985555 0.00147898991903 0.00293358167013 0.00240031878153 0.00299501419067 0.00297697385152 0.00234429041545
1099511627791 9 (1, 3) 0.00784269968669 0 0.0447059472402 0.00152993202209 0.00293898582458 0.00269301732381 0.00344308217367 0.00400733947754 0.00287715593974
1099511627791 11 (2, 5) 0.0903409322103 0.0572810173035 0.0590569178263 0.00209363301595 0.0046329498291 0.0041020711263 0.00521866480509 0.0058315594991 0.00389059384664
1099511627791 13 (4, 4) 0.238663673401 0 0.0798930327098 0.00282899538676 0.00457326571147 0.00408434867859 0.00520658493042 0.00687599182129 0.0047349135081
1099511627791 17 (6, 2) 0.875445604324 0 0.126088698705 0.00469597180684 0.00365527470907 0.00359304745992 0.00521492958069 0.00883897145589 0.00588734944661
1099511627791 19 (5, 6) 0.744168599447 0 0.168464024862 0.00586597124736 0.00990231831868 0.00863401095072 0.0107307434082 0.0147546927134 0.0112196604411
1099511627791 23 (1, 22) 0.018262942632 0 0.242146015167 0.0203176339467 0.0411996841431 0.0346622467041 0.0409246285756 0.0406529903412 0.0343283017476
1099511627791 25 (4, 5) 0.83772667249 0 0.277882973353 0.00781106948853 0.0109175841014 0.00958466529846 0.0130409399668 0.0213356018066 0.0170152982076
1099511627791 27 (1, 9) 0.0379236539205 0 0.314025640488 0.0133637587229 0.0189356803894 0.0159866809845 0.0210616588593 0.0290616353353 0.0243043899536
1099511627791 29 (2, 14) 0.28274901708 0.215349117915 0.358115037282 0.0199000835419 0.0375924110413 0.0323539574941 0.0394870440165 0.045482635498 0.0349520047506
1099511627791 31 (5, 5) 2.27939462662 0 0.427246967951 0.0140872796377 0.0165863037109 0.0154999891917 0.0192490418752 0.0343560377757 0.0306843121847
1099511627791 37 (2, 4) 0.449295361837 0.302531003952 0.576609611511 0.0169009367625 0.0162279605865 0.0152789751689 0.019509712855 0.0444207191467 0.0422926743825
1099511627791 41 (2, 5) 0.614357074102 0.367595434189 0.782253980637 0.0179599920909 0.023091395696 0.0211423238118 0.0287613868713 0.0564181009928 0.0395346482595
1099511627791 43 (2, 42) 0.613550424576 0.395942608515 0.873981634776 0.19863986969 0.18905933698 0.159349282583 0.183666706085 0.183105309804 0.185401280721
1099511627791 47 (3, 23) 1.83076930046 0 1.17545326551 0.138840039571 0.134260654449 0.121430317561 0.13437795639 0.157850344976 0.168590307236
1099511627791 49 (1, 42) 0.0920802752177 0 1.08674534162 0.241988658905 0.220701615016 0.187077681224 0.218470652898 0.222934325536 0.236246665319
1099511627791 53 (1, 52) 0.108532349269 0 1.30765112241 0.285304705302 0.32461198171 0.272432963053 0.311063289642 0.310209910075 0.280457735062
1099511627791 59 (3, 58) 3.11569698652 0 1.61220431328 0.603357632955 0.42163904508 0.369676589966 0.4051806132 0.404146035512 0.435487429301
1099511627791 61 (3, 20) 3.31931567192 0 2.06156897545 0.219910621643 0.159940004349 0.1423163414 0.162156740824 0.221458355586 0.258774360021
