# ./benchmark.sh 12 2**20 2**20+2**8 2**8 2**8+2**5 2 5
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[2**8,2**8+2**5], prime=2, loops=5, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/12.dat')"
1048583 257 (3, 64) 20.2271500111 0 13.2634875774 5.19290437698 1.78348078728 1.40552239418 1.31302318573 1.85350914001 6.10784835815
1048583 263 (3, 131) 21.1762367725 0 13.835127449 11.3570447922 4.10974602699 3.74716563225 3.25043196678 3.62655615807 8.32018136978
1048583 269 (2, 67) 8.83000702858 7.0292178154 14.0548494339 6.26683120728 2.1425157547 1.81372981071 1.60229482651 2.18843479156 7.24701623917
1048583 271 (1, 10) 1.17692956924 0 14.6405767918 1.2572927475 0.418994951248 0.322236728668 0.285730409622 1.05944776535 6.22862644196
1048583 277 (4, 92) 46.9218090057 0 14.8757145882 9.12802839279 3.07778916359 2.65334482193 2.33072218895 2.88815455437 8.35021839142
1048583 281 (1, 14) 1.28724679947 0 16.7621972084 1.23695425987 0.56707239151 0.403471660614 0.354197788239 1.11126255989 4.09654922485
1048583 283 (6, 282) 129.459321356 0 15.3823099613 29.6655655861 8.65787320137 8.2951312542 6.86429924965 6.86357545853 12.6940880299
1048589 257 (1, 128) 1.04740095139 0 13.2696700573 10.2015287876 3.5897163868 3.06618385315 2.81637263298 3.17630281448 7.43022284508
1048589 263 (6, 131) 108.886667871 0 14.0045053959 11.2983855724 4.15723137856 3.78621258736 3.297905159 3.66151361465 8.33590641022
1048589 269 (4, 268) 43.7582210541 0 13.7417833328 24.571686554 7.38235321045 6.84361643791 5.84051318169 5.83529934883 10.8103881836
1048589 271 (1, 15) 1.17783098221 0 15.1929530621 1.69895129204 0.554103565216 0.421741247177 0.355277204514 1.11472911835 6.29321494102
1048589 277 (1, 69) 1.23241634369 0 15.4259847164 6.91636738777 2.24791879654 1.89615716934 1.66678762436 2.30354781151 7.77579612732
1048589 281 (2, 280) 9.57923402786 5.27447838783 16.1560286045 17.9289863586 8.35051016808 7.53127698898 6.53551540375 6.52042593956 10.7422189713
1048589 283 (6, 141) 129.409685564 0 16.1841150284 14.7597608566 5.07913813591 4.7663497448 4.04281425476 4.4865298748 10.3797515869
1048601 257 (6, 256) 102.934849215 0 12.5839203835 20.3637716293 6.31553120613 5.36410899162 4.97512154579 4.98557357788 9.16218738556
1048601 263 (1, 262) 1.09647226334 0 13.6377310276 22.6875813961 7.16462340355 6.62315578461 5.69635605812 5.69622206688 10.3049804211
1048601 269 (8, 268) 227.003451188 0 13.4895504475 24.5655590534 7.2705327034 6.72865433693 5.74517421722 5.74365358353 10.7134666443
1048601 271 (1, 18) 1.17337598801 0 15.436564827 1.9795876503 0.680307006836 0.547560167313 0.47092924118 1.22535495758 6.39022960663
1048601 277 (4, 69) 46.8835529804 0 14.7124686241 6.90108041763 2.25730247498 1.90186886787 1.67138962746 2.30972089767 7.79016194344
1048601 281 (2, 280) 9.57188816071 7.4188583374 17.1379170895 17.9562277317 8.26242480278 7.44433917999 6.45358204842 6.45400085449 10.8255975723
1048601 283 (6, 47) 129.413347197 0 16.4799453259 5.10781116486 1.70179662704 1.42869362831 1.208375597 1.96419401169 7.85289945602
1048609 257 (1, 128) 1.03869886398 0 13.4721163273 10.2106098652 3.52350301743 3.01432681084 2.75086407661 3.08791637421 7.37635750771
1048609 263 (3, 262) 21.1703444481 0 13.5799208164 22.6711631298 7.09005241394 6.60157780647 5.64465918541 5.64236903191 10.2943898678
1048609 269 (4, 67) 43.767762804 0 14.4347579956 6.226795578 2.10386462212 1.78411459923 1.55965442657 2.12566537857 7.21524486542
1048609 271 (6, 135) 116.922854233 0 14.4424194336 12.7337510109 4.4320127964 4.17562503815 3.52611341476 3.89904980659 9.16044778824
1048609 277 (4, 23) 46.8605938911 0 16.2699965954 2.54232459068 0.859713172913 0.662350130081 0.569718551636 1.31273398399 6.77845182419
1048609 281 (1, 280) 1.28627238274 0 16.3031888008 17.928080225 8.21540374756 7.4734568119 6.39890813828 6.38921260834 9.01352438927
1048609 283 (3, 141) 25.2668498039 0 16.6053882122 14.7454685211 5.02832298279 4.7561958313 3.99340596199 4.42587227821 10.3637848377
1048613 257 (3, 256) 20.1110695839 0 12.2792638302 20.3643091679 6.26617922783 5.3010445118 4.90504660606 4.90502300262 9.08876643181
1048613 263 (1, 131) 1.10059199333 0 14.418678093 11.3168370247 4.12091522217 3.75076241493 3.26937522888 3.64745140076 8.3079805851
1048613 269 (1, 134) 1.14817304611 0 14.2578475475 12.2567594051 4.26553258896 3.89156517982 3.36470160484 3.77111392021 8.83715825081
1048613 271 (6, 27) 117.258862448 0 15.0711957932 2.77492036819 0.955000591278 0.79248919487 0.668732786179 1.39583587646 6.5742395401
1048613 277 (4, 92) 46.972394228 0 16.2557191849 9.10592503548 3.05823121071 2.65787382126 2.32034182549 2.8905069828 8.36154503822
