# ./benchmagma.sh m01 5 2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m01.dat')"
5 7 (2, 6) 0.0087829430898
5 9 (1, 6) 0
5 11 (2, 5) 0.01087474823
5 13 (4, 4) 0.0363596280416
5 17 (6, 16) 0.133917649587
5 19 (1, 9) 0.00934235254924
5 23 (2, 22) 0.0196665922801
5 27 (2, 18) 0.00985066095988
5 29 (1, 14) 0.00960040092468
5 31 (12, 3) 0.314161936442
5 37 (1, 36) 0.0103887716929
5 41 (2, 20) 0.046511888504
5 43 (4, 42) 0.521732966105
5 47 (6, 46) 1.3442363739
5 49 (4, 42) 0.361826737722
5 53 (2, 52) 0.079913298289
5 59 (6, 29) 0.2874203523
5 61 (2, 30) 0.107214689255
5 67 (1, 22) 0.0159029960632
5 71 (1, 5) 0.01922138532
5 73 (4, 72) 1.73277139664
5 79 (4, 39) 0.189308643341
5 81 (2, 54) 0.201861302058
5 83 (2, 82) 0.224779367447
5 89 (1, 44) 0.0216579437256
5 97 (1, 96) 0.0253963470459
5 101 (6, 25) 0.800103028615
5 103 (3, 102) 0.799545288086
5 107 (2, 106) 0.411677281062
5 109 (1, 27) 0.0335245927175
5 113 (2, 112) 0.457470655441
5 121 (6, 55) 1.49878239632
5 127 (2, 42) 0.629762649536
5 131 (2, 65) 0.647683620453
5 137 (2, 136) 0.757823467255
5 139 (4, 69) 0.590105295181
5 149 (8, 37) 4.75618267059
5 151 (6, 75) 1.7609453996
5 157 (3, 156) 1.26440103849
5 163 (4, 54) 0.821416934331
5 167 (7, 166) 3.26414974531
5 169 (4, 52) 1.00358963013
5 173 (2, 172) 0.197157939275
5 179 (1, 89) 0.0614854494731
5 181 (2, 15) 0.232325315475
5 191 (2, 19) 0.282586971919
5 193 (4, 192) 1.2707649072
5 197 (18, 196) 63.1265733242
5 199 (4, 33) 1.25349537532
5 211 (22, 35) 2.45288936297
5 223 (12, 222) 31.6842299302
5 227 (3, 226) 1.0084892114
5 229 (1, 114) 0.101304690043
