# ./benchmagma.sh m05 2**30 2**30+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**30,2**30+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m05.dat')"
1073741827 5 (1, 4) 0.010537703832
1073741827 7 (1, 3) 0.0128026008606
1073741827 9 (2, 3) 0.047381401062
1073741827 11 (1, 5) 0.0242609182994
1073741827 13 (2, 12) 0.132710615794
1073741827 17 (6, 2) 1.62541262309
1073741827 19 (10, 18) 6.44603657722
1073741827 23 (1, 11) 0.0675706863403
1073741827 25 (2, 20) 0.32661430041
1073741827 27 (1, 9) 0.093155225118
1073741827 29 (8, 7) 10.0401349862
1073741827 31 (5, 5) 4.17038122813
1073741827 37 (4, 12) 3.7269633611
1073741827 41 (2, 20) 0.907198667526
1073741827 43 (4, 6) 5.14280923208
1073741827 47 (1, 23) 0.36560233434
1073741827 49 (2, 21) 1.33766436577
1073741827 53 (1, 26) 0.460583925247
1073741827 59 (1, 1) 0.61400103569
1073741827 61 (3, 60) 5.40394496918
1073741827 67 (24, 66) 667.578494787
1073741827 71 (8, 14) 70.5425942739
1073741827 73 (1, 72) 0.507500012716
1073741827 79 (2, 3) 3.66635298729
1073741827 81 (1, 27) 437.425289869
1073741827 83 (1, 82) 0.658366362254
1073741827 89 (1, 22) 0.778445720673
1073741827 97 (2, 6) 5.78706177076
1073741827 101 (6, 50) 80.8427285353
1073741827 103 (6, 102) 84.2172167301
1073741827 107 (2, 53) 7.25139904022
1073741827 109 (10, 27) 305.812550545
1073741827 113 (1, 14) 1.3291460673
1073741827 121 (1, 55) 1.57228008906
1073741827 125 (1, 100) 1.65474462509
1073741827 127 (4, 126) 55.5329843362
1073741827 131 (1, 65) 1.87366962433
1073741827 137 (2, 136) 12.6335249742
1073741827 139 (1, 46) 2.16068410873
1073741827 149 (4, 148) 80.6843936443
1073741827 151 (2, 15) 15.8275030454
1073741827 157 (2, 3) 17.387893041
1073741827 163 (4, 54) 97.9242576758
1073741827 167 (14, 83) 1572.51940012
1073741827 169 (4, 156) 104.545489788
1073741827 173 (2, 172) 20.7866566976
1073741827 179 (1, 89) 3.70546468099
1073741827 181 (6, 90) 303.759246111
1073741827 191 (2, 190) 25.9471386274
1073741827 193 (4, 192) 143.255138636
1073741827 197 (1, 98) 4.85549330711
1073741827 199 (4, 11) 154.252422253
