# ./benchmark.sh 02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/02.dat', )"
521 5 (1, 1) 0.035507996877 0 0.0308305422465 0.000690301259359 9.56058502197e-05 6.66777292887e-05 6.42935434977e-05 0 0
521 7 (6, 6) 0.0461513996124 0 0.0174010594686 0.0010396639506 0.00073234240214 0.000719944636027 0.000668923060099 0.000644365946452 0.000688711802165
521 9 (2, 2) 0.032035668691 0.0126762390137 0.0140248934428 0.00118470191956 0.000455061594645 0.000497976938883 0.000490665435791 0.000524759292603 0.000595331192017
521 11 (2, 5) 0.0379079977671 0.0137670834859 0.0178956985474 0.00159430503845 0.00127069155375 0.00134507815043 0.00128213564555 0.00133029619853 0.0012530485789
521 13 (1, 1) 0.00284171104431 0 0.0299785931905 0.000629981358846 0.00021767616272 0.00030509630839 0.000305652618408 0 0
521 17 (6, 16) 0.101783672969 0 0.0288043816884 0.00298833847046 0.00448139508565 0.00461347897847 0.00427031517029 0.00422930717468 0.00504231452942
521 19 (2, 6) 0.0549152692159 0.0237716039022 0.0500475565592 0.00247065226237 0.0022546450297 0.00247836112976 0.00224256515503 0.00260806083679 0.00389297803243
521 23 (1, 22) 0.00372616449992 0 0.034188747406 0.00598669052124 0.00926399230957 0.0102122624715 0.00869139035543 0.00862137476603 0.00971102714539
521 25 (1, 5) 0.00386635462443 0 0.0445977846781 0.00311120351156 0.00269802411397 0.00295074780782 0.00272568066915 0.00339643160502 0.00633136431376
521 27 (4, 6) 0.111233711243 0 0.0415489673615 0.00388797124227 0.00333468119303 0.0036776860555 0.00326172510783 0.00410763422648 0.00765570004781
521 29 (1, 2) 0.00444730122884 0 0.0552574793498 0.00289034843445 0.00178901354472 0.00213003158569 0.00194931030273 0.00321976343791 0.00528860092163
521 31 (5, 3) 0.183382590612 0 0.0490197340647 0.00376494725545 0.00267624855042 0.00307432810465 0.00271741549174 0.00419966379801 0.00958363215129
521 37 (4, 18) 0.169635931651 0 0.0637474060059 0.0135238965352 0.0142493247986 0.015248298645 0.0130032698313 0.0144616762797 0.022877295812
521 41 (1, 40) 0.00689133008321 0 0.111104329427 0.0272939999898 0.0299156506856 0.0308389663696 0.0262743631999 0.0261495908101 0.0321980317434
521 43 (4, 42) 0.213353633881 0 0.0769418875376 0.0425633589427 0.0360133647919 0.0391289393107 0.0317854086558 0.0316633383433 0.0453782876333
521 47 (7, 23) 0.729740381241 0 0.0980726877848 0.0291484196981 0.0262540181478 0.0292363166809 0.0234157244364 0.0251179536184 0.0437643527985
521 49 (2, 6) 0.105009078979 0.0663657188416 0.1090259552 0.0102257728577 0.0076490243276 0.00811942418416 0.00720238685608 0.0105969905853 0.0314356486003
521 53 (2, 13) 0.115450779597 0.0738576253255 0.103769699732 0.0159006118774 0.0166773001353 0.017297744751 0.0150600274404 0.0180387496948 0.0288072427114
521 59 (6, 29) 0.863768339157 0 0.13569966952 0.0581169923147 0.0436104138692 0.0472996234894 0.0377366542816 0.0405557155609 0.0738969643911
521 61 (6, 20) 0.888423999151 0 0.151528596878 0.0435019334157 0.033243338267 0.0354066689809 0.0289954344432 0.032995780309 0.0699290434519
521 67 (4, 22) 0.482136011124 0 0.176794608434 0.0561430454254 0.0399661064148 0.0407729943593 0.0342180728912 0.0394985675812 0.0906236171722
521 71 (8, 35) 2.30534426371 0 0.201383670171 0.103863954544 0.0698126157125 0.0732497374217 0.0596493085225 0.0639113585154 0.124417304993
521 73 (2, 8) 0.172707637151 0.11700797081 0.197645266851 0.0281700293223 0.0183614889781 0.0182070732117 0.015564362208 0.0237692991892 0.0895839532216
521 79 (2, 78) 0.194952329 0.130944649378 0.226749658585 0.306723276774 0.167838017146 0.184941530228 0.141134977341 0.140950600306 0.224578698476
521 81 (2, 18) 0.199790000916 0.121982256571 0.238107681274 0.0416050752004 0.0486380259196 0.0523130893707 0.0458033084869 0.0534453392029 0.10267829895
