# ./benchmark.sh 06 2**40 2**40+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/06.dat', )"
1099511627791 5 (1, 1) 0.0372819105784 0 0.0375930468241 0.000736951828003 0.000243584314982 0.000221649805705 0.000219662984212 0 0
1099511627791 7 (2, 6) 0.0567693710327 0.0391985575358 0.032061735789 0.00141406059265 0.00297260284424 0.00243131319682 0.00301067034403 0.0030046304067 0.00236701965332
1099511627791 9 (1, 3) 0.00501068433126 0 0.0465819835663 0.00178265571594 0.00295599301656 0.00270096460978 0.00343203544617 0.00400296847026 0.0028928120931
1099511627791 11 (2, 5) 0.0891676743825 0.0609952608744 0.0561873118083 0.00211469332377 0.0047386487325 0.00418901443481 0.00526102383931 0.00587900479635 0.00397006670634
1099511627791 13 (4, 4) 0.258181651433 0 0.0819839636485 0.00283630688985 0.00456857681274 0.00414490699768 0.00525164604187 0.00687726338704 0.00481605529785
1099511627791 17 (6, 2) 0.903880755107 0 0.131395657857 0.00379133224487 0.00360123316447 0.00354234377543 0.00512965520223 0.00862105687459 0.0057373046875
1099511627791 19 (5, 6) 0.771054108938 0 0.181148052216 0.00625363985697 0.00995866457621 0.00877968470256 0.0108049710592 0.0147239367167 0.0113167762756
1099511627791 23 (1, 22) 0.0182130336761 0 0.25523130099 0.0221190452576 0.0414843559265 0.0352133115133 0.0413750012716 0.0411949157715 0.0348946253459
1099511627791 25 (4, 5) 0.86572766304 0 0.271711349487 0.00830737749736 0.0108507474264 0.00967756907145 0.0130781332652 0.0211877028147 0.0170816580455
1099511627791 27 (1, 9) 0.0329690774282 0 0.328222036362 0.0145136515299 0.0190060933431 0.0161163012187 0.0210392475128 0.0289011001587 0.0243690013885
1099511627791 29 (2, 14) 0.289231300354 0.188647667567 0.351095994314 0.0216019948324 0.0380356311798 0.0328567028046 0.0397822856903 0.0456659793854 0.035310347875
