# ./benchmark.sh 09 5 2**9 2**8 2**9 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**9], nbound=[2**8,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/09.dat', )"
5 257 (6, 256) 5.08701634407 0 1.02054786682 16.7548415661 2.26993131638 1.94399126371 1.33004069328 1.33518497149 2.93120002747
5 263 (3, 262) 1.63788898786 0 1.21585297585 30.5212400754 4.42675844828 4.61868460973 2.92988061905 2.9344133536 6.1506216526
5 269 (8, 67) 15.1743980249 0 0.580597639084 4.66785001755 0.73415907224 0.636748154958 0.452207326889 0.480326573054 2.33246246974
5 271 (2, 27) 0.595789750417 0.333010911942 0 1.88457425435 0.344499826431 0.285224676132 0.19447127978 0.224131584167 2.08255227407
5 277 (2, 276) 0.611394961675 0.38835867246 0.596045335134 22.1130924225 2.85255535444 2.77932357788 1.73518594106 1.73668034871 3.6502726078
5 281 (2, 140) 0.611294349035 0.390330950419 0 5.97001202901 1.51936006546 1.41992465655 0.997099399567 1.01245864232 2.42903669675
5 283 (1, 282) 0.0531080563863 0 0 24.159414053 3.05463171005 3.13789367676 1.86545125643 1.86752295494 3.95247777303
5 289 (6, 272) 5.44005966187 0 0.68727962176 23.9971427123 2.18734733264 2.62518771489 1.76189668973 1.76601521174 3.92753299077
5 293 (2, 292) 0.655765295029 0.438654581706 0.664940992991 14.8377613227 3.03905463219 2.79967705409 2.09915041924 2.24284736315 3.76635622978
5 307 (2, 306) 0.78441341718 0.504125277201 0.955243269602 36.7905042966 5.04871670405 4.22309247653 2.58515930176 2.53725775083 4.91991170247
5 311 (2, 155) 0.828059673309 0.685397068659 0 20.4322977066 2.74397230148 3.15228462219 2.13019784292 2.00707769394 5.26564669609
5 313 (3, 8) 2.21408295631 0 1.04846787453 1.13255095482 0.298634290695 0.188514709473 0.085374991099 0.137896378835 3.88510274887
5 317 (26, 316) 415.415717483 0 1.40272410711 52.7177019914 5.99585405986 6.04394721985 4.00181563695 4.0692302386 8.60836394628
5 331 (6, 165) 11.9162564278 0 1.50316707293 31.6301988761 3.50988205274 2.51278106372 1.95986906687 2.30674767494 6.65529966354
5 337 (16, 112) 173.275712013 0 1.74614906311 23.9580652714 3.03126160304 2.69991962115 1.65902400017 1.62147728602 7.11754838626
5 343 (4, 294) 5.49214736621 0 1.50386754672 71.653812329 5.62654566765 7.48609375954 4.74298858643 4.49156498909 10.3049127261
5 347 (6, 346) 12.9848627249 0 1.67811934153 83.0980679989 9.2134103775 8.35938358307 5.85387174288 5.27474459012 11.353641669
5 349 (24, 174) 365.585148454 0 1.35741360982 31.4796036879 4.02977434794 3.51114098231 2.37735501925 2.15146835645 6.31051031748
5 353 (2, 352) 1.1948800087 0.714374224345 0 65.8776086171 6.37984236081 5.22864429156 3.79475975037 3.57911936442 9.62928764025
5 359 (1, 179) 0.133538325628 0 0 18.195939223 4.12293338776 3.86228966713 3.09176198641 2.73818095525 5.20320463181
5 361 (9, 171) 28.4797605673 0 2.100654761 37.6437546412 3.81950076421 4.15750471751 2.69894242287 2.66934895515 7.3381070296
5 367 (6, 122) 10.370095253 0 1.67189097404 24.7058156331 3.0556456248 3.5377193292 1.83243091901 2.09255361557 8.0408800443
5 373 (4, 372) 5.62855871518 0 1.28147800763 99.9468300343 11.1302519639 8.51476605733 5.50273172061 5.5452636083 11.8108912309
5 379 (2, 21) 1.82921965917 1.1315073967 0 5.2733669281 0.675149043401 0.691266616186 0.500206311544 0.457708358765 7.02998733521
5 383 (12, 382) 102.374146382 0 0 112.840596279 10.8788102468 10.5737893581 6.96071807543 6.28196366628 13.8492536545
5 389 (24, 97) 550.438379169 0 2.07764426867 26.885412693 2.95349200567 2.0663708051 1.59964036942 1.63031228383 8.52501861254
5 397 (6, 396) 15.2592953046 0 2.33264668783 116.994376262 11.6491330465 9.61271293958 6.94508568446 7.02535200119 13.6615790526
5 401 (2, 25) 1.66110094388 1.1974773407 0 6.6240893205 1.08370399475 0.746121009191 0.562681992849 0.714919646581 8.88926386833
5 409 (4, 17) 7.85725959142 0 2.62590440114 5.47242371241 0.832839647929 0.494370539983 0.395151297251 0.605957269669 8.98969634374
5 419 (1, 209) 0.181130727132 0 3.0113723278 38.4659410318 6.40070366859 6.37720402082 4.17757940292 4.35657699903 11.0448113283
5 421 (16, 210) 266.142782132 0 2.43674492836 77.8364009062 7.85359811783 7.77644077937 4.70362377167 4.77377676964 14.5227530797
5 431 (2, 215) 2.23621431986 1.56730135282 2.60006229083 42.9790210724 7.95597513517 6.61778537432 5.08302601178 4.89240773519 10.1616560618
5 433 (4, 432) 7.70571128527 0 2.17871928215 163.622185866 13.4304710229 11.6085015933 8.67351857821 8.84649125735 17.2597323259
5 439 (21, 219) 549.670716524 0 0 83.351142327 7.99784294764 8.43795204163 4.57463463147 5.30810769399 13.8584462802
5 443 (2, 442) 1.75406773885 1.49750034014 0 94.9866161346 11.9675486883 10.6236083508 7.4869316419 8.44095428785 14.7409493128
5 449 (8, 14) 32.5182222525 0 0 4.08452121417 0.568163315455 0.312880754471 0.208892345428 0.318466027578 9.39326699575
5 457 (1, 152) 0.264255046844 0 4.19283032417 55.6669823329 6.17195534706 5.45874540011 3.85878062248 3.64556908607 14.2378745874
5 461 (6, 115) 21.0145783424 0 0 54.886588335 4.57240859667 3.92985526721 2.66050457954 3.09919667244 13.8326177597
5 463 (12, 462) 161.580037991 0 1.91071669261 211.344317675 16.341608127 14.5536980629 8.37801559766 9.2228837808 20.8196922938
5 467 (2, 466) 2.70879769325 1.53564167023 0 226.12564834 16.8235034148 13.9138626258 9.23514795303 9.46672129631 19.7958099047
5 479 (8, 239) 43.9792009989 0 2.95702536901 116.180407604 10.5135170619 10.9720519384 5.85824839274 6.7726650238 16.9024460316
5 487 (1, 54) 0.267706712087 0 3.58186570803 26.4235363007 2.66378593445 1.96744736036 1.40845235189 1.51684061686 14.2123900255
5 491 (2, 245) 2.67387771606 1.61537599564 2.72883796692 66.486375014 11.3425386747 10.4765541553 6.97517474492 6.86861491203 14.4739335378
5 499 (4, 249) 10.7826823394 0 3.02113159498 119.06630969 11.1122580369 11.3129859765 7.06154632568 7.88014666239 22.9198290507
5 503 (3, 502) 6.17516636848 0 3.53646032015 294.092346589 23.1169025898 20.712224404 11.7117240429 12.5492404302 24.5661829313
5 509 (1, 254) 0.271299362183 0 3.19465001424 58.2236904303 8.61616929372 10.6504220168 7.04972028732 7.49371703466 15.2130160332
7 257 (1, 256) 0.0627443790436 0 0.886319001516 17.6069357395 2.26366567612 1.98709829648 1.3180466493 1.3209520181 2.85570780436
7 263 (2, 262) 0.647741317749 0.434470653534 0.638216336568 18.4523599943 2.67785930634 2.64409995079 1.66313465436 1.65675671895 3.33711528778
7 269 (1, 268) 0.0589799880981 0 1.22145390511 23.729165713 4.08566824595 3.70335563024 2.66361498833 2.20806598663 5.08068863551
7 271 (3, 135) 1.89105407397 0 1.13188433647 11.1411109765 1.60439928373 1.56536873182 1.03457593918 1.0671479702 2.93683377902
7 277 (4, 138) 2.40875641505 0 0.678606033325 10.7896896203 1.61112833023 1.49927934011 1.01146936417 1.04707829158 2.9777109623
7 281 (1, 20) 0.0603203773499 0 0.844805717468 0.917424360911 0.298350334167 0.228801012039 0.169505993525 0.199407656988 1.33581972122
7 283 (3, 141) 1.41763965289 0 0.886886755625 11.7279512882 1.78316362699 1.74230400721 1.15642301242 1.19359119733 3.26351706187
7 289 (3, 272) 1.55418841044 0 0.834089994431 23.5875920455 2.85173829397 3.30803632736 2.39980133375 2.4436027209 4.57973567645
7 293 (1, 292) 0.0650646686554 0 0.835990667343 19.5424293677 5.2149699529 4.2610613505 2.96505999565 3.24446439743 4.40551670392
7 307 (2, 153) 0.840559720993 0.545949697495 0 15.7179636955 2.11364038785 2.07408388456 1.3285750548 1.37726958593 3.84065326055
7 311 (3, 31) 1.6902996699 0 0.910141309102 3.20784974098 0.543471018473 0.439034620921 0.296424070994 0.354355573654 2.97746968269
7 313 (3, 104) 1.71747962634 0 0.91604868571 11.1430383523 1.57126887639 1.37468099594 0.923795700073 0.979312737783 3.64823365211
7 317 (26, 158) 345.331982017 0 1.43878531456 17.8733896414 2.4293457667 2.42220799128 1.53537408511 1.58606441816 4.33583935102
7 331 (3, 110) 1.92685071627 0 1.05112703641 13.6885032654 1.79609672228 1.57432683309 1.05409328143 1.11846375465 4.14694857597
7 337 (10, 56) 41.8189652761 0 1.09797032674 7.1709801356 1.00293366114 0.777030070623 0.55400967598 0.622292677561 3.78308049838
7 347 (6, 346) 14.1674104532 0 1.25616089503 51.5512079398 5.6052189668 5.02164999644 3.2827483813 3.28555870056 6.67442067464
7 349 (5, 348) 6.09063975016 0 1.42206279437 52.7017509143 5.74905808767 5.12876439095 3.38812438647 3.39350303014 6.81950998306
7 353 (45, 32) 1246.48259878 0 0 4.60588574409 0.682001988093 0.479253927867 0.345894972483 0.420977274577 4.09710097313
7 359 (1, 358) 0.0999465783437 0 0 32.2770947615 5.94171730677 5.35135531425 3.54740333557 3.5413424174 5.71616101265
7 361 (3, 57) 2.66151062648 0 0 8.66820438703 0.901010592779 0.843158642451 0.577004988988 0.656523704529 4.48554404577
7 367 (3, 61) 2.40729029973 0 1.45218841235 10.0931706429 1.34091766675 1.1274784406 0.740013599396 0.829175313314 4.85483900706
7 373 (2, 62) 1.12705024083 0.86870765686 1.32193128268 10.6226689816 1.37211696307 1.10876957575 0.753975629807 0.841036637624 5.00079933802
7 379 (12, 378) 84.9813317458 0 0 72.4864126841 7.0104060173 6.4710316658 3.99980608622 3.99322295189 8.36252387365
7 383 (12, 191) 87.0202844938 0 0 36.9378654162 4.38904507955 4.55563958486 2.81606809298 2.90638931592 7.45130864779
7 389 (24, 97) 436.846844554 0 2.437403361 18.623765707 2.09240460396 1.59417772293 1.13693571091 1.23474860191 5.940827926
7 397 (1, 396) 0.128541946411 0 1.61430470149 84.6275446415 7.85583329201 6.55617841085 4.36630431811 4.37147172292 9.26333793004
7 401 (8, 200) 37.8506162961 0 1.64013806979 42.4467275143 4.29143842061 3.73868759473 2.49315230052 2.58517138163 7.60798501968
7 409 (4, 24) 5.3774163723 0 1.55187797546 5.15554332733 0.762115716934 0.489829381307 0.3396803538 0.446106036504 5.64316129684
7 419 (1, 19) 0.137785752614 0 1.88929128647 2.33148590724 0.664393583934 0.422327280045 0.298845688502 0.384180704753 3.29603767395
7 421 (10, 70) 70.9662319819 0 0 16.694770654 1.91890597343 1.48262635867 1.02754664421 1.15707866351 6.92915471395
7 431 (2, 430) 1.50219368935 0.933616638184 0 63.0185819467 9.79076743126 8.77928471565 5.69753869375 5.72011065483 10.2398379644
7 433 (1, 432) 0.149691025416 0 0 117.263698578 9.62113769849 7.78474529584 5.11641693115 5.1025613149 11.232285738
7 439 (2, 73) 1.56747031212 1.07632430394 0 19.7059639295 2.19155502319 1.79981033007 1.17409737905 1.31213061015 7.72055665652
7 443 (1, 442) 0.147289355596 0 1.91684134801 69.5913896561 10.312177976 9.11114096642 5.81703853607 5.83714866638 9.36210330327
7 449 (2, 112) 1.61968167623 1.20582930247 0 32.0634627342 3.20590098699 2.39334964752 1.6949716409 1.84154136976 8.86347961426
7 457 (15, 114) 213.163185358 0 2.29685465495 34.5485310555 3.40874592463 2.58193596204 1.74862170219 1.91611528397 9.20748996735
7 461 (2, 460) 1.68970227242 1.35803453128 0 149.206365506 11.6261324883 9.63889638583 6.05443938573 6.05119975408 13.3396859964
7 463 (12, 154) 133.192193031 0 2.23494140307 49.0555458864 4.75943199793 4.3188893795 2.77523493767 2.95173041026 10.4996174177
7 467 (3, 233) 3.9492345651 0 2.46692919731 76.1921166579 6.84594360987 6.37774848938 3.90504233042 4.05560628573 11.7336443265
7 479 (4, 239) 11.8356046677 0 2.94979667664 84.6930083434 7.64205495516 7.78019595146 4.53026207288 4.69851064682 12.920680364
7 487 (4, 162) 12.1421027184 0 2.5053683122 59.3584490617 5.38693237305 4.77844103177 2.9870522817 3.18748903275 11.8132340113
7 491 (1, 490) 0.198565324148 0 0 101.150718927 13.4892933369 11.7204106649 7.37245035172 7.33826144536 12.9493347009
7 499 (1, 498) 0.205753405889 0 3.58522550265 202.2313176 14.4513498147 12.4584652583 7.44880604744 7.46625097593 16.527879715
