# ./benchmark.sh 21 2**40 2**40+2**8 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**8], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/21.dat', )"
1099511627791 1031 (2, 1030) 1134.03795695 499.031536102 1450.61432695 18893.7507591 576.819214106 398.314763069 369.876178026 368.231422901 677.427770853
1099511627791 1033 (2, 129) 1088.62533498 699.5973351 1452.67164111 4497.26402903 103.559973955 57.5146479607 52.4858870506 131.554378033 569.998320103
1099511627791 1039 (2, 346) 1098.11454296 707.178107977 1597.74755216 12329.772795 258.018532991 180.873595953 152.640483856 214.761384964 667.933031082
1099511627791 1049 (2, 524) 1115.83393192 524.517557859 1525.49245405 10201.978797 370.046849012 279.628290892 245.686714172 286.456057072 582.383670092
1099511627791 1051 (12, 210) 47677.925328 0 1773.01360297 7692.59310222 168.586410046 110.595750093 91.0892300606 167.647361994 641.881187916
1099511627803 1031 (2, 1030) 1074.21222901 629.371484995 1450.97828698 18883.4921112 573.338201046 395.781406164 368.440387964 367.5751369 705.169996977
1099511627803 1033 (4, 258) 4856.74244094 0 1689.20805907 9000.01637983 188.689767122 118.22064209 108.074259996 177.030853033 616.913870811
1099511627803 1039 (4, 1038) 4932.71197701 0 1699.90228796 37408.615613 593.653856993 440.936402798 388.684838057 388.323521137 838.651607037
1099511627803 1049 (1, 262) 139.109520912 0 1558.54246998 4987.61672807 201.483564854 132.794329882 118.401843071 184.208708048 484.265316963
1099511627803 1051 (1, 525) 138.99873209 0 1694.19099712 19354.9269991 373.00357008 293.088920832 245.038435936 293.124364138 767.149230003
1099511627831 1031 (1, 1030) 132.092766047 0 1615.70013714 18882.293278 572.196250916 396.483215094 368.195544958 368.56751585 548.68599081
1099511627831 1033 (1, 1032) 131.243601799 0 1530.85558105 36477.9661751 549.633548021 372.823676825 366.525718927 366.270236969 798.876953125
1099511627831 1039 (4, 1038) 4919.64580703 0 1633.59716797 37272.4595251 589.150420904 440.02887392 390.732843876 390.399809122 839.025860071
1099511627831 1049 (2, 524) 1119.12583709 590.842428923 1727.40111184 9742.94084096 362.872519016 273.678889036 241.574155092 283.443392038 556.091251135
1099511627831 1051 (12, 150) 47374.7232409 0 1590.2333169 5481.13315487 130.058089018 79.9467988014 67.5604500771 151.75000596 623.470585823
1099511627873 1031 (1, 1030) 131.177135944 0 1669.01506495 18863.783113 561.126663923 392.143765926 361.703235149 361.69864893 651.775367022
1099511627873 1033 (4, 129) 4860.11026597 0 1753.17438507 4488.46829915 103.251098156 57.5787699223 51.9157230854 130.445567131 569.718007088
1099511627873 1039 (2, 519) 1097.39977002 841.431577921 1465.89640403 18457.185359 369.585052967 284.174626112 234.623656988 279.305780888 732.974478006
1099511627873 1049 (2, 131) 1114.31271601 523.148436785 2066.01460505 2395.73150301 109.152605057 63.3727149963 55.348995924 131.293796062 445.257766008
