# ./benchmark.sh 24 5 2**8 2**11 2**11+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**8], nbound=[2**11,2**11+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/24.dat', )"
5 2053 (23, 2052) 13094.1933022 0 80.1222929955 6334.22267699 835.517549992 357.365678787 226.466797829 227.370895147 690.036898851
5 2063 (2, 2062) 59.3047440052 33.3015539646 57.547752142 11740.4692969 958.085102797 405.803602934 234.523993015 235.188191891 548.763058901
5 2069 (1, 94) 4.81409192085 0 60.6191499233 576.351422071 87.9216270447 22.6767511368 13.5168850422 16.9091820717 357.49468112
7 2053 (46, 342) 72926.300102 0 92.5669209957 1695.26400995 216.366523027 77.1660950184 49.2041311264 56.1410319805 526.261088133
7 2063 (2, 1031) 67.8851881027 49.6181440353 86.3091011047 6077.87617803 571.404430866 254.072700024 144.001667976 146.814086914 481.492499113
7 2069 (2, 517) 68.3550329208 46.6113581657 76.8556160927 3056.05139208 302.582632065 123.091063023 75.5758330822 80.6216681004 375.673056841
11 2053 (46, 684) 72437.2992802 0 0 3858.57005596 377.814201117 153.566006899 97.3987278938 104.468369961 621.998491049
11 2063 (1, 1031) 8.37179398537 0 96.5705959797 6811.47142005 583.338747025 268.954161882 156.651268959 159.483217001 552.708295107
11 2069 (2, 47) 83.1710321903 46.091408968 104.662743092 298.028158903 60.1920239925 12.967258215 7.62313699722 13.4018008709 385.810116053
13 2053 (46, 513) 73787.162425 0 137.774958134 3007.0226469 297.868431091 119.661272049 74.9232099056 83.6229021549 597.589875937
13 2063 (2, 1031) 86.1767430305 39.2971279621 110.187558174 7121.00212908 586.662411928 270.003315926 157.808385849 161.392437935 521.487879992
13 2069 (2, 2068) 86.4358301163 43.7466201782 110.42287302 14013.4264009 883.446504116 398.296337128 246.091505051 246.357895136 580.212543011
17 2053 (23, 513) 16942.0385549 0 146.996633053 3041.31888914 303.31031394 125.67167592 77.2823410034 86.5952000618 665.36925292
17 2063 (1, 2062) 11.3966610432 0 141.760813951 13840.992981 982.30964613 454.23904705 266.411083937 266.749279022 616.740552187
17 2069 (1, 2068) 11.471173048 0 132.686141014 13976.3625581 895.917584896 419.337526798 255.433849096 255.72804904 645.324918985
19 2053 (46, 1026) 87475.842387 0 157.596568823 6151.58495808 542.525491953 259.103434086 156.61076498 163.819832802 747.867376089
19 2063 (2, 2062) 97.6270389557 52.2717130184 151.673623085 14091.9510651 1009.53287792 467.894538879 276.08709693 277.038034201 626.056020975
19 2069 (2, 1034) 98.4138960838 46.7466888428 158.640351057 7475.91412497 565.45057416 269.986333847 163.927228212 167.528739929 472.963503122
