# ./benchmagma.sh m08 2**60 2**60+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**60,2**60+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m08.dat')"
1152921504606847009 5 (2, 2) 0.787449677785
1152921504606847009 7 (1, 2) 0.0416955947876
1152921504606847009 9 (2, 3) 0.18093029658
1152921504606847009 11 (2, 1) 0.33064699173
1152921504606847009 13 (1, 4) 0.0968170166016
1152921504606847009 17 (1, 8) 0.15812253952
1152921504606847009 19 (1, 18) 0.141849676768
1152921504606847009 23 (1, 22) 0.187657992045
1152921504606847009 25 (1, 10) 0.275886615117
1152921504606847009 27 (1, 9) 0.253304640452
1152921504606847009 29 (2, 7) 1.39021166166
1152921504606847009 31 (2, 30) 1.83954699834
1152921504606847009 37 (4, 4) 11.6288922628
1152921504606847009 41 (2, 40) 3.48023136457
1152921504606847009 43 (2, 3) 3.97403033574
1152921504606847009 47 (6, 23) 110.130091031
1152921504606847009 49 (4, 14) 44.8993972937
1152921504606847009 53 (1, 13) 2.35756659508
1152921504606847009 59 (12, 58) 373.047219992
1152921504606847009 61 (1, 5) 2.99444699287
1152921504606847009 67 (1, 33) 1.19466702143
1152921504606847009 71 (4, 70) 49.8660756747
1152921504606847009 73 (4, 12) 52.6679235299
1152921504606847009 79 (1, 39) 1.74392533302
1152921504606847009 81 (1, 27) 552.386744022
1152921504606847009 83 (1, 82) 1.95032270749
1152921504606847009 89 (2, 88) 16.0124366283
1152921504606847009 97 (2, 32) 18.9622975985
1152921504606847009 101 (6, 25) 274.116765817
1152921504606847009 103 (6, 17) 292.939479669
1152921504606847009 107 (1, 53) 3.40663695335
1152921504606847009 109 (10, 27) 1184.61512399
1152921504606847009 113 (2, 7) 27.508960406
1152921504606847009 121 (6, 1) 447.16247797
1152921504606847009 125 (2, 50) 49.6618134181
1152921504606847009 127 (4, 63) 278.887972593
1152921504606847009 131 (2, 10) 59.88332359
1152921504606847009 137 (6, 136) 819.71181798
1152921504606847009 139 (1, 23) 11.8676356475
1152921504606847009 149 (1, 148) 12.0654979547
1152921504606847009 151 (2, 75) 85.867634058
1152921504606847009 157 (5, 39) 788.230929136
1152921504606847009 163 (2, 27) 91.8435559273
1152921504606847009 167 (7, 83) 2043.49528003
1152921504606847009 169 (4, 52) 511.002875924
1152921504606847009 173 (1, 86) 15.2528539499
1152921504606847009 179 (2, 178) 110.015659571
1152921504606847009 181 (3, 45) 263.162169695
1152921504606847009 191 (1, 19) 13.3028713862
1152921504606847009 193 (1, 192) 13.7551106612
1152921504606847009 197 (18, 196) 14348.7827959
1152921504606847009 199 (4, 99) 552.272680521
1152921504606847009 211 (10, 10) 4901.6735661
1152921504606847009 223 (3, 111) 366.709642529
1152921504606847009 227 (6, 226) 1752.80415106
1152921504606847009 229 (3, 76) 385.771674514
1152921504606847009 233 (1, 29) 21.4072946707
1152921504606847009 239 (2, 17) 162.313162724
1152921504606847009 241 (6, 24) 1968.31854296
1152921504606847009 243 (1, 81) 23.7836553256
1152921504606847009 251 (2, 250) 191.910435041
1152921504606847067 5 (1, 4) 0.0158401330312
1152921504606847067 7 (1, 1) 0.0235789616903
1152921504606847067 9 (2, 6) 0.162389993668
1152921504606847067 11 (1, 5) 0.0867940584819
1152921504606847067 13 (2, 1) 0.484299023946
1152921504606847067 17 (6, 16) 6.92210197449
1152921504606847067 19 (10, 18) 29.7630370458
1152921504606847067 23 (1, 11) 0.245682398478
1152921504606847067 25 (2, 20) 1.41290624936
1152921504606847067 27 (2, 18) 55.3836580912
1152921504606847067 29 (1, 7) 0.49599870046
1152921504606847067 31 (5, 2) 15.7307968934
1152921504606847067 37 (2, 6) 2.89277529716
1152921504606847067 41 (1, 5) 0.962303638458
1152921504606847067 43 (1, 7) 1.00864664714
1152921504606847067 47 (1, 23) 2.57140000661
1152921504606847067 49 (2, 7) 11.3917699655
1152921504606847067 53 (2, 26) 12.6775863965
1152921504606847067 59 (4, 29) 45.0242109299
1152921504606847067 61 (6, 60) 213.514085611
1152921504606847067 67 (4, 66) 64.9723717372
1152921504606847067 71 (8, 70) 267.544573307
1152921504606847067 73 (1, 6) 1.4575343132
1152921504606847067 79 (4, 78) 75.3857493401
1152921504606847067 81 (2, 54) 3335.47883606
1152921504606847067 83 (1, 41) 2.84959896406
1152921504606847067 89 (2, 4) 20.0291686058
1152921504606847067 97 (1, 12) 3.61793828011
1152921504606847067 101 (3, 50) 70.5537802378
1152921504606847067 103 (6, 102) 347.182919979
1152921504606847067 107 (6, 106) 367.535312533
1152921504606847067 109 (5, 9) 301.768612226
1152921504606847067 113 (2, 112) 34.7693428993
1152921504606847067 121 (3, 55) 117.053000291
1152921504606847067 125 (2, 100) 34.7785819372
1152921504606847067 127 (2, 3) 36.1617886225
1152921504606847067 131 (2, 65) 39.0595949491
1152921504606847067 137 (6, 68) 690.326408505
1152921504606847067 139 (1, 69) 8.08361673355
1152921504606847067 149 (8, 74) 1651.94429302
1152921504606847067 151 (2, 10) 65.9410569668
1152921504606847067 157 (10, 78) 3045.61612201
1152921504606847067 163 (2, 27) 78.2347069581
1152921504606847067 167 (7, 83) 1791.60798001
1152921504606847067 169 (1, 13) 11.7639647325
1152921504606847067 173 (1, 43) 14.4495773315
1152921504606847067 179 (2, 178) 101.278972308
1152921504606847067 181 (2, 10) 117.433138371
1152921504606847067 191 (1, 190) 19.4218889872
1152921504606847067 193 (2, 48) 131.611610333
1152921504606847067 197 (18, 98) 14333.2990422
1152921504606847067 199 (1, 22) 20.6051810582
1152921504606847067 211 (10, 210) 6265.30345297
1152921504606847067 223 (3, 74) 390.490389824
1152921504606847067 227 (2, 226) 144.614614646
1152921504606847067 229 (4, 57) 759.18196702
1152921504606847067 233 (2, 232) 152.262309631
1152921504606847067 239 (1, 238) 23.0759077072
1152921504606847067 241 (6, 60) 2035.32758999
1152921504606847067 243 (2, 162) 167.86270531
1152921504606847067 251 (2, 250) 199.117206335
1152921504606847081 5 (2, 1) 0.0519283612569
1152921504606847081 7 (2, 1) 0.0671411355337
1152921504606847081 9 (1, 3) 0.0411706765493
1152921504606847081 11 (3, 10) 0.860765616099
1152921504606847081 13 (2, 12) 0.35653201739
1152921504606847081 17 (8, 8) 9.6785826683
1152921504606847081 19 (10, 9) 23.5246252219
1152921504606847081 23 (2, 2) 1.16204301516
1152921504606847081 25 (1, 5) 17.3579463959
1152921504606847081 27 (1, 9) 27.1396567027
1152921504606847081 29 (2, 14) 2.29842996597
1152921504606847081 31 (10, 30) 68.6651703517
1152921504606847081 37 (2, 18) 3.36240967115
1152921504606847081 41 (2, 40) 3.78228036563
1152921504606847081 43 (4, 7) 18.4944256147
1152921504606847081 47 (2, 46) 9.41402157148
1152921504606847081 49 (4, 1) 48.0604746342
1152921504606847081 53 (2, 26) 10.4349022706
1152921504606847081 59 (1, 58) 1.89398860931
1152921504606847081 61 (6, 30) 153.076129039
1152921504606847081 67 (4, 33) 43.6084167163
1152921504606847081 71 (8, 35) 300.475191355
1152921504606847081 73 (2, 36) 12.8348219395
1152921504606847081 79 (4, 39) 76.4695320924
1152921504606847081 81 (1, 27) 651.127963066
1152921504606847081 83 (2, 82) 17.8862903118
1152921504606847081 89 (1, 88) 2.73023366928
1152921504606847081 97 (2, 32) 22.1444910367
1152921504606847081 101 (2, 4) 22.9787714481
1152921504606847081 103 (1, 2) 3.73237299919
1152921504606847081 107 (2, 106) 29.3704953194
1152921504606847081 109 (10, 12) 1400.82334399
1152921504606847081 113 (1, 28) 3.83083001773
1152921504606847081 121 (6, 110) 503.931928396
1152921504606847081 125 (1, 25) 114.485602935
1152921504606847081 127 (2, 63) 43.5742750168
1152921504606847081 131 (1, 26) 6.90389593442
1152921504606847081 137 (2, 136) 50.4041172663
1152921504606847081 139 (1, 23) 8.07148893674
1152921504606847081 149 (1, 74) 8.88454437256
1152921504606847081 151 (2, 150) 70.2324967384
1152921504606847081 157 (10, 39) 2820.31598902
1152921504606847081 163 (4, 18) 429.679239631
1152921504606847081 167 (14, 166) 6649.51944709
1152921504606847081 169 (4, 156) 419.087446451
1152921504606847081 173 (2, 172) 90.8669620355
1152921504606847081 179 (1, 89) 14.5957197348
1152921504606847081 181 (3, 180) 273.270837307
1152921504606847081 191 (2, 190) 114.920055072
1152921504606847081 193 (2, 48) 115.027846336
1152921504606847081 197 (6, 196) 1561.11338401
1152921504606847081 199 (2, 66) 103.933970292
1152921504606847081 211 (5, 210) 955.245079041
1152921504606847081 223 (12, 222) 7289.81329894
1152921504606847081 227 (1, 113) 20.6168329716
1152921504606847081 229 (1, 19) 20.9270013968
1152921504606847081 233 (2, 116) 152.063889027
1152921504606847081 239 (1, 119) 22.8072552681
1152921504606847081 241 (6, 240) 1961.29146791
1152921504606847081 243 (1, 81) 23.8234546185
1152921504606847081 251 (2, 25) 184.550103982
1152921504606847123 5 (1, 4) 0.0161426067352
1152921504606847123 7 (4, 1) 0.661116361618
1152921504606847123 9 (2, 3) 0.10477399826
1152921504606847123 11 (1, 5) 0.0612723032633
1152921504606847123 13 (4, 4) 1.24135367076
1152921504606847123 17 (3, 16) 1.11099298795
1152921504606847123 19 (5, 18) 4.54399196307
1152921504606847123 23 (1, 11) 0.176326036453
1152921504606847123 25 (4, 20) 0.213629325231
1152921504606847123 27 (1, 9) 1.14762401581
1152921504606847123 29 (2, 28) 1.33308808009
1152921504606847123 31 (5, 30) 13.063458999
1152921504606847123 37 (4, 9) 11.7706414064
1152921504606847123 41 (1, 10) 0.693472385406
1152921504606847123 43 (2, 42) 3.10633206367
1152921504606847123 47 (6, 23) 102.42800204
1152921504606847123 49 (1, 7) 2.13600174586
1152921504606847123 53 (1, 52) 2.38896505038
1152921504606847123 59 (6, 58) 87.2878270149
1152921504606847123 61 (2, 60) 12.721266667
1152921504606847123 67 (4, 33) 44.5697748661
1152921504606847123 71 (4, 35) 51.0532947381
1152921504606847123 73 (4, 6) 54.257957538
1152921504606847123 79 (1, 78) 1.75287898382
1152921504606847123 81 (2, 27) 12.8630040487
1152921504606847123 83 (1, 41) 1.96280439695
1152921504606847123 89 (1, 1) 2.2786860466
1152921504606847123 97 (1, 48) 2.69843840599
1152921504606847123 101 (2, 20) 20.9298607508
1152921504606847123 103 (6, 51) 293.836220662
1152921504606847123 107 (1, 53) 3.39436904589
1152921504606847123 109 (5, 54) 230.705803315
1152921504606847123 113 (1, 56) 3.8307706515
1152921504606847123 121 (3, 55) 87.0984724363
1152921504606847123 125 (2, 100) 34.5763242245
1152921504606847123 127 (2, 63) 36.6940979958
1152921504606847123 131 (1, 5) 5.54491996765
1152921504606847123 137 (1, 136) 6.1269929409
1152921504606847123 139 (2, 46) 44.1367870172
1152921504606847123 149 (8, 148) 1396.54610181
1152921504606847123 151 (3, 25) 149.612377008
1152921504606847123 157 (10, 39) 2465.14868593
1152921504606847123 163 (1, 162) 9.24550596873
1152921504606847123 167 (7, 83) 1372.901016
1152921504606847123 169 (4, 52) 369.680840969
1152921504606847123 173 (1, 86) 10.5697436333
1152921504606847123 179 (2, 89) 80.7075660229
1152921504606847123 181 (6, 45) 1163.84810805
1152921504606847123 191 (2, 95) 93.8858070374
1152921504606847123 193 (2, 64) 96.2625099818
1152921504606847123 197 (18, 49) 14499.1930451
1152921504606847123 199 (2, 99) 103.288591703
1152921504606847123 211 (10, 105) 4922.80847597
1152921504606847123 223 (12, 37) 7655.03901601
1152921504606847123 227 (24, 113) 32946.9716921
1152921504606847123 229 (12, 76) 8041.55356503
1152921504606847123 233 (2, 232) 151.273689588
1152921504606847123 239 (1, 238) 22.9158646266
1152921504606847123 241 (3, 240) 428.104785562
1152921504606847123 243 (2, 81) 168.948832273
1152921504606847123 251 (1, 250) 25.8878223896
1152921504606847127 5 (1, 4) 0.0156317551931
1152921504606847127 7 (2, 6) 0.0614460309347
1152921504606847127 9 (1, 2) 0.0393928686778
1152921504606847127 11 (3, 5) 0.885651429494
1152921504606847127 13 (1, 3) 0.0598817666372
1152921504606847127 17 (6, 16) 5.28784807523
1152921504606847127 19 (5, 9) 4.51723098755
1152921504606847127 23 (2, 2) 0.812968015671
1152921504606847127 25 (4, 20) 24.0646150112
1152921504606847127 27 (2, 2) 1.15573708216
1152921504606847127 29 (2, 14) 1.35181570053
1152921504606847127 31 (10, 15) 64.1939822833
1152921504606847127 37 (4, 36) 11.5530094306
1152921504606847127 41 (2, 40) 2.7690606912
1152921504606847127 43 (2, 21) 3.09371137619
1152921504606847127 47 (6, 46) 104.490100622
1152921504606847127 49 (4, 42) 45.2474051317
1152921504606847127 53 (1, 13) 2.37570134799
1152921504606847127 59 (3, 58) 17.0783464114
1152921504606847127 61 (1, 60) 3.03758271535
1152921504606847127 67 (1, 33) 1.19900806745
1152921504606847127 71 (1, 5) 1.38130831718
1152921504606847127 73 (4, 18) 53.443022569
1152921504606847127 79 (1, 39) 1.73652060827
1152921504606847127 81 (2, 6) 12.8495323658
1152921504606847127 83 (1, 82) 1.92448027929
1152921504606847127 89 (2, 44) 15.9709112644
1152921504606847127 97 (4, 96) 102.166224957
1152921504606847127 101 (3, 5) 56.9315597216
1152921504606847127 103 (1, 102) 3.11131660144
1152921504606847127 107 (6, 53) 322.983538389
1152921504606847127 109 (2, 54) 25.1658306122
1152921504606847127 113 (1, 112) 4.40458496412
1152921504606847127 121 (6, 55) 455.682167411
1152921504606847127 125 (4, 100) 469.454072595
1152921504606847127 127 (2, 42) 35.5943969886
1152921504606847127 131 (1, 65) 5.46960902214
1152921504606847127 137 (3, 136) 120.028601726
1152921504606847127 139 (2, 23) 44.2258675893
1152921504606847127 149 (4, 148) 285.503839334
1152921504606847127 151 (3, 1) 151.397548596
1152921504606847127 157 (10, 13) 2446.64236403
1152921504606847127 163 (4, 162) 344.071548939
1152921504606847127 167 (7, 83) 1445.36120701
1152921504606847127 169 (4, 39) 367.373393059
1152921504606847127 173 (1, 86) 10.555483977
1152921504606847127 179 (2, 178) 80.4291606744
1152921504606847127 181 (3, 180) 227.889253378
1152921504606847127 191 (1, 95) 13.3505113125
1152921504606847127 193 (2, 3) 96.2750213146
1152921504606847127 197 (2, 196) 102.08102258
1152921504606847127 199 (4, 198) 535.399908543
1152921504606847127 211 (5, 14) 993.885865927
1152921504606847127 223 (12, 222) 7662.54848218
1152921504606847127 227 (1, 113) 20.6130110423
1152921504606847127 229 (2, 12) 146.17495815
1152921504606847127 233 (2, 232) 151.464993
1152921504606847127 239 (2, 119) 161.807971557
1152921504606847127 241 (2, 10) 164.38867871
1152921504606847127 243 (2, 18) 168.542594035
1152921504606847127 251 (1, 50) 25.8299557368
1152921504606847189 5 (1, 2) 0.0173583030701
1152921504606847189 7 (4, 3) 0.562251726786
1152921504606847189 9 (1, 3) 3.28703101476
1152921504606847189 11 (2, 5) 0.186129331589
1152921504606847189 13 (4, 12) 1.19676152865
1152921504606847189 17 (3, 8) 1.10814491908
1152921504606847189 19 (10, 3) 21.339550972
1152921504606847189 23 (1, 22) 0.177630027135
1152921504606847189 25 (4, 10) 4.83780296644
1152921504606847189 27 (1, 9) 5.6891049544
1152921504606847189 29 (2, 28) 1.34782536825
1152921504606847189 31 (5, 15) 13.2264293035
1152921504606847189 37 (4, 1) 11.3569296201
1152921504606847189 41 (1, 4) 0.696344614029
1152921504606847189 43 (4, 21) 15.7426799933
1152921504606847189 47 (3, 23) 22.6504996618
