# ./benchmark.sh 04 3 2**9 2**10 2**10+2**5 2 3 3600 1 skip_magma=True
# model		: IBM,8231-E2B
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision a2fa7094fb6055df8f8f809ebb71e6d6c71bd859
# Magma 
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=1, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', skip_magma=True)"
3 1031 (1, 515) 0 0.96856101354 0 0 834.104360978 3498.01890167 77.6490097046 51.2885146936 51.2883516153 33.6381920179 34.0077516238 85.9217696985
3 1033 (4, 516) 0 37.3805324237 0 0 1814.65344969 0 68.6979429722 49.8876309395 49.9163893859 32.8773110708 33.6959810257 130.483661334
# ./benchmark.sh 04 3 2**9 2**10 2**10+2**5 2 3 3600 1 skip_magma=True
# model		: IBM,8231-E2B
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision a2fa7094fb6055df8f8f809ebb71e6d6c71bd859
# Magma 
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=1, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', skip_magma=True)"
3 1031 (1, 515) 0 1.11613591512 0 0 859.772997618 0 80.8315113386 54.3129405975 52.450357755 35.7807947 35.4021677176 90.8306079706
3 1033 (4, 516) 0 39.2177783648 0 0 1948.69966539 0 70.4654026031 51.0039067268 50.7807130814 33.4829137325 34.1554113229 132.229037841
3 1039 (4, 1038) 0 38.1792107423 0 0 0 0 155.896643003 95.2240859667 95.063403368 61.290905714 61.4157269796 160.989992698
# ./benchmark.sh 04 3 2**9 2**10 2**10+2**5 2 3 3600 1 skip_magma=True, cmax=512
# model		: IBM,8231-E2B
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision a2fa7094fb6055df8f8f809ebb71e6d6c71bd859
# Magma 
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=1, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', skip_magma=True, cmax=512)"
# ./benchmark.sh 04 3 2**9 2**10 2**10+2**5 2 3 3600 1 skip_magma=True, cmax=512
# model		: IBM,8231-E2B
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision a2fa7094fb6055df8f8f809ebb71e6d6c71bd859
# Magma 
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=1, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', skip_magma=True, cmax=512)"
