# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1031 3 (1, 2) 0.0056 0 0.0208 0.0004 0.0004 0.0 0.0004 0.0
1031 5 (2, 1) 0.024 0.0088 0.0048 0.0004 0.0 0.0 0 0
1031 7 (1, 3) 0.0016 0 0.0064 0.0008 0.0008 0.0 0.0004 0.0008
1031 9 (1, 6) 0.002 0 0.0084 0.0012 0.0012 0.0012 0.0012 0.0012
1031 11 (2, 10) 0.0344 0.0116 0.0108 0.0012 0.0016 0.0024 0.0024 0.002
1031 13 (1, 6) 0.0024 0 0.0244 0.0016 0.0016 0.002 0.0016 0.002
1031 17 (1, 16) 0.0028 0 0.0456 0.0028 0.0048 0.0048 0.0048 0.0052
1031 19 (10, 9) 0.2724 0 0.0456 0.0028 0.004 0.004 0.004 0.0052
1031 23 (2, 22) 0.0468 0.0228 0.0288 0.0052 0.0096 0.01 0.0088 0.01
1031 25 (2, 5) 0.0476 0.0232 0.0516 0.0024 0.004 0.0044 0.0044 0.0076
1031 27 (2, 18) 0.064 0.034 0.0348 0.0068 0.014 0.0152 0.0136 0.0172
1031 29 (1, 7) 0.004 0 0.0692 0.0036 0.0048 0.0048 0.0044 0.0068
1031 31 (5, 5) 0.1884 0 0.048 0.004 0.0044 0.0052 0.0044 0.0108
1031 37 (4, 36) 0.1744 0 0.0908 0.0244 0.0252 0.0256 0.0224 0.0308
1031 41 (2, 40) 0.084 0.04 0.0672 0.0264 0.0312 0.032 0.028 0.0312
1031 43 (4, 2) 0.2316 0 0.0788 0.0048 0.0032 0.004 0.0032 0.0192
1031 47 (6, 46) 0.5564 0 0.1268 0.074 0.0476 0.0496 0.0416 0.0592
1031 49 (4, 21) 0.278 0 0.0988 0.0244 0.0212 0.0232 0.0204 0.042
1031 53 (2, 13) 0.1104 0.0712 0.1112 0.016 0.0176 0.018 0.016 0.0304
1031 59 (1, 29) 0.0136 0 0.1936 0.0568 0.0456 0.0476 0.04 0.0748
1031 61 (3, 60) 0.254 0 0.1904 0.1504 0.0848 0.0884 0.0724 0.1072
1031 67 (1, 33) 0.0164 0 0.2096 0.0956 0.0588 0.0604 0.0512 0.108
1031 71 (2, 7) 0.1748 0.11 0.2144 0.024 0.0172 0.0172 0.0148 0.084
1031 73 (2, 6) 0.1736 0.128 0.2264 0.0224 0.0156 0.0152 0.014 0.0904
1031 79 (4, 39) 0.7184 0 0.3312 0.174 0.0996 0.1044 0.086 0.1812
1031 81 (2, 54) 0.282 0.158 0.3528 0.22 0.158 0.1732 0.1516 0.2476
1031 83 (1, 82) 0.0244 0 0.3612 0.2924 0.2016 0.1972 0.1676 0.2308
1031 89 (2, 8) 0.2536 0.176 0.336 0.0328 0.0268 0.0272 0.0232 0.0876
1031 97 (4, 3) 1.1468 0 0.4956 0.028 0.0156 0.0156 0.0144 0.1912
1031 101 (3, 50) 0.6864 0 0.5336 0.3672 0.1752 0.1752 0.1464 0.3228
1031 103 (6, 1) 3.244 0 1.9708 0.0076 0.006 0.0228 0 0
