# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741827 3 (1, 1) 0.006 0 0.024 0.0004 0.0004 0.0 0 0
1073741827 5 (1, 4) 0.0016 0 0.0288 0.0008 0.0008 0.0004 0.0012 0.0004
1073741827 7 (1, 3) 0.0024 0 0.032 0.0012 0.0012 0.0012 0.0016 0.0012
1073741827 9 (2, 3) 0.0544 0.0384 0.0408 0.0012 0.0016 0.0016 0.002 0.0012
1073741827 11 (1, 5) 0.004 0 0.058 0.0016 0.0028 0.0032 0.0036 0.0032
1073741827 13 (2, 12) 0.0764 0.0532 0.0772 0.0028 0.0072 0.0068 0.0072 0.0068
1073741827 17 (6, 2) 0.6464 0 0.0824 0.0024 0.0028 0.0028 0.0036 0.0044
1073741827 19 (10, 18) 2.6476 0 0.1004 0.0076 0.018 0.0152 0.0172 0.016
1073741827 23 (1, 11) 0.0124 0 0.1372 0.0068 0.0152 0.0144 0.0156 0.016
1073741827 25 (2, 20) 0.1732 0.1068 0.1544 0.0136 0.0256 0.0232 0.0256 0.026
1073741827 27 (1, 9) 0.0184 0 0.216 0.0084 0.0128 0.012 0.014 0.0184
1073741827 29 (8, 7) 4.1304 0 0.2684 0.0088 0.0124 0.0124 0.014 0.0216
1073741827 31 (5, 5) 1.6748 0 0.2704 0.0084 0.012 0.0116 0.0128 0.024
1073741827 37 (4, 12) 1.5656 0 0.3648 0.0196 0.0284 0.0264 0.0292 0.0452
1073741827 41 (2, 20) 0.4608 0.2268 0.4652 0.0332 0.0588 0.0544 0.0584 0.066
1073741827 43 (4, 6) 2.0764 0 0.4848 0.0172 0.0196 0.0192 0.022 0.0528
1073741827 47 (1, 23) 0.0508 0 0.6364 0.07 0.0944 0.0816 0.1 0.1304
1073741827 49 (2, 21) 0.6172 0.28 0.6668 0.0572 0.066 0.0608 0.0652 0.1084
1073741827 53 (1, 26) 0.0648 0 0.8396 0.0704 0.11 0.1032 0.108 0.1308
