# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[3,2**10], nbound=[2**10,2**10+2**5], prime=2, loops=1, verbose=True, write=True, fname=os.getcwd()+'/09.dat')
3 1031 (1, 515) 0.716 0 0 948.208 79.848 46.324 32.076 89.492
3 1033 (4, 516) 38.848 0 0 1675.336 53.644 39.192 24.74 91.76
3 1039 (4, 1038) 28.356 0 0 3561.696 149.884 95.452 60.212 156.7
3 1049 (1, 1048) 0.648 0 0 1696.152 100.468 67.784 41.532 86.884
3 1051 (28, 210) 3470.836 0 0 680.944 28.656 16.852 10.576 81.9
5 1031 (2, 515) 7.976 5.588 40.852 784.716 67.668 41.372 26.06 83.956
5 1033 (4, 1032) 60.74 0 71.28 3591.748 112.424 66.148 41.876 116.456
5 1039 (4, 173) 61.552 0 67.188 550.836 30.992 15.228 9.66 89.756
5 1049 (1, 524) 1.044 0 70.412 868.26 63.344 44.512 28.172 90.168
5 1051 (12, 525) 716.488 0 88.724 1772.42 93.2 54.648 35.712 153.26
7 1031 (1, 206) 2.26 0 68.5 355.356 36.232 18.508 11.776 34.992
7 1033 (4, 172) 70.452 0 67.396 544.18 27.84 14.352 9.628 88.0
7 1039 (4, 519) 72.136 0 67.192 1678.172 76.98 44.38 28.236 107.004
7 1049 (1, 1048) 1.276 0 0 1784.16 114.996 72.04 44.06 81.972
7 1051 (12, 1050) 1020.576 0 100.956 3565.564 128.748 77.54 46.86 126.804
11 1031 (1, 515) 1.68 0 0 811.368 75.596 53.9 36.748 102.072
11 1033 (4, 1032) 111.372 0 71.256 3489.184 120.624 71.416 46.564 128.916
11 1039 (4, 1038) 87.02 0 74.168 3825.66 140.676 80.548 51.292 136.24
11 1049 (2, 524) 17.772 9.656 100.96 922.984 72.192 47.904 31.228 81.8
11 1051 (12, 525) 1014.524 0 74.832 1998.632 78.256 50.268 31.956 122.172
13 1031 (1, 515) 1.824 0 83.648 839.016 75.784 45.176 30.064 87.624
13 1033 (1, 1032) 1.792 0 103.404 3742.68 120.984 71.492 47.04 162.636
13 1039 (1, 519) 3.15199999999 0 107.796 1886.932 80.632 47.268 30.46 117.532
13 1049 (2, 262) 18.692 9.99599999999 108.244 467.548 41.636 24.84 16.616 79.14
13 1051 (6, 1050) 234.056 0 55.704 3822.752 175.368 106.652 70.824 176.096
17 1031 (2, 206) 28.096 14.516 137.488 352.348 39.708 20.28 13.936 71.416
17 1033 (1, 516) 2.236 0 134.904 1704.2 71.792 45.488 29.552 122.36
17 1039 (1, 519) 2.264 0 103.968 1748.784 84.296 50.204 32.984 130.492
17 1049 (1, 1048) 2.34 0 84.112 2088.436 125.348 81.356 51.964 103.292
17 1051 (3, 1050) 52.636 0 80.96 3929.248 145.468 85.712 53.28 151.012
19 1031 (2, 206) 20.728 11.868 93.588 343.548 38.768 20.44 13.66 68.324
19 1033 (4, 129) 101.108 0 94.672 419.82 22.824 10.936 7.496 100.944
19 1039 (4, 519) 103.748 0 134.124 1741.908 84.02 50.084 32.996 128.332
19 1049 (2, 131) 21.24 9.96400000001 116.224 250.008 24.308 12.256 8.57599999999 77.768
19 1051 (2, 210) 21.716 13.836 80.98 722.596 39.492 22.204 14.4 116.464
23 1031 (2, 515) 21.48 9.444 84.048 864.344 79.984 48.232 31.364 71.412
23 1033 (1, 1032) 2.476 0 128.756 3466.976 125.888 76.472 51.436 141.56
23 1039 (4, 346) 107.944 0 102.404 1154.792 61.372 33.368 22.704 118.584
23 1049 (2, 1048) 22.304 10.004 75.536 1908.172 126.664 80.748 52.576 123.756
