# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[4,2**10], nbound=[2**8,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/02.dat')
5 257 (6, 256) 3.90133333333 0 2.032 15.1346666667 1.984 1.80533333333 1.18266666667 2.66133333333
5 263 (3, 262) 1.03866666667 0 4.17066666667 17.2973333333 2.31466666667 2.29733333333 1.42133333333 3.01333333333
5 269 (8, 67) 7.98 0 3.64666666667 4.48133333333 0.690666666667 0.588 0.424 2.19333333333
5 271 (2, 27) 0.577333333333 0.366666666667 0 1.816 0.330666666667 0.265333333333 0.185333333333 1.98666666667
5 277 (2, 276) 0.562666666667 0.393333333333 2.20133333333 21.084 2.696 2.64933333333 1.65066666667 3.432
5 281 (2, 140) 0.549333333333 0.392 0 5.44266666667 1.40933333333 1.352 0.922666666667 2.25066666667
5 283 (1, 282) 0.048 0 0 23.1133333333 2.87333333333 2.89066666667 1.74133333333 3.672
5 289 (6, 272) 5.09733333333 0 2.28 22.3653333333 2.048 2.67466666667 1.648 3.67066666667
5 293 (2, 292) 0.592 0.394666666667 2.23733333333 13.9173333333 2.85066666667 2.932 1.73466666667 3.19333333333
5 307 (2, 306) 0.68 0.421333333333 2.37733333333 30.796 3.584 3.29466666667 2.14533333333 4.50933333333
5 311 (2, 155) 0.696 0.414666666667 0 15.9293333333 2.04266666667 1.992 1.308 3.84533333333
5 313 (3, 8) 1.44933333333 0 2.48933333333 0.669333333333 0.164 0.1 0.0693333333334 2.62666666667
5 317 (26, 316) 291.637333333 0 4.496 35.884 4.04933333333 3.74666666667 2.43866666667 5.05066666667
5 331 (6, 165) 6.736 0 2.66133333333 19.956 2.308 2.212 1.45066666667 4.372
5 337 (16, 112) 106.293333333 0 5.08266666667 14.1133333333 1.65866666667 1.39466666667 0.988 4.03466666667
5 343 (4, 294) 2.99866666667 0 5.94266666667 39.0986666667 3.2 4.53866666667 2.616 5.76666666667
5 347 (6, 346) 7.548 0 3.29466666667 50.1733333333 5.28933333333 4.78533333333 3.18 6.532
5 349 (24, 174) 307.794 0 3.068 24.4946666667 2.804 2.692 1.76133333333 5.11466666667
5 353 (2, 352) 0.898666666667 0.585333333333 0 52.1213333333 5.14933333333 4.49866666667 2.95466666667 6.364
5 359 (1, 179) 0.076 0 0 14.088 3.00533333333 2.988 2.00933333333 4.25733333333
5 361 (9, 171) 22.004 0 4.88133333333 25.6 2.42266666667 2.65066666667 1.82266666667 5.64533333333
5 367 (6, 122) 8.42133333333 0 5.26266666667 19.5333333333 2.21066666667 1.95866666667 1.33333333333 5.244
5 373 (4, 372) 3.70266666667 0 3.75733333333 65.456 6.22 5.496 3.64266666667 7.596
5 379 (2, 21) 1.02533333333 0.664 0 3.428 0.496 0.372 0.253333333333 4.516
5 383 (12, 382) 74.2773333333 0 0 73.476 7.11866666667 6.916 4.25066666667 8.60666666667
5 389 (24, 97) 378.808 0 8.164 17.808 1.86933333333 1.44533333333 1.03866666667 5.61466666667
5 397 (6, 396) 10.0106666667 0 9.16933333333 81.1133333333 7.18933333333 6.148 4.036 8.70666666667
5 401 (2, 25) 1.11333333333 0.722666666667 0 4.752 0.624 0.398666666667 0.285333333333 5.156
5 409 (4, 17) 4.58666666667 0 7.492 3.464 0.484 0.326666666667 0.24 5.27333333333
5 419 (1, 209) 0.110666666667 0 4.58266666667 25.7533333333 4.45866666667 4.22 2.82 7.16
5 421 (16, 210) 173.652 0 5.97333333333 49.2146666667 4.644 4.28133333333 2.79733333333 8.33333333333
5 431 (2, 215) 1.24 0.801333333333 5.46 27.728 4.96266666667 4.968 3.248 7.23866666667
5 433 (4, 432) 5.04266666667 0 5.18133333333 113.049333333 8.98266666667 7.664 4.90133333333 10.772
5 439 (21, 219) 374.774 0 0 59.148 5.53066666667 5.26266666667 3.29733333333 9.48
5 443 (2, 442) 1.332 0.965333333333 0 67.2866666667 9.17733333333 8.696 5.396 9.81466666667
5 449 (8, 14) 24.7653333333 0 0 3.50533333333 0.525333333334 0.288 0.190666666667 6.97066666667
5 457 (1, 152) 0.174666666667 0 6.59333333333 44.164 4.10133333333 3.39333333333 2.34666666667 9.43466666667
5 461 (6, 115) 13.864 0 0 34.348 3.04533333333 2.528 1.72266666667 8.896
