# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**10+2**9], nbound=[3,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1031 3 (1, 2) 0.016 0 0.0506666666667 0.0 0.00133333333333 0.0 0.0 0.0
1031 5 (2, 1) 0.0306666666667 0.00933333333333 0.012 0.0 0.0 0.0 0 0
1031 7 (1, 3) 0.00266666666667 0 0.012 0.00133333333333 0.0 0.00133333333333 0.0 0.00133333333333
1031 9 (1, 6) 0.00133333333333 0 0.0146666666667 0.00133333333333 0.00133333333333 0.00133333333333 0.0 0.00133333333333
1031 11 (2, 10) 0.032 0.012 0.016 0.00133333333333 0.00266666666667 0.00266666666667 0.00133333333333 0.00266666666667
1031 13 (1, 6) 0.00266666666667 0 0.024 0.00266666666667 0.00133333333333 0.00133333333333 0.00266666666667 0.00133333333333
1031 17 (1, 16) 0.004 0 0.052 0.00266666666667 0.00533333333333 0.00533333333333 0.00533333333333 0.00533333333333
1031 19 (10, 9) 0.277333333333 0 0.0453333333333 0.00266666666667 0.004 0.004 0.004 0.00533333333333
1031 23 (2, 22) 0.0573333333333 0.0253333333333 0.0333333333333 0.00533333333333 0.00933333333333 0.00933333333333 0.00933333333333 0.0106666666667
1031 25 (2, 5) 0.052 0.0226666666667 0.0466666666667 0.004 0.004 0.004 0.004 0.008
1031 27 (2, 18) 0.064 0.0306666666667 0.0373333333333 0.00666666666667 0.0146666666667 0.0146666666667 0.0133333333333 0.0173333333333
1031 29 (1, 7) 0.004 0 0.0666666666667 0.004 0.00533333333333 0.004 0.00533333333333 0.00533333333333
1031 31 (5, 5) 0.192 0 0.0506666666667 0.004 0.00533333333333 0.004 0.00533333333333 0.0106666666667
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10+2**8,2**10+2**9], nbound=[3,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1283 3 (1, 2) 0.0146666666667 0 0 0.00266666666667 0.0 0.0 0.0 0.0
1283 5 (2, 4) 0.048 0.00933333333333 0.0213333333333 0.0 0.00133333333333 0.0 0.0 0.0
1283 7 (1, 3) 0.00266666666667 0 0.02 0.00133333333333 0.0 0.0 0.0 0.0
1283 9 (2, 6) 0.0333333333333 0.012 0.0133333333333 0.00133333333333 0.00133333333333 0.00133333333333 0.0 0.00133333333333
1283 11 (1, 10) 0.00266666666667 0 0.0173333333333 0.0 0.00133333333333 0.00266666666667 0.00266666666667 0.00133333333333
1283 13 (2, 3) 0.036 0.0146666666667 0.0213333333333 0.00133333333333 0.0 0.0 0.00133333333333 0.00133333333333
1283 17 (1, 8) 0.00266666666667 0 0.0266666666667 0.00266666666667 0.00266666666667 0.004 0.00266666666667 0.004
1283 19 (10, 18) 0.272 0 0.0546666666667 0.00266666666667 0.00666666666667 0.00666666666667 0.00666666666667 0.00666666666667
1283 23 (1, 11) 0.004 0 0.0533333333333 0.004 0.00533333333333 0.00533333333333 0.00533333333333 0.00666666666667
1283 25 (1, 20) 0.004 0 0.0426666666667 0.00666666666667 0.00933333333333 0.00933333333333 0.008 0.012
1283 27 (2, 18) 0.0586666666667 0.0386666666667 0.0613333333333 0.00666666666667 0.00933333333333 0.0106666666667 0.008 0.012
1283 29 (2, 7) 0.0626666666667 0.0333333333333 0.0653333333333 0.004 0.004 0.00533333333333 0.004 0.00666666666667
1283 31 (5, 30) 0.194666666667 0 0.0813333333333 0.016 0.0173333333333 0.0186666666667 0.016 0.0213333333333
1283 37 (4, 18) 0.193333333333 0 0.0733333333333 0.0133333333333 0.016 0.016 0.0133333333333 0.024
1283 41 (1, 40) 0.00666666666667 0 0.110666666667 0.0346666666667 0.0306666666667 0.0293333333333 0.028 0.0333333333333
1283 43 (4, 3) 0.234666666667 0 0.088 0.00533333333333 0.00533333333333 0.004 0.00533333333333 0.02
1283 47 (1, 23) 0.00933333333333 0 0.141333333333 0.028 0.028 0.028 0.024 0.0453333333333
1283 49 (1, 21) 0.0106666666667 0 0.172 0.024 0.0213333333333 0.024 0.02 0.0426666666667
