# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**8], nbound=[2**5,2**6], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741827 37 (4, 12) 1.54266666667 0 0.382666666667 0.0213333333333 0.028 0.0253333333333 0.0293333333333 0.044
1073741827 41 (2, 20) 0.416 0.222666666667 0.430666666667 0.0333333333333 0.0573333333333 0.0546666666667 0.0573333333333 0.0653333333333
1073741827 43 (4, 6) 1.988 0 0.516 0.0173333333333 0.0186666666667 0.02 0.0213333333333 0.052
1073741827 47 (1, 23) 0.0506666666667 0 0.714666666667 0.0693333333333 0.0853333333333 0.08 0.0826666666667 0.117333333333
1073741827 49 (2, 21) 0.601333333333 0.312 0.702666666667 0.0573333333333 0.0653333333333 0.06 0.0653333333333 0.106666666667
1073741827 53 (1, 26) 0.0653333333333 0 0.876 0.0706666666667 0.108 0.102666666667 0.106666666667 0.129333333333
1073741827 59 (1, 1) 0.0853333333333 0 0.994666666667 0.00933333333333 0.00533333333334 0.0133333333333 0 0
1073741827 61 (3, 60) 2.40266666667 0 1.07733333333 0.277333333333 0.3 0.277333333333 0.284 0.336
1073741831 37 (4, 36) 1.54266666667 0 0.369333333333 0.0573333333333 0.084 0.0733333333333 0.08 0.0853333333333
1073741831 41 (2, 40) 0.414666666667 0.266666666667 0.488 0.0626666666667 0.102666666667 0.088 0.0986666666667 0.101333333333
1073741831 43 (2, 7) 0.461333333333 0.273333333333 0.490666666667 0.0186666666667 0.0226666666667 0.0226666666667 0.024 0.0546666666667
1073741831 47 (3, 46) 1.33066666667 0 0.594666666667 0.133333333333 0.154666666667 0.14 0.148 0.168
1073741831 49 (1, 7) 0.056 0 0.676 0.0226666666667 0.024 0.0213333333333 0.0253333333333 0.0746666666667
1073741831 53 (1, 13) 0.064 0 0.934666666667 0.0373333333333 0.052 0.048 0.0533333333333 0.072
1073741831 59 (12, 29) 57.78 0 1.05733333333 0.130666666667 0.152 0.144 0.146666666667 0.214666666667
1073741831 61 (6, 60) 12.1706666667 0 1.156 0.28 0.305333333333 0.281333333333 0.289333333333 0.34
1073741833 37 (2, 36) 0.341333333333 0.201333333333 0.354666666667 0.0573333333333 0.0813333333333 0.0706666666667 0.0786666666667 0.0826666666667
1073741833 41 (1, 20) 0.0373333333333 0 0.488 0.0346666666667 0.0586666666667 0.0546666666667 0.0586666666667 0.0706666666667
