model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
SageMath version 7.4, Release Date: 2016-10-18
8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**9], nbound=[2**8,2**10], prime=2, loops=1, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/10.dat')
1048583 257 (3, 64) 20.812 0 13.876 5.356 1.84 1.468 1.348 6.28
1048583 263 (3, 131) 21.908 0 15.62 11.66 4.24 3.824 3.348 8.664
1048583 269 (2, 67) 9.112 5.9 17.224 6.408 2.2 1.82 1.644 7.452
1048583 271 (1, 10) 1.212 0 17.176 1.292 0.432 0.328 0.292 6.412
1048583 277 (4, 92) 48.48 0 19.084 9.472 3.18 2.688 2.392 8.608
1048583 281 (1, 14) 1.324 0 19.208 1.276 0.588 0.42 0.368 4.228
1048583 283 (6, 282) 133.084 0 20.736 30.536 8.908 8.076 7.088 13.088
1048583 289 (2, 272) 10.852 6.308 20.56 29.8 7.872 8.056 6.796 13.24
1048583 293 (1, 73) 1.46 0 20.888 5.724 2.78 2.268 2.036 5.252
1048583 307 (2, 306) 12.068 7.28 27.596 41.244 10.596 9.216 8.34 15.584
1048583 311 (1, 310) 1.696 0 24.784 43.432 11.624 10.224 9.208 16.724
1048583 313 (2, 26) 12.636 6.756 25.96 4.04 1.232 0.94 0.808 9.748
1048583 317 (13, 79) 1130.812 0 30.704 11.568 3.584 2.972 2.6 11.804
1048583 331 (6, 330) 193.952 0 35.092 53.772 12.92 11.088 9.872 18.968
1048583 337 (5, 336) 128.86 0 30.42 56.432 13.104 10.94 9.896 19.568
1048583 343 (2, 147) 15.7 8.408 33.016 25.476 5.968 5.756 4.808 15.752
1048583 347 (6, 173) 217.632 0 35.552 32.176 8.716 7.88 6.616 17.716
1048583 349 (2, 116) 16.68 12.096 29.768 21.82 5.928 5.06 4.34 15.872
1048583 353 (7, 352) 323.048 0 33.872 67.1 14.94 12.632 11.128 22.044
1048583 359 (1, 179) 2.38 0 36.664 22.484 9.74 8.828 7.412 15.88
1048583 361 (3, 57) 46.392 0 38.288 11.78 2.688 2.224 1.876 14.828
1048583 367 (3, 61) 47.588 0 43.224 13.448 3.568 2.876 2.404 16.156
1048583 373 (1, 372) 2.58 0 42.06 84.164 17.92 15.34 13.432 26.208
1048583 379 (12, 378) 1379.94 0 44.928 90.736 19.528 17.012 14.768 28.24
1048583 383 (3, 382) 53.26 0 39.72 94.752 20.316 17.864 15.296 29.356
1048583 389 (12, 388) 1449.192 0 43.412 96.032 19.072 15.444 13.848 28.108
1048583 397 (1, 33) 3.008 0 45.472 9.396 2.372 1.648 1.396 18.352
1048583 401 (4, 40) 116.916 0 49.24 11.396 2.792 1.968 1.668 19.088
1048583 409 (4, 408) 120.932 0 53.764 117.184 21.932 18.592 15.892 32.068
1048583 419 (1, 209) 3.4 0 57.78 38.148 14.412 12.332 10.384 19.636
1048583 421 (2, 60) 25.728 13.588 48.52 18.972 4.44 3.172 2.684 22.584
1048583 431 (1, 430) 3.652 0 55.568 87.256 26.596 22.696 19.48 29.044
1048583 433 (4, 108) 138.716 0 54.816 35.82 8.004 6.06 5.28 26.404
1048583 439 (5, 73) 243.712 0 53.732 25.62 6.052 4.54 3.796 25.696
1048583 443 (1, 442) 3.912 0 54.712 95.92 28.54 24.216 20.768 30.828
1048583 449 (2, 448) 29.44 17.312 60.744 162.288 27.808 21.92 19.504 40.724
1048583 457 (30, 228) 13859.344 0 65.916 85.924 18.1 15.216 12.784 36.696
1048583 461 (3, 460) 82.012 0 62.044 181.056 31.204 25.744 22.316 45.008
1048583 463 (6, 231) 425.316 0 68.952 91.316 19.388 16.8 13.712 38.64
1048583 467 (6, 466) 429.724 0 70.416 189.924 31.908 26.144 22.556 45.96
1048583 479 (4, 478) 176.868 0 70.512 211.58 35.684 30.28 25.656 51.3
1048583 487 (2, 243) 35.376 18.596 70.916 110.244 22.452 19.4 16.152 44.376
1048583 491 (2, 245) 36.056 21.488 74.908 68.528 22.628 19.44 15.988 34.632
1048583 499 (4, 249) 195.22 0 74.904 120.944 23.68 20.168 16.576 47.412
1048583 503 (1, 502) 5.252 0 78.244 253.436 40.792 34.328 28.796 58.584
1048583 509 (2, 127) 40.352 31.468 98.148 37.156 13.04 10.084 8.504 32.068
1048583 521 (2, 520) 42.52 22.488 84.916 286.056 41.032 31.96 27.88 61.756
1048583 523 (2, 261) 42.288 22.724 82.836 144.136 26.036 21.24 17.168 54.904
1048583 529 (11, 253) 2176.008 0 92.692 141.848 22.008 19.932 16.86 56.092
1048583 541 (9, 45) 1579.672 0 100.348 28.684 5.752 3.776 3.056 46.072
1048583 547 (10, 546) 1928.42 0 95.548 341.02 48.128 37.704 32.576 72.492
1048583 557 (6, 278) 642.744 0 100.868 182.024 30.888 25.9 21.152 65.232
1048583 563 (7, 281) 892.172 0 108.828 188.068 32.188 26.54 21.64 66.52
1048583 569 (2, 568) 51.884 34.8 104.48 398.392 53.944 44.64 36.416 80.324
1048583 571 (10, 285) 2083.676 0 106.608 200.384 34.472 28.82 23.14 70.228
1048583 577 (2, 576) 53.552 50.084 113.544 417.044 52.724 40.588 34.828 80.92
1048583 587 (14, 293) 4996.436 0 117.624 221.948 35.924 28.988 23.528 73.692
1048583 593 (1, 592) 7.752 0 123.772 271.284 56.924 44.468 38.028 65.448
1048583 599 (8, 299) 1531.06 0 118.96 239.704 37.928 31.54 25.412 77.98
1048583 601 (3, 150) 153.488 0 133.488 120.976 19.564 14.264 11.912 66.444
1048583 607 (6, 202) 790.36 0 119.668 166.992 27.528 21.368 17.272 73.38
1048583 613 (1, 153) 8.5 0 157.396 129.632 20.496 14.756 12.328 70.584
1048583 617 (2, 616) 63.32 37.864 155.656 537.476 65.836 50.792 43.64 97.996
1048583 619 (2, 103) 63.18 38.696 161.628 90.416 15.292 10.516 8.38 68.12
1048583 625 (4, 500) 330.796 0 133.316 441.472 90.38 89.156 78.336 135.672
1048583 631 (10, 210) 2649.372 0 150.484 193.612 31.192 24.324 19.144 80.86
1048583 641 (1, 320) 9.416 0 129.252 173.848 41.916 31.804 26.772 71.736
1048583 643 (12, 214) 3999.844 0 145.132 206.384 30.676 22.012 18.304 83.488
1048583 647 (1, 646) 9.82000000001 0 148.344 637.1 74.612 55.792 48.132 109.064
1048583 653 (1, 163) 9.776 0 157.284 89.908 24.708 17.096 14.376 58.008
1048583 659 (2, 658) 73.468 39.104 163.276 394.248 77.42 57.56 50.136 94.504
1048583 661 (3, 660) 192.42 0 159.112 695.564 75.908 57.252 49.112 112.34
1048583 673 (1, 56) 10.464 0 197.22 64.056 10.448 5.91200000001 4.732 78.8
1048583 677 (8, 338) 1895.592 0 149.792 376.064 50.624 39.94 32.756 104.552
1048583 683 (2, 341) 80.276 47.908 173.924 221.392 53.724 42.548 34.472 79.756
1048583 691 (5, 230) 691.696 0 165.296 270.948 38.72 28.28 23.028 99.84
1048583 701 (9, 28) 2655.004 0 190.064 38.78 7.02 3.76800000001 2.924 86.02
1048583 709 (4, 59) 443.868 0 192.432 78.052 12.28 7.06400000001 5.54399999999 90.976
1048583 719 (1, 359) 12.32 0 205.608 268.408 63.1 49.352 39.296 102.18
1048583 727 (2, 363) 92.532 73.352 207.876 494.676 64.48 50.64 40.052 127.476
1048583 729 (2, 486) 92.92 54.964 213.976 365.248 60.848 55.532 42.584 92.048
1048583 733 (10, 732) 3621.62 0 212.864 1031.092 108.836 86.944 69.7 154.16
1048583 739 (4, 738) 485.44 0 196.832 1057.568 108.792 79.832 67.472 154.252
1048583 743 (1, 371) 13.336 0 194.736 308.78 69.28 55.288 43.564 102.968
1048583 751 (3, 125) 257.56 0 218.74 187.816 27.872 18.224 14.1 115.004
1048583 757 (8, 42) 2336.928 0 240.0 68.528 11.476 6.09999999999 4.61200000001 107.892
1048583 761 (2, 152) 103.392 61.136 228.184 129.748 32.696 22.964 17.944 69.944
1048583 769 (5, 768) 882.468 0 236.344 1212.212 112.376 76.784 66.664 163.344
1048583 773 (3, 772) 279.104 0 200.448 1241.152 114.908 80.996 69.196 167.364
1048583 787 (6, 262) 1475.616 0 239.412 440.008 55.488 38.128 30.7 141.184
1048583 797 (2, 796) 114.9 67.904 280.872 1399.02 131.72 98.696 82.528 187.38
1048583 809 (2, 808) 119.848 70.996 255.9 837.08 135.308 97.144 82.784 152.732
1048583 811 (1, 81) 16.38 0 260.376 152.904 22.66 13.236 9.60800000001 130.764
1048583 821 (4, 41) 627.196 0 255.468 84.032 13.728 6.5 5.66799999999 130.304
1048583 823 (10, 411) 5018.132 0 266.952 781.596 92.46 70.328 55.02 176.164
1048583 827 (2, 413) 124.716 74.476 256.972 799.7 93.904 70.296 55.444 178.512
1048583 829 (5, 828) 1149.312 0 265.844 1622.528 152.488 113.1 92.952 209.368
1048583 839 (12, 419) 7630.404 0 306.172 842.724 97.06 69.908 55.72 182.888
1048583 841 (3, 29) 342.672 0 321.0 65.344 10.072 4.008 2.90399999999 135.936
1048583 853 (4, 852) 673.216 0 289.248 1815.224 158.848 118.684 94.164 219.408
1048583 857 (8, 856) 3262.572 0 331.252 1840.004 161.368 113.792 94.408 221.364
1048583 859 (22, 858) 28175.3 0 330.0 1855.708 167.148 119.048 97.804 224.98
1048583 863 (2, 431) 138.316 72.748 289.964 940.688 106.576 81.012 62.56 201.024
1048583 877 (8, 876) 3396.472 0 313.604 2006.948 176.504 128.48 105.444 242.328
1048583 881 (3, 440) 377.804 0 330.464 1016.056 109.332 79.092 63.408 210.108
1048583 883 (4, 9) 731.312 0 340.804 30.844 6.66800000001 2.304 1.87999999998 155.944
1048583 887 (1, 443) 20.068 0 307.448 1042.332 116.964 87.048 67.712 218.204
1048583 907 (2, 906) 156.072 92.392 350.296 2275.32 192.788 132.4 110.872 262.372
1048583 911 (1, 182) 21.624 0 339.42 244.188 57.472 36.176 27.24 148.244
1048583 919 (4, 153) 800.32 0 412.104 401.436 48.732 28.732 21.936 197.208
1048583 929 (8, 8) 3712.24 0 339.304 32.676 6.68400000001 2.08799999999 1.80000000002 178.12
1048583 937 (1, 936) 23.124 0 387.04 2574.696 204.944 143.068 120.836 284.052
1048583 941 (2, 940) 168.112 112.324 339.96 2617.152 209.864 149.672 122.556 287.92
1048583 947 (6, 946) 2057.456 0 367.912 2660.188 215.148 150.476 122.756 292.396
