# ./benchmark.sh 03 2**10 2**11 5 2**8 2 5
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[5,2**8], prime=2, loops=5, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/03.dat')"
1031 5 (2, 1) 0.0433864116669 0.0084988117218 0.0156791687012 0.000503206253052 7.82489776611e-05 6.63757324219e-05 6.04629516602e-05 0 0
1031 7 (1, 3) 0.00175213813782 0 0.00991721153259 0.000883769989014 0.000485706329346 0.000502395629883 0.00047607421875 0.000475025177002 0.000513553619385
1031 9 (1, 6) 0.00192766189575 0 0.0121541500092 0.00101866722107 0.00112519264221 0.00115261077881 0.00115857124329 0.00111403465271 0.00116367340088
1031 11 (2, 10) 0.0399447917938 0.0133041381836 0.0144157886505 0.00128378868103 0.00221781730652 0.00230436325073 0.0021821975708 0.00215058326721 0.00207056999207
1031 13 (1, 6) 0.00382857322693 0 0.0221810340881 0.00153636932373 0.00170140266418 0.00176520347595 0.00170602798462 0.00183720588684 0.00205698013306
1031 17 (1, 16) 0.0030469417572 0 0.0370785713196 0.00280504226685 0.00483245849609 0.00485196113586 0.00464305877686 0.00462656021118 0.00530214309692
1031 19 (10, 9) 0.267306995392 0 0.041092300415 0.00276212692261 0.00387587547302 0.0040976524353 0.00382370948792 0.0041440486908 0.00520305633545
1031 23 (2, 22) 0.0570730209351 0.0255435466766 0.0315217971802 0.00588221549988 0.00981583595276 0.0105845928192 0.00913496017456 0.00893144607544 0.00988130569458
1031 25 (2, 5) 0.0476283073425 0.0280469894409 0.0348877429962 0.00295214653015 0.00421981811523 0.00425400733948 0.00419759750366 0.00521774291992 0.00756773948669
1031 27 (2, 18) 0.0609097957611 0.040688419342 0.0423172473907 0.00682058334351 0.0143410205841 0.0152172088623 0.0139142513275 0.0143127441406 0.0174162387848
1031 29 (1, 7) 0.00445070266724 0 0.0487583637238 0.00422878265381 0.00483455657959 0.00486979484558 0.00449981689453 0.00558085441589 0.00650820732117
1031 31 (5, 5) 0.191668367386 0 0.0488279342651 0.00435757637024 0.00440263748169 0.00488176345825 0.00441384315491 0.006041431427 0.0108980178833
1031 37 (4, 36) 0.175172758102 0 0.0665750026703 0.0243520736694 0.0250532150269 0.025207567215 0.0219379901886 0.0218400478363 0.0294723987579
1031 41 (2, 40) 0.0848376274109 0.0448535919189 0.0795457363129 0.0263938426971 0.0315816402435 0.0319368362427 0.0280303478241 0.0277878284454 0.0313116073608
1031 43 (4, 2) 0.228966808319 0 0.0765142440796 0.00526361465454 0.00328316688538 0.00373106002808 0.00348901748657 0.00678901672363 0.0192471504211
1031 47 (6, 46) 0.590399217606 0 0.111276817322 0.0746729850769 0.0472997188568 0.0518687725067 0.0419854164124 0.0420669555664 0.0596722126007
1031 49 (4, 21) 0.286931991577 0 0.0982265472412 0.0250368118286 0.0214088916779 0.0229511260986 0.0203534126282 0.0229331493378 0.0431747913361
1031 53 (2, 13) 0.112997436523 0.0703652381897 0.116645622253 0.0160769462585 0.0180289745331 0.0180960655212 0.0164227962494 0.0205033302307 0.0308406352997
1031 59 (1, 29) 0.0142486572266 0 0.155835723877 0.0573456287384 0.045742559433 0.0486351966858 0.0409126758575 0.0437721252441 0.0753643989563
1031 61 (3, 60) 0.264014387131 0 0.161676549911 0.151161956787 0.0847175121307 0.0913025856018 0.0732933044434 0.0731611251831 0.107902765274
1031 67 (1, 33) 0.0164953708649 0 0.210979795456 0.0961874485016 0.059393787384 0.0599021911621 0.0514578342438 0.0561619281769 0.106098556519
1031 71 (2, 7) 0.173701429367 0.119905900955 0.208715486526 0.0248890399933 0.0173326015472 0.0166736125946 0.01467461586 0.0243762016296 0.0828169822693
1031 73 (2, 6) 0.180092954636 0.127487802505 0.216204786301 0.0226801395416 0.0150936603546 0.0148007392883 0.0141286373138 0.0248616218567 0.0900348186493
1031 79 (4, 39) 0.740572357178 0 0.26693687439 0.174188232422 0.0991441726685 0.105725574493 0.085320186615 0.0922474861145 0.178962278366
1031 81 (2, 54) 0.260546588898 0.166164016724 0.305581569672 0.221276712418 0.158842611313 0.167697238922 0.151292181015 0.156662225723 0.24542222023
1031 83 (1, 82) 0.0248380184174 0 0.302457952499 0.293260622025 0.196576833725 0.196725845337 0.164626169205 0.164096546173 0.230051422119
1031 89 (2, 8) 0.25757060051 0.185081243515 0.323986577988 0.0335344314575 0.026956987381 0.0270887374878 0.0236542701721 0.0377665519714 0.0860973834991
1031 97 (4, 3) 1.17401924133 0 0.392829418182 0.028212594986 0.0160942554474 0.0151909351349 0.0143988132477 0.036136007309 0.189089202881
1031 101 (3, 50) 0.69196100235 0 0.438474369049 0.368474292755 0.176087760925 0.175453805923 0.145192623138 0.157466840744 0.320353555679
1031 103 (6, 1) 3.2179145813 0 0.466202449799 0.00780882835388 0.00573482513428 0.0220160007477 0.0220341205597 0 0
1031 107 (3, 106) 0.796436166763 0 0.501339769363 0.929735088348 0.376557016373 0.401788711548 0.309879589081 0.3094165802 0.498363780975
1031 109 (10, 108) 11.4131477833 0 0.543940162659 0.98479642868 0.394659996033 0.417220926285 0.323835945129 0.323970603943 0.519698095322
1031 113 (2, 28) 0.417375802994 0.255572605133 0.565747833252 0.19311580658 0.120248842239 0.114188432693 0.0970246315002 0.11656088829 0.224201011658
1031 121 (6, 110) 4.54908719063 0 0.724651765823 1.2103908062 0.447917127609 0.521575593948 0.4131939888 0.41625123024 0.689264202118
1031 125 (1, 25) 0.0579269886017 0 0.726628255844 0.191873788834 0.0994222164154 0.112567281723 0.0882331371307 0.114859056473 0.375807189941
1031 127 (4, 63) 2.11027784348 0 0.73406662941 0.833551025391 0.355320978165 0.380212974548 0.292872333527 0.314424419403 0.657169151306
1031 131 (1, 65) 0.0645276069641 0 0.823103761673 0.574624967575 0.350416755676 0.335714769363 0.28434920311 0.301229524612 0.658695220947
1031 137 (1, 17) 0.0739433765411 0 0.950245952606 0.256849431992 0.110879993439 0.101900148392 0.0859939575195 0.13143696785 0.576091957092
1031 139 (2, 138) 0.587912034988 0.403715276718 0.897531461716 2.18136091232 0.807654619217 0.822600984573 0.659510135651 0.657771587372 1.12056164742
1031 149 (2, 148) 0.689347362518 0.407131195068 1.07568454742 2.75204119682 0.948515844345 0.957412338257 0.763078641891 0.763911962509 1.31826982498
1031 151 (6, 25) 7.46679244041 0 1.09561300278 0.479460191727 0.192768764496 0.185682058334 0.149291038513 0.203603506088 0.790340995789
1031 157 (2, 39) 0.782279205322 0.5240442276 1.27097735405 0.81834526062 0.305736732483 0.29701499939 0.240677213669 0.294406461716 0.962639188766
1031 163 (2, 9) 0.837605047226 0.53564953804 1.29054551125 0.210042619705 0.0926339626312 0.0807898521423 0.0679768562317 0.141588163376 0.858784818649
1031 167 (1, 83) 0.118720579147 0 1.46743888855 2.019520998 0.705018997192 0.70985455513 0.557102823257 0.600286722183 1.36166381836
1031 169 (1, 78) 0.11454539299 0 1.54347500801 1.84461565018 0.555479335785 0.599762058258 0.495548820496 0.540640640259 1.32315616608
1031 173 (2, 172) 0.925487947464 0.713600349426 1.57608981133 3.12315382957 1.38759746552 1.40592455864 1.09974832535 1.09722876549 1.56837801933
1031 179 (2, 178) 1.00388503075 0.675421953201 1.67772498131 3.48400421143 1.51288027763 1.50755982399 1.18521518707 1.1869076252 1.75593156815
1031 181 (1, 45) 0.140148639679 0 1.73434758186 1.31950788498 0.428296375275 0.405773305893 0.323529052734 0.40043797493 1.36390886307
1031 191 (1, 190) 0.158535385132 0 1.98052163124 4.70329108238 1.91695618629 2.07558259964 1.50712752342 1.50209331512 2.21290783882
1031 193 (4, 192) 5.22778697014 0 1.89377737045 6.62235980034 1.74223036766 1.64417438507 1.32780365944 1.3254714489 2.51649217606
1031 197 (18, 196) 173.927628219 0 2.24182596207 7.25596241951 1.86800265312 1.83817362785 1.41729974747 1.41954503059 2.6581099987
1031 199 (4, 99) 5.59763159752 0 2.10024700165 3.71174125671 1.10152702332 1.09239621162 0.845529747009 0.908309412003 2.19776620865
1031 211 (10, 210) 51.854399395 0 2.43700780869 9.38150696754 2.24459075928 2.31086068153 1.68442926407 1.68476157188 3.15768027306
1031 223 (12, 111) 91.4704922676 0 2.8930437088 5.7404335022 1.64590816498 1.72814235687 1.27477679253 1.36230487823 3.12997398376
1031 227 (1, 226) 0.254122877121 0 3.00918016434 12.0538926601 2.82522878647 2.88475785255 2.1298936367 2.13408098221 3.97979521751
1031 229 (4, 76) 7.75877099037 0 2.91079015732 4.03627738953 1.10937261581 1.04650802612 0.825023794174 0.946779632568 2.884471035
1031 233 (1, 232) 0.25277223587 0 2.93931846619 8.40249199867 2.9885207653 2.94015579224 2.22582373619 2.22471795082 3.4397518158
1031 239 (1, 17) 0.267810964584 0 3.18728966713 0.659008932114 0.326358032227 0.301049423218 0.232493019104 0.389271354675 1.78739800453
1031 241 (6, 120) 21.7629400253 0 3.35933823586 7.29147195816 1.8885890007 1.82392258644 1.40272641182 1.50637559891 3.7722817421
1031 243 (2, 162) 1.90925340652 1.64653263092 3.29674315453 6.04771499634 1.98027877808 2.21953439713 1.74140014648 1.79026641846 3.22336158752
1031 251 (1, 125) 0.292431592941 0 3.77955021858 5.33803801537 2.25169177055 2.28227214813 1.74218068123 1.82216181755 3.33443965912
1033 5 (4, 4) 0.0356317996979 0 0.0100309848785 0.000910139083862 0.000364971160889 0.000373935699463 0.000337409973145 0.000315713882446 0.00032787322998
1033 7 (4, 3) 0.0357899188995 0 0.0163424015045 0.000935220718384 0.000500011444092 0.000530195236206 0.00048303604126 0.000462818145752 0.000518178939819
1033 9 (1, 3) 0.00229864120483 0 0.0130714893341 0.00105590820313 0.000660133361816 0.000705194473267 0.000698232650757 0.000706005096436 0.00078501701355
1033 11 (2, 2) 0.0347178459167 0.0131874084473 0.0156109809875 0.00127658843994 0.000665092468262 0.000756597518921 0.000707912445068 0.000855731964111 0.000771379470825
1033 13 (4, 12) 0.0604293823242 0 0.0242156028748 0.00180215835571 0.00299758911133 0.00306859016418 0.00284481048584 0.00279774665833 0.00314435958862
1033 17 (2, 4) 0.0545683860779 0.0180428028107 0.027837228775 0.00192055702209 0.00181469917297 0.00186424255371 0.00174398422241 0.00212936401367 0.00298237800598
1033 19 (5, 3) 0.102399206161 0 0.03556599617 0.00205593109131 0.00167007446289 0.00182580947876 0.00172843933105 0.0023021697998 0.00346512794495
1033 23 (2, 22) 0.0493029594421 0.0263375759125 0.0357121944427 0.0069109916687 0.00990958213806 0.0107476234436 0.00915422439575 0.00916037559509 0.0112375736237
1033 25 (2, 20) 0.0497807502747 0.0272655963898 0.041469335556 0.00653381347656 0.00914154052734 0.0098837852478 0.00883421897888 0.00887832641602 0.0115885734558
1033 27 (1, 9) 0.00504379272461 0 0.0456256389618 0.0044750213623 0.00663242340088 0.0070565700531 0.00647540092468 0.00725245475769 0.0106623649597
1033 29 (2, 28) 0.0630187511444 0.0468529701233 0.0437314987183 0.0107028007507 0.0153897285461 0.0161315441132 0.0139811992645 0.0138637542725 0.0145514011383
1033 31 (5, 15) 0.207777929306 0 0.0529984474182 0.00904564857483 0.0105512142181 0.0115770339966 0.00975480079651 0.0105307579041 0.0159552097321
1033 37 (4, 9) 0.187569713593 0 0.0665106296539 0.00820374488831 0.00860757827759 0.00918827056885 0.00819039344788 0.0101039886475 0.0189120292664
1033 41 (1, 20) 0.00736293792725 0 0.119841766357 0.0149921894073 0.0194563865662 0.0201072216034 0.0176280021667 0.0188199996948 0.0248151302338
1033 43 (4, 1) 0.24157705307 0 0.0820704460144 0.00171041488647 0.00189342498779 0.00320520401001 0.00304923057556 0 0
1033 47 (6, 2) 0.596578931808 0 0.104774570465 0.00615501403809 0.00389280319214 0.0043758392334 0.00394616127014 0.00802626609802 0.0270017623901
1033 49 (4, 21) 0.298522281647 0 0.102955389023 0.0259836196899 0.0215671062469 0.0234200000763 0.0203585624695 0.0231538295746 0.0440606117249
1033 53 (2, 52) 0.117821216583 0.0692886829376 0.121378612518 0.0795736312866 0.0602109909058 0.0611565113068 0.0515758514404 0.0515961170197 0.0662719726562
1033 59 (2, 58) 0.142644453049 0.0920123577118 0.165692186356 0.143625831604 0.0778374195099 0.0844449520111 0.0666136264801 0.0663934707642 0.0996827602386
1033 61 (1, 15) 0.0140759944916 0 0.178261995316 0.0341233253479 0.0250128269196 0.0262745857239 0.0216289997101 0.0270402431488 0.0648838043213
1033 67 (1, 66) 0.0166316509247 0 0.256215238571 0.198536348343 0.110177612305 0.112729358673 0.0942234516144 0.0940668582916 0.145002603531
1033 71 (8, 14) 2.64003715515 0 0.244086742401 0.0439217567444 0.0304101467133 0.0320627689362 0.0261707305908 0.0346161842346 0.0977975845337
1033 73 (4, 72) 0.643137788773 0 0.241068553925 0.257523345947 0.13592915535 0.136498260498 0.115206193924 0.115055131912 0.180712032318
1033 79 (2, 78) 0.211325645447 0.149042367935 0.294796228409 0.358258152008 0.176824617386 0.19412522316 0.150764513016 0.150459861755 0.236778640747
1033 81 (1, 27) 0.0234960079193 0 0.307993888855 0.0828531742096 0.0459410190582 0.0498813152313 0.0418743610382 0.0495379924774 0.081831741333
1033 83 (1, 41) 0.024617433548 0 0.288638019562 0.146607160568 0.106590223312 0.109014177322 0.0909039974213 0.0965260028839 0.13429017067
1033 89 (1, 88) 0.0279601573944 0 0.354918622971 0.359499597549 0.225727415085 0.227412939072 0.187892866135 0.18700003624 0.259033966064
1033 97 (4, 32) 1.16154484749 0 0.392197990417 0.205995225906 0.102777338028 0.0984487533569 0.0842492103577 0.0977550029755 0.255705213547
1033 101 (6, 50) 3.0812848568 0 0.479662227631 0.368148612976 0.177386236191 0.173620986938 0.141929483414 0.153622627258 0.318973016739
1033 103 (6, 34) 3.24695086479 0 0.458068799973 0.267230081558 0.131304740906 0.132932376862 0.107663822174 0.123878622055 0.301210975647
1033 107 (3, 106) 0.794202327728 0 0.536408805847 0.928802061081 0.36834821701 0.3939702034 0.300816202164 0.300317907333 0.491842222214
1033 109 (10, 108) 11.3609470367 0 0.51445183754 0.983439397812 0.371114826202 0.396671104431 0.301156616211 0.301301336288 0.500404262543
1033 113 (2, 7) 0.400933218002 0.246855783463 0.572344350815 0.0475012779236 0.0369287967682 0.0335263252258 0.0289647579193 0.0536595821381 0.220472764969
