# ./benchmark.sh 09 2**50 2**50+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**50,2**50+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/09.dat')"
1125899906842679 5 (2, 2) 0.0800177256266 0.0273042519887 0.0382979710897 0.00137567520142 0.000813325246175 0.000723044077555 0.00103974342346 0.00106827418009 0.000709374745687
1125899906842679 7 (4, 6) 0.10956732432 0 0.0373748938243 0.00182565053304 0.0038259824117 0.00307250022888 0.00390696525574 0.00388638178507 0.00301003456116
1125899906842679 9 (1, 6) 0.00580096244812 0 0.0557379722595 0.00172241528829 0.00591166814168 0.00479133923848 0.00649825731913 0.0064442952474 0.00459988911947
1125899906842679 11 (1, 1) 0.00694457689921 0 0.0910316308339 0.000953356424967 0.000734647115072 0.000893672307332 0.000889380772909 0 0
1125899906842679 13 (1, 12) 0.0106722513835 0 0.114507357279 0.00435900688171 0.0149656136831 0.0114429791768 0.0151290893555 0.0150319735209 0.0115746657054
1125899906842679 17 (3, 8) 0.296852429708 0 0.170713663101 0.00564829508464 0.0159309705098 0.0130093097687 0.0171573162079 0.0204863548279 0.0149792830149
1125899906842679 19 (5, 9) 0.941154400508 0 0.227604230245 0.00795308748881 0.0211505889893 0.0177803834279 0.0226293404897 0.0267856121063 0.0203420321147
1125899906842679 23 (1, 11) 0.0282427469889 0 0.361426750819 0.0115306377411 0.0337436993917 0.0284458001455 0.0353530248006 0.0417380332947 0.028857310613
1125899906842679 25 (1, 10) 0.0320927302043 0 0.36194340388 0.0140353043874 0.0446914037069 0.0213332176208 0.0293760299683 0.0398780504862 0.0287146568298
1125899906842679 27 (2, 18) 0.387115001678 0.29465007782 0.47255563736 0.0263386567434 0.0545256137848 0.0439300537109 0.056310971578 0.0616983572642 0.0511720180511
1125899906842679 29 (4, 28) 1.49891869227 0 0.588708559672 0.0529997348785 0.100666046143 0.0802332560221 0.0999610424042 0.0993623733521 0.0879363218943
1125899906842679 31 (5, 3) 2.94830298424 0 0.68968462944 0.0116497675578 0.013825972875 0.0131000677745 0.0192992687225 0.0441867510478 0.0327542622884
1125899906842679 37 (4, 6) 2.6478843689 0 1.06557035446 0.023024002711 0.0300587018331 0.0258162816366 0.0354723930359 0.0733361244202 0.0586426258087
1125899906842679 41 (1, 40) 0.0946383476257 0 1.29937966665 0.116722345352 0.250091234843 0.200033982595 0.24446328481 0.243407328924 0.208106040955
1125899906842679 43 (2, 21) 0.765045483907 0.57178902626 1.26518591245 0.0972953637441 0.147762934367 0.12680498759 0.152167638143 0.181522687276 0.169736067454
1125899906842679 47 (6, 23) 11.558621645 0 1.67117698987 0.139226357142 0.186329444249 0.161433696747 0.189968744914 0.226520935694 0.220773696899
1125899906842679 49 (4, 42) 4.96593658129 0 2.12153935432 0.243227958679 0.341293334961 0.278927961985 0.339797655741 0.346434116364 0.343111991882
