# ./benchmark.sh 11 2**8 2**10 2**8 2**8+2**5 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**8,2**10], nbound=[2**8,2**8+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/11.dat')"
257 263 (6, 262) 20.8463670413 0 3.11076466242 20.3970680237 3.81132189433 3.74098300934 2.62802831332 2.62207428614 5.32237903277
257 269 (8, 268) 42.5749781926 0 3.0783727169 22.0571119785 4.02125366529 3.92429439227 2.76072303454 2.76165262858 5.68194905917
257 271 (6, 270) 22.3800012271 0 3.15096767743 23.033066988 4.17226107915 4.2816482385 2.8862640063 2.88965368271 5.91995199521
257 277 (1, 276) 0.263359069824 0 3.31344938278 24.5802116394 4.22247433662 4.11955595016 2.84295137723 2.83896835645 5.95917805036
257 281 (1, 280) 0.267154296239 0 3.38900836309 15.7530639966 4.41197196643 4.10658542315 2.98445638021 2.98281613986 4.97652840614
257 283 (3, 141) 5.25197664897 0 3.49457327525 13.1179500421 2.66247971853 2.54126707713 1.81747666995 1.91510852178 5.3247915109
263 257 (1, 256) 0.22927125295 0 3.29840834936 18.1795190175 3.42336455981 2.98671507835 2.31516289711 2.31804966927 4.77196494738
263 269 (4, 67) 8.8661116759 0 3.05763745308 5.19854625066 1.20198162397 0.997847636541 0.776298999786 0.92955605189 3.89914703369
263 271 (6, 90) 22.5165259838 0 3.12473710378 7.19349932671 1.6024333636 1.42896493276 1.05178157489 1.19800225894 4.22067968051
263 277 (4, 276) 9.4385008812 0 3.39970620473 24.5851759911 4.40476592382 4.23969864845 3.0107216835 3.00519235929 6.09227911631
263 281 (2, 140) 2.12368297577 1.39331833522 3.37432853381 7.7650188605 2.61193736394 2.36252911886 1.80578565598 1.8836666743 4.20332074165
263 283 (6, 141) 24.9679336548 0 3.39444430669 13.1056137085 2.81033237775 2.6705596447 1.96876239777 2.09408140182 5.48720828692
269 257 (2, 256) 1.79637797674 1.43744126956 2.80218998591 18.1679713726 3.3823120594 2.93720197678 2.26218875249 2.27835655212 4.73382170995
269 263 (6, 131) 21.1035397053 0 3.01558828354 9.95323125521 2.2475519975 2.0609023571 1.5662343502 1.66354600588 4.38746809959
269 271 (3, 270) 4.72466389338 0 3.13373263677 23.0292509397 4.25524568558 4.31962529818 2.96128757795 2.95770223935 5.95356829961
269 277 (4, 92) 9.44111768405 0 3.20464261373 7.71309065819 1.69701766968 1.45311458906 1.11275235812 1.25976928075 4.38496907552
269 281 (1, 280) 0.276480992635 0 3.32791225115 15.8162074089 4.58697565397 4.21903061867 3.11911741892 3.11904390653 4.80457671483
269 283 (6, 141) 25.0771240393 0 3.56604496638 13.0976954301 2.77835424741 2.63092478116 1.93648322423 2.05805206299 5.44684441884
271 257 (3, 256) 4.23201306661 0 2.80936161677 18.1570506891 3.47489738464 3.02287793159 2.34903303782 2.35253930092 4.80302063624
271 263 (6, 131) 21.023149093 0 2.9054719607 9.9658083121 2.27203440666 2.05921800931 1.57393622398 1.68653964996 4.39042274157
271 269 (2, 268) 2.0095354716 1.1651169459 3.14069167773 22.0614469846 4.19373734792 4.03901028633 2.93009169896 2.92971674601 5.82981594404
271 277 (1, 276) 0.265628258387 0 4.09030954043 24.5055733522 4.48728402456 4.31627901395 3.1200987498 3.11593166987 6.16357763608
271 281 (1, 28) 0.274345715841 0 3.40932226181 1.65593504906 0.60443798701 0.463730255763 0.356426000595 0.529023726781 2.75867835681
271 283 (3, 141) 5.28568768501 0 3.62698896726 13.1050476233 2.82928299904 2.67455840111 1.99258367221 2.12273637454 5.49482393265
277 257 (6, 256) 20.2616299788 0 2.89171965917 18.1573140621 3.40640528997 2.97052232424 2.30589636167 2.31068174044 4.78024490674
277 263 (3, 262) 4.4774359862 0 2.9247127374 20.3609919548 3.91291769346 3.81037727992 2.73724953334 2.73719326655 5.41513037682
277 269 (1, 268) 0.257654031118 0 3.28896538417 22.1034709613 4.08640495936 3.94640072187 2.81977494558 2.82357390722 5.74610638618
277 271 (2, 270) 2.0072230498 1.27098099391 3.01667459806 23.027335008 4.36733206113 4.42683092753 3.0638923645 3.06314571699 6.07184298833
277 281 (1, 70) 0.279012680054 0 3.82988739014 3.83854905764 1.33076429367 1.095515728 0.857866048813 0.991337855657 2.87813369433
277 283 (2, 282) 2.21391654015 1.75184496244 3.34328301748 26.8516749541 4.75271129608 4.77119040489 3.26222705841 3.24506998062 6.60119994481
281 257 (3, 256) 4.24756805102 0 2.70397806168 18.1637013753 3.3820095857 2.9361919562 2.26793797811 2.27448304494 4.74159733454
281 263 (2, 131) 1.89049108823 1.10760259628 2.73797035217 9.95882002513 2.27466011047 2.06720304489 1.57644406954 1.68157013257 4.41941920916
281 269 (8, 268) 43.510783275 0 3.00212272008 22.1280299028 4.08510096868 3.94055835406 2.80467629433 2.79415941238 5.72275328636
281 271 (3, 5) 4.79596932729 0 3.14491796494 0.498548110326 0.173371394475 0.113307237625 0.090754032135 0.28883934021 3.29201261202
281 277 (4, 46) 9.48615725835 0 3.40565633774 3.87914307912 0.898161411285 0.721420288086 0.556644678116 0.728688240051 3.855295976
281 283 (2, 47) 2.19118332863 1.21259228388 3.5326666832 4.21371102333 1.00048160553 0.820899566015 0.618553320567 0.809986035029 4.21143301328
283 257 (1, 128) 0.233118057251 0 3.49702040354 8.91257063548 1.96951071421 1.66244324048 1.35715532303 1.45923233032 3.94492308299
283 263 (6, 262) 21.1957066854 0 3.20915365219 20.3664569855 4.00236598651 3.86891293526 2.81861432393 2.81075334549 5.47958509127
283 269 (8, 67) 43.6485877037 0 3.04916262627 5.20945270856 1.2279346784 1.0127137502 0.796952724457 0.967949946721 3.94263935089
283 271 (3, 54) 4.82745067279 0 3.03211474419 4.33322103818 1.04214302699 0.887072086334 0.667096217473 0.850256284078 3.86123108864
283 277 (4, 276) 9.52049303055 0 3.09538904826 24.5256169637 4.48843034108 4.3348329862 3.13005073865 3.1365907987 6.17386595408
283 281 (2, 70) 2.13649630547 1.35665535927 3.58416724205 3.31140796343 1.3602698644 1.11597196261 0.884414990743 1.02932548523 3.57511123021
293 257 (6, 128) 20.4032866955 0 2.73351359367 8.91426531474 1.96159537633 1.65398136775 1.33002328873 1.43139632543 3.94308622678
293 263 (2, 262) 1.90986831983 1.5909670194 2.99571474393 20.3615426222 3.95030331612 3.83059763908 2.75040562948 2.7543036143 5.43819769224
293 269 (2, 67) 2.00633676847 1.37538560232 3.25976173083 5.20938158035 1.20014405251 0.991790056229 0.769979953766 0.928460597992 3.90009379387
293 271 (6, 135) 22.9306059678 0 3.13585495949 11.2467507521 2.56062936783 2.42450245221 1.80808107058 1.92618393898 4.95550521215
293 277 (4, 23) 9.59826437632 0 3.25706911087 1.98583634694 0.532090902328 0.392807006836 0.302406628927 0.495824098587 3.60558501879
293 281 (2, 280) 2.14862497648 1.50122292837 3.37405276299 15.9478120009 4.61344790459 4.30356001854 3.12900527318 3.12029004097 5.12062740326
293 283 (1, 141) 0.28631401062 0 3.72249873479 13.1224927107 2.84677918752 2.70963668823 2.0080546538 2.12517038981 5.52880064646
307 257 (3, 128) 4.35822645823 0 2.75137209892 8.91481836637 2.01300199827 1.70331207911 1.38228225708 1.49190004667 3.97663156192
307 263 (6, 131) 21.5602813562 0 2.91316167514 9.96572430929 2.26816527049 2.06716410319 1.57451574008 1.68291600545 4.38182791074
307 269 (1, 67) 0.260401248932 0 3.20850769679 5.21156064669 1.22478731473 1.01958179474 0.796598513921 0.966085910797 3.93016505241
307 271 (3, 135) 4.84972198804 0 3.13307555517 11.2448519866 2.61203797658 2.4675043424 1.86776208878 1.9734553496 4.99588004748
307 277 (4, 23) 9.67897931735 0 3.14421065648 1.98871095975 0.543576717377 0.402852376302 0.315422932307 0.52749021848 3.62028670311
307 281 (2, 280) 2.18198633194 1.3482483228 3.49805164337 15.9752512773 4.65303007762 4.35099069277 3.17552828789 3.1505660216 5.2831565539
307 283 (6, 141) 25.6922383308 0 3.52745437622 13.1556292375 2.87945087751 2.74240628878 2.03547843297 2.1629456679 5.50410238902
311 257 (3, 256) 4.30990664164 0 2.76796325048 18.1106656392 3.56357574463 3.09990827243 2.45903499921 2.4565316836 4.88868665695
311 263 (6, 131) 21.6505376498 0 2.93713100751 9.95196167628 2.33519728978 2.12900479635 1.63894041379 1.75558026632 4.44233139356
311 269 (8, 268) 44.2663663228 0 3.17927702268 22.0756493409 4.23697264989 4.10975519816 2.98618841171 2.97612031301 5.82887069384
311 271 (6, 135) 23.3646789392 0 3.36936108271 11.1649143696 2.66932296753 2.50946601232 1.90626732508 2.02797905604 5.03951573372
311 277 (4, 138) 9.65761669477 0 3.4603647391 11.9256252448 2.67582702637 2.42504413923 1.88977233569 2.02520537376 4.99598964055
311 281 (2, 280) 2.17393541336 1.17683641116 3.68043923378 15.8647796313 4.63757562637 4.32114601135 3.17704542478 3.24789698919 4.57618991534
311 283 (6, 141) 25.7446293831 0 3.50057903926 13.1056426366 2.84588066737 2.70630137126 2.01632555326 2.15966931979 5.44096962611
313 257 (1, 256) 0.230169375738 0 3.26830498377 17.9024729729 3.41225767136 3.01984596252 2.38398567835 2.37298774719 4.79748439789
313 263 (6, 131) 21.4118992488 0 3.0160733064 9.86226304372 2.26384266218 2.11500604947 1.61227202415 1.72645735741 4.42397856712
313 269 (2, 67) 2.03880405426 1.17607061068 2.95152608554 5.19643163681 1.24049671491 1.02534532547 0.780065695445 0.969300667445 3.94123609861
313 271 (6, 270) 23.1545096238 0 3.31800262133 23.1216757298 4.40362135569 4.47644909223 3.07950774829 3.08879899979 6.03406500816
313 277 (1, 138) 0.271049976349 0 3.43515396118 11.9960929553 2.62505602837 2.36632100741 1.83596936862 1.94634302457 5.00399804115
313 281 (2, 14) 2.18092266719 1.67324097951 3.56305845579 0.668966054916 0.354407310486 0.245615084966 0.189456065496 0.374531904856 2.2284506162
313 283 (6, 94) 25.4661056201 0 3.37863469124 8.54702202479 1.90530633926 1.71468830109 1.27128171921 1.43799432119 4.76241072019
317 257 (1, 32) 0.233599344889 0 3.63541690509 2.1913737456 0.595079342524 0.434406677882 0.363792975744 0.55629436175 2.99923634529
317 263 (3, 131) 4.62108929952 0 3.05526630084 9.92059636116 2.31685996056 2.11571868261 1.63163693746 1.75374031067 4.43369094531
317 269 (2, 268) 2.04053243001 1.45876868566 3.02644300461 22.0734324455 4.32033761342 4.17849938075 3.07348163923 3.07966438929 5.99591461817
317 271 (3, 270) 4.97022247314 0 3.28536605835 23.028414011 4.50950161616 4.54345353444 3.16686995824 3.12438337008 6.1475563844
317 277 (4, 138) 9.54263329506 0 3.60691197713 11.7860169411 2.64979902903 2.4520907402 1.94318413734 2.08269071579 5.16754428546
317 281 (2, 28) 2.16955399513 1.72680401802 3.31849336624 1.51616326968 0.622392574946 0.484366019567 0.378271023432 0.556704680125 3.05198963483
317 283 (2, 141) 2.29931696256 2.04782231649 3.53632442156 13.1369226774 2.87975541751 2.70475029945 2.00377178192 2.1584157149 5.51639493306
331 257 (2, 256) 1.86874866486 1.33167672157 2.91510995229 17.7966533502 3.38844625155 2.9515841802 2.29629333814 2.2962123553 4.76117070516
331 263 (3, 131) 4.64097293218 0 3.13938728968 9.99996399879 2.34197243055 2.14007679621 1.64100233714 1.74546742439 4.46800088882
331 269 (4, 67) 9.1355509758 0 3.09055407842 5.21205035845 1.24480867386 1.02666664124 0.802694956462 0.988752683004 3.95225540797
331 271 (6, 54) 23.4717473189 0 3.25429407756 4.33415301641 1.06001440684 0.917985359828 0.688130617142 0.871399323146 3.92690030734
331 277 (4, 92) 9.83875330289 0 3.49419530233 7.87446157138 1.75726191203 1.52104234695 1.17658893267 1.3422443072 4.47161706289
331 281 (2, 35) 2.22384373347 1.42412630717 3.49591326714 2.05789335569 0.773162682851 0.59019668897 0.464337587357 0.635126272837 3.00190258026
