# ./benchmark.sh 18 2**30 2**30+2**8 2**9 2**9+2**5 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**8], nbound=[2**9,2**9+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/18.dat')"
1073741827 521 (32, 13) 58281.933006 0 186.230351607 13.8661625385 3.02965633074 1.65795747439 1.59585436185 10.3992546399 60.1954991023
1073741827 523 (10, 522) 5431.34806585 0 160.620764256 476.112451553 64.5135959784 52.7408712705 47.5032196045 47.4326557318 97.9802060127
1073741827 529 (11, 253) 6716.22474694 0 178.556713661 234.171001355 35.2219030062 30.9752026399 27.6197699706 32.6457157135 85.147159338
1073741827 541 (18, 54) 19830.419019 0 184.422710021 55.4845113754 10.304517587 7.47822173436 6.22665500641 15.1569043001 71.8530197144
1073741831 521 (32, 65) 60535.9320509 0 166.14096125 59.4659272035 10.9378782908 7.39090466499 6.73139961561 15.0293653011 64.9441256523
1073741831 523 (10, 174) 5442.28202915 0 163.549200614 157.923895041 27.9940927823 22.5917423566 19.6558461189 26.1186909676 76.7670359612
1073741831 529 (22, 506) 27889.9098198 0 173.850709995 470.718166351 58.2517623901 53.0626103878 47.0375407537 47.3386646907 99.2265729904
1073741831 541 (3, 270) 402.405958891 0 196.809981346 267.244577964 44.7109343211 40.7485790253 33.3318777879 38.5386306445 94.7297133605
1073741833 521 (32, 520) 57464.638936 0 151.015619357 448.037056088 59.82706062 46.7385180791 44.2347086271 44.183662653 91.8671749433
1073741833 523 (10, 174) 5213.2362411 0 157.65142862 152.323844274 26.5745947361 21.6128620307 18.6920839945 24.6549070676 73.4517553647
1073741833 529 (11, 253) 6455.55403018 0 181.804545005 224.051458359 33.7308723132 29.557811896 26.3548293114 31.2414903641 81.3766766389
1073741833 541 (2, 15) 150.976536036 58.6011279424 170.419320265 16.7702763081 3.67469573021 2.07438230515 1.84524830182 11.0055699348 65.0279006958
1073741839 521 (32, 520) 54323.120307 0 164.728765726 450.761898518 61.5692726771 47.5485373338 45.5346016089 45.9211346308 91.5940389633
1073741839 523 (2, 522) 138.722663085 62.8270379702 169.136878014 458.28816998 62.8461884658 50.7552439372 46.5022242864 46.7072730064 94.3459072908
1073741839 529 (11, 253) 6380.52964187 0 167.528194745 224.246723016 34.4278270404 30.067984581 27.2090719541 32.3231917222 81.8895829519
1073741839 541 (9, 108) 4547.76549101 0 173.125121037 103.703900337 18.5881163279 14.8335513274 12.5015907288 20.7183156808 74.9254320463
1073741843 521 (4, 520) 769.765584946 0 165.386405309 445.118938446 58.7583106359 45.4938120047 43.4811836084 43.5317386786 89.7709466616
1073741843 523 (10, 522) 5093.85425806 0 162.353926341 444.602041125 60.4898033937 49.1628349622 44.630899032 44.6777517001 91.6687613328
1073741843 529 (2, 46) 141.175167799 68.0365230242 159.971158663 40.8916769028 6.54507168134 4.36369562149 3.88030401866 12.1707642873 60.6171603203
1073741843 541 (18, 540) 18603.7608109 0 166.828707616 523.341702104 70.3705445925 60.6475557486 52.3693627516 51.4816446304 106.394675255
1073741857 521 (32, 520) 55756.3430111 0 156.818320354 453.306675553 61.3146772385 48.0670852661 45.5585230192 45.422565937 93.7452185949
1073741857 523 (5, 29) 1148.00771379 0 168.011096001 27.2749671141 5.7100396951 3.44167701403 3.00435002645 11.3412700494 59.9381330013
1073741857 529 (11, 253) 6299.21997404 0 162.329283953 217.493086259 32.5406957467 28.6199977398 25.5820429325 30.2161134084 78.5741883119
1073741857 541 (18, 135) 18268.4958351 0 174.481862307 123.981563727 21.501900355 17.3536003431 14.7832314173 21.646194617 74.0634263357
1073741891 521 (16, 104) 13454.443985 0 166.239084323 85.7263606389 15.1802109877 11.2823676268 10.1125383377 17.1584966977 63.0103612741
1073741891 523 (5, 58) 1095.28687 0 166.563999573 49.4362506866 9.51270771027 6.52100499471 5.77777496974 13.5589907169 60.1289165815
1073741891 529 (1, 23) 15.4930943648 0 164.948642731 21.7393535773 3.91884835561 2.12192440033 1.97681633631 10.5561875502 58.4210660458
1073741891 541 (3, 135) 372.424319386 0 167.646867434 125.381950299 21.5407714049 17.360394001 14.7965203126 21.9120447636 74.058781147
1073741909 521 (16, 130) 13459.255846 0 156.251989365 108.584936539 18.91725564 14.2412136396 13.1110202471 19.9394070307 65.7624557018
1073741909 523 (5, 261) 1095.81285405 0 169.016929944 221.255584717 38.0867243608 33.0136153698 28.2687933445 32.9169743856 79.4277766546
1073741909 529 (22, 506) 25802.0315452 0 159.016549349 434.110775113 54.7160986265 49.5191783905 44.2491207123 44.5465056896 92.1929772695
1073741909 541 (18, 540) 18292.6804099 0 165.94304498 496.404767394 67.0016980171 57.5022626718 49.9397013982 49.7915443579 101.168073098
