# ./benchmagma.sh m02 5 2**8 2**10 2**10+2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**8], nbound=[2**10,2**10+2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
5 1031 (2, 515) 12.0349562963
5 1033 (4, 1032) 63.7770063082
5 1039 (4, 173) 66.6951047579
5 1049 (1, 524) 2.76375436783
5 1051 (12, 525) 908.32772398
5 1061 (6, 265) 165.794705073
5 1063 (4, 354) 70.0791038672
5 1069 (1, 267) 3.27457801501
5 1087 (1, 362) 3.36806734403
5 1091 (6, 109) 175.768351396
5 1093 (4, 1092) 75.2096332709
5 1097 (7, 1096) 285.948960225
5 1103 (2, 1102) 14.6639399529
5 1109 (2, 554) 15.6737629573
5 1117 (6, 372) 184.305247068
5 1123 (4, 374) 77.5801366965
5 1129 (4, 282) 78.8207133611
5 1151 (6, 575) 193.463685274
