# ./benchmagma.sh m08 2**60 2**60+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**60,2**60+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m08.dat')"
1152921504606847009 5 (2, 2) 0.630285342534
1152921504606847009 7 (1, 2) 0.0225346883138
1152921504606847009 9 (2, 3) 0.102959950765
1152921504606847009 11 (2, 1) 0.165056308111
1152921504606847009 13 (1, 4) 0.0563807487488
1152921504606847009 17 (1, 8) 0.0935846964518
1152921504606847009 19 (1, 18) 0.124288638433
1152921504606847009 23 (1, 22) 0.171780586243
1152921504606847009 25 (1, 10) 0.212227662404
1152921504606847009 27 (1, 9) 0.288611332575
1152921504606847009 29 (2, 7) 1.34588996569
1152921504606847009 31 (2, 30) 1.57225235303
1152921504606847009 37 (4, 4) 11.4313929876
1152921504606847009 41 (2, 40) 2.79138970375
1152921504606847009 43 (2, 3) 3.1727095445
1152921504606847009 47 (6, 23) 103.383190314
1152921504606847009 49 (4, 14) 52.3899040222
1152921504606847009 53 (1, 13) 2.363509655
1152921504606847009 59 (12, 58) 373.687462568
1152921504606847009 61 (1, 5) 2.99921194712
1152921504606847009 67 (1, 33) 1.19644737244
1152921504606847009 71 (4, 70) 49.9202767213
1152921504606847009 73 (4, 12) 52.7982627551
1152921504606847009 79 (1, 39) 1.73869466782
1152921504606847009 81 (1, 27) 553.636182666
1152921504606847009 83 (1, 82) 1.95061341921
1152921504606847009 89 (2, 88) 16.1095079581
1152921504606847009 97 (2, 32) 18.9459740321
1152921504606847009 101 (6, 25) 274.556347688
1152921504606847009 103 (6, 17) 367.097104073
1152921504606847009 107 (1, 53) 3.4087870121
1152921504606847009 109 (10, 27) 1188.35349393
1152921504606847009 113 (2, 7) 27.5485490163
1152921504606847009 121 (6, 1) 448.906262994
1152921504606847009 125 (2, 50) 34.8978330294
1152921504606847009 127 (4, 63) 193.60507671
1152921504606847009 131 (2, 10) 39.1807579199
