# ./benchmark.sh 01 5 2**9 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**9], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/01.dat', )"
5 7 (2, 6) 0.0951979955037 0.0149710973104 0.0336589813232 0.00186355908712 0.000896056493123 0.000893274943034 0.000719944636027 0.000687678654989 0.000834385553996
5 9 (1, 6) 0.00302561124166 0 0.0167034467061 0.00174276034037 0.000964959462484 0.00117603937785 0.000896453857422 0.000837643941243 0.00109807650248
5 11 (2, 5) 0.0430356661479 0.0165429910024 0.0124356746674 0.00199230511983 0.0011686484019 0.00150036811829 0.00111659367879 0.00105969111125 0.00142566363017
5 13 (4, 4) 0.0706457297007 0 0.0175969600677 0.00222667058309 0.00108027458191 0.00138648351034 0.00101764996847 0.000993092854818 0.00171192487081
5 17 (6, 16) 0.118815024694 0 0.0239590009054 0.00365161895752 0.00439874331156 0.00556604067485 0.00412567456563 0.00407433509827 0.00508999824524
5 19 (1, 9) 0.00319107373556 0 0.0278180440267 0.00353026390076 0.00336027145386 0.00443728764852 0.00322341918945 0.00317573547363 0.0050839583079
5 23 (2, 22) 0.0694053967794 0.0248449643453 0.0195089975993 0.00656032562256 0.00848873456319 0.0113417307536 0.00774574279785 0.00757161776225 0.010234673818
5 27 (2, 18) 0.0843810240428 0.0304026603699 0.0372780164083 0.00786066055298 0.00872834523519 0.0118314425151 0.00826660792033 0.00820954640706 0.0120625495911
5 29 (1, 14) 0.00376065572103 0 0 0.00755834579468 0.00820032755534 0.0106174151103 0.00753466288249 0.00759760538737 0.0148793061574
5 31 (12, 3) 0.45602162679 0 0.0351583957672 0.00429360071818 0.00208791097005 0.00450905164083 0.00248805681864 0.00272576014201 0.0208539962769
5 37 (1, 36) 0.00468373298645 0 0.0508056481679 0.022255341212 0.0244812965393 0.0298560460409 0.0211950143178 0.0185837745667 0.0330350399017
5 41 (2, 20) 0.0964063008626 0.0347749392192 0.0379296938578 0.0156733989716 0.0165452957153 0.0183500448863 0.0151000022888 0.0152215957642 0.02947473526
5 43 (4, 42) 0.169084310532 0 0.0393496354421 0.0357933044434 0.0298827489217 0.0412987073263 0.027680238088 0.0249812602997 0.0424570242564
5 47 (6, 46) 0.335447390874 0 0.0983033180237 0.058079957962 0.0449456373851 0.0590586662292 0.0378579298655 0.0402200222015 0.0666870276133
5 49 (4, 42) 0.209807952245 0 0.0468506018321 0.041609287262 0.0349033673604 0.0482205549876 0.0327009359996 0.0353102684021 0.0627489884694
5 53 (2, 52) 0.114779074987 0.0581049919128 0 0.0742722352346 0.0546209812164 0.0672744115194 0.0460902849833 0.0483357111613 0.0835637251536
5 59 (6, 29) 0.444944699605 0 0.0717766284943 0.0420476595561 0.0414973894755 0.0517830053965 0.0352079073588 0.0376196702321 0.0854935646057
5 61 (2, 30) 0.132843653361 0.0536846319834 0.063781340917 0.046145995458 0.0445129871368 0.0554469426473 0.0414142608643 0.0395440260569 0.0853932698568
5 67 (1, 22) 0.00877030690511 0 0.121104001999 0.0380776723226 0.0411627292633 0.0455193519592 0.03591076533 0.0378345648448 0.105335315069
5 71 (1, 5) 0.0109663804372 0 0 0.0141882896423 0.0149816672007 0.0162750879924 0.0110514163971 0.0154003302256 0.093412399292
5 73 (4, 72) 0.312043984731 0 0.0922350088755 0.181466261546 0.125411987305 0.134354352951 0.0909779071808 0.0789159933726 0.152523676554
5 79 (4, 39) 0.320344607035 0 0.0755066076914 0.0953580538432 0.06600578626 0.0823431015015 0.0584918657939 0.0581129391988 0.128245910009
5 81 (2, 54) 0.131748278936 0.09641400973 0.0699416001638 0.18300596873 0.0678343772888 0.0833715597788 0.0636576811473 0.0641849835714 0.182440598806
5 83 (2, 82) 0.169940710068 0.0809649626414 0 0.271644353867 0.171671311061 0.193683226903 0.1392446359 0.136969804764 0.259699026744
5 89 (1, 44) 0.0109677314758 0 0 0.151516755422 0.108354330063 0.126088698705 0.0916480223338 0.0933656692505 0.216829697291
5 97 (1, 96) 0.0136423110962 0 0.141761620839 0.39489030838 0.236896673838 0.263101736705 0.198353608449 0.198313792547 0.385173241297
5 101 (6, 25) 1.01102137566 0 0.169584592183 0.103639602661 0.0854229927063 0.0945773919423 0.070737918218 0.075581073761 0.277282953262
