# ./benchmark.sh 03 2**10 2**11 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/03.dat', )"
1031 5 (2, 1) 0.0754419962565 0.0102244218191 0.0220665931702 0.000658671061198 9.09964243571e-05 6.8744023641e-05 6.47703806559e-05 0 0
1031 7 (1, 3) 0.00202202796936 0 0.0113236109416 0.00106533368429 0.000500440597534 0.00049877166748 0.000486373901367 0.000471353530884 0.000502586364746
1031 9 (1, 6) 0.00215236345927 0 0.0134230454763 0.00115394592285 0.00113169352214 0.00115672747294 0.00116697947184 0.00111865997314 0.00115235646566
1031 11 (2, 10) 0.0422050158183 0.0140442848206 0.0164439678192 0.00143202145894 0.00231599807739 0.0023767153422 0.00226426124573 0.0022402604421 0.00419847170512
1031 13 (1, 6) 0.0039332707723 0 0.0262035528819 0.00173926353455 0.00175793965658 0.00180570284526 0.00175563494364 0.00187357266744 0.002095301946
1031 17 (1, 16) 0.00330543518066 0 0.0401496887207 0.00299270947774 0.00502546628316 0.00504930814107 0.00482161839803 0.00479396184285 0.00550405184428
1031 19 (10, 9) 0.26842435201 0 0.0438573360443 0.00281763076782 0.00411224365234 0.00436798731486 0.00404802958171 0.00437760353088 0.00551160176595
1031 23 (2, 22) 0.0585656166077 0.024135907491 0.0326666037242 0.00593908627828 0.00997392336528 0.0107583204905 0.00940330823263 0.00932772954305 0.0103676319122
1031 25 (2, 5) 0.0551021099091 0.0258759657542 0.0395932197571 0.00308609008789 0.00417065620422 0.0043519337972 0.00425354639689 0.00527294476827 0.00781194368998
1031 27 (2, 18) 0.0661749045054 0.0258615811666 0.0412395795186 0.00700163841248 0.0144549210866 0.0155206521352 0.0141852696737 0.0145583152771 0.0178229808807
1031 29 (1, 7) 0.00469859441121 0 0.0554099877675 0.00411423047384 0.00472124417623 0.00500289599101 0.0046435991923 0.0057102839152 0.00668700536092
1031 31 (5, 5) 0.191734393438 0 0.0573970476786 0.00530362129211 0.00470264752706 0.005038022995 0.00452931722005 0.00620476404826 0.0113249619802
1031 37 (4, 36) 0.178819974264 0 0.0803316434224 0.0256079832713 0.0263739426931 0.0271894137065 0.0236945947011 0.0235673586528 0.0328483581543
1031 41 (2, 40) 0.08465107282 0.0448966026306 0.0751723448435 0.027274052302 0.0327796141307 0.0331660906474 0.0290571053823 0.0289161205292 0.0325480302175
1031 43 (4, 2) 0.225697994232 0 0.0847969055176 0.00523622830709 0.00334095954895 0.00382137298584 0.00356761614482 0.00690309206645 0.0202010472616
1031 47 (6, 46) 0.565836588542 0 0.11186893781 0.0754814147949 0.0488589604696 0.0536560217539 0.0433559417725 0.0432624022166 0.0612410704295
1031 49 (4, 21) 0.284211953481 0 0.106493631999 0.0253690083822 0.021944920222 0.0235693454742 0.0208387374878 0.0234846274058 0.0435796578725
1031 53 (2, 13) 0.111668109894 0.117304404577 0.11513320605 0.0161763827006 0.0183176199595 0.0184655984243 0.0166230201721 0.0202509562174 0.0316465695699
1031 59 (1, 29) 0.0146276950836 0 0.167434374491 0.0579815705617 0.0474515755971 0.0504967371623 0.0416513284047 0.0451599756877 0.0780320167542
1031 61 (3, 60) 0.263584772746 0 0.160321633021 0.153764724731 0.0876229604085 0.0938186645508 0.0756899515788 0.0754093329112 0.111749331156
1031 67 (1, 33) 0.0170433521271 0 0.231406529744 0.0969823996226 0.0613547166189 0.0621600151062 0.052996635437 0.0579899946849 0.109593391418
