# ./benchmark.sh 04 2**20 2**20+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', )"
1048583 5 (2, 4) 0.0698134104411 0.0144894123077 0.0249939759572 0.00113201141357 0.000511566797892 0.000444253285726 0.0004669825236 0.000458081563314 0.000412305196126
1048583 7 (6, 3) 0.0848236878713 0 0.018922328949 0.00108933448792 0.000727971394857 0.00070333480835 0.000753323237101 0.000787019729614 0.000725587209066
1048583 9 (2, 6) 0.0459769566854 0.0235090255737 0.0215520064036 0.00128698348999 0.00172638893127 0.00154328346252 0.00180530548096 0.00179958343506 0.00158794720968
1048583 11 (1, 10) 0.00305859247843 0 0.0295926729838 0.00164659818014 0.00390569368998 0.00358645121257 0.0038013458252 0.00376399358114 0.00335303942362
1048583 13 (4, 3) 0.108057339986 0 0.032293955485 0.0016675790151 0.00163022677104 0.00163920720418 0.00179839134216 0.0023873647054 0.00217723846436
1048583 17 (6, 16) 0.250973939896 0 0.0478509267171 0.0036366780599 0.00848873456319 0.0077113310496 0.00828528404236 0.00821765263875 0.00832064946493
1048583 19 (4, 3) 0.162608146667 0 0.0549706617991 0.00237933794657 0.00247089068095 0.00257643063863 0.00288963317871 0.00414212544759 0.00448433558146
1048583 23 (2, 11) 0.0914463202159 0.0703926881154 0.0669647057851 0.00470932324727 0.00953960418701 0.00948309898376 0.00956201553345 0.0106496016184 0.00989103317261
1048583 25 (4, 20) 0.265459299088 0 0.0852384567261 0.00850303967794 0.0315289497375 0.0308769543966 0.0314366817474 0.0316507021586 0.0333006381989
1048583 27 (2, 18) 0.119734843572 0.0936817328135 0.0943610668182 0.00937000910441 0.0150091648102 0.014965057373 0.0149385929108 0.0158401330312 0.0181033611298
1048583 29 (1, 1) 0.00896199544271 0 0.109459718068 0.00135604540507 0.000945250193278 0.00165263811747 0.00222531954447 0 0
1048583 31 (10, 5) 3.08643126488 0 0.124414285024 0.00555864969889 0.00711170832316 0.0072869459788 0.00746369361877 0.0113263130188 0.0154156684875
