# ./benchmark.sh 10 5 2**9 2**9 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**9], nbound=[2**9,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/10.dat', )"
5 521 (32, 10) 1316.44815183 0 5.39781530698 3.7663517793 0.614691416423 0.302844603856 0.19801735878 0.351994037628 11.7013106346
5 523 (12, 522) 151.804904779 0 2.5245997111 241.068076928 17.4066542784 12.8566013177 8.66443602244 8.69803635279 20.1323976517
5 529 (22, 506) 568.518845439 0 394.847542524 236.947061618 10.7296589216 11.9071636995 7.73005239169 7.77479505539 19.5619297028
5 541 (9, 135) 86.0195636749 0 2.91889627775 65.8762621085 5.62799636523 4.33973534902 2.90336235364 3.11953894297 15.9715936979
5 547 (1, 546) 0.240952094396 0 0 285.505899668 19.3140910467 13.9308796724 9.16959865888 9.18806123734 22.0500967503
5 557 (6, 556) 22.0936040084 0 0 307.532492638 20.4076327483 16.1553212802 10.3449742794 10.3644226392 23.7785323461
5 563 (14, 562) 237.605412086 0 0 318.255467892 21.7974853516 16.5500183105 10.7405507565 10.7420496146 24.5502501329
5 569 (3, 71) 5.3308066527 0 0 39.2713513374 3.63404973348 2.33238371213 1.56077861786 1.79306666056 16.3476664225
5 571 (1, 285) 0.261099259059 0 0 164.381253084 12.7269101143 11.296061039 6.80499426524 7.04367295901 21.5818973382
5 577 (1, 576) 0.25689291954 0 3.07073235512 349.412145972 21.2814483643 14.9344493548 10.1862634023 10.198328654 25.0591022968
5 587 (7, 586) 58.4753476779 0 0 374.738618493 24.3857234319 18.2452561061 11.7732566992 11.7975699902 27.104136308
5 593 (2, 592) 2.4910393556 1.81364798546 3.18710827827 202.93765529 22.7274425824 16.805565993 11.6229616801 11.6496580442 23.3559466998
5 599 (8, 299) 82.2230230172 0 0 197.638364315 14.6559652487 12.9904379845 7.91993204753 8.19291861852 24.2437080542
5 601 (6, 12) 25.6853222847 0 3.44666568438 6.9018925031 1.0301656723 0.46236761411 0.283284664154 0.494674364726 16.788513422
5 607 (6, 606) 26.5802123547 0 0 427.71864152 27.6596463521 21.7428223292 13.5142743587 13.5282492638 30.2382202943
5 613 (22, 612) 802.422793865 0 5.90380859375 442.157664537 25.9939579964 19.3385253747 12.6530032158 12.6759569645 29.9162979921
5 617 (8, 616) 87.4844725927 0 4.00632667542 453.438635111 26.4369923274 19.41938893 12.5905772845 12.645207723 30.3219766617
5 619 (4, 309) 11.4061369896 0 3.52697189649 223.703240633 16.051303943 12.7188539505 8.00593701998 8.23901764552 26.0830335617
5 631 (12, 35) 228.718088945 0 3.92342861493 25.31407094 2.79531113307 1.52217268944 0.934142033259 1.20143930117 19.9373413722
5 641 (2, 64) 2.9023929437 1.87267700831 0 26.7298369408 3.85931166013 2.14943393071 1.50749293963 1.71741541227 16.6760020256
5 643 (4, 214) 12.6537578901 0 0 170.286883672 12.084733963 8.48274946213 5.7826183637 6.14223305384 26.0161083539
5 647 (7, 646) 72.2214779854 0 0 541.925763965 31.1904966831 21.349268357 14.1819810073 14.2090453307 34.0145953496
5 653 (2, 652) 3.05330761274 2.09122570356 4.43145426114 287.322984695 29.2993663947 21.2199560801 14.22129035 14.2492769559 29.1747326056
5 659 (1, 329) 0.335032939911 0 0 143.783201456 17.5279682477 13.2583829562 8.89519866308 9.07683928808 25.6580334504
5 661 (2, 330) 3.19635852178 2.07306798299 0 288.584456921 17.2436010838 13.6922683716 8.95133336385 9.21942472458 30.2571160793
5 673 (4, 672) 13.6804083188 0 4.31449866295 629.978892803 32.8392179807 22.1526304086 14.8626168569 14.8881586393 37.4239845276
