# ./benchmark.sh 14 2**40 2**40+2**8 2**8 2**9+2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**8], nbound=[2**8,2**9+2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/14.dat', )"
1099511627791 257 (3, 256) 126.922091007 0 57.0359528859 166.425135374 15.2613963286 11.7196617921 13.1153283119 13.1232256889 20.5744652748
1099511627791 263 (2, 262) 40.3730778694 18.5677023729 62.4151816368 176.035756588 17.000768582 14.2418210506 14.7178623676 14.6911206245 22.9882060687
1099511627791 269 (1, 134) 5.26937762896 0 62.551620245 93.0161783695 10.5141213735 9.1818737189 9.08231004079 10.7891466618 20.0415345033
1099511627791 271 (6, 270) 573.189146042 0 60.9365759691 199.562723239 19.0267206828 16.6431699594 16.5394143263 16.5512549877 26.0256200631
1099511627791 277 (4, 92) 235.170507272 0 69.916485707 68.742737929 7.59646725655 6.36127765973 6.42854738235 8.95102540652 18.9308959643
1099511627791 281 (2, 140) 47.4406847159 23.8729680379 73.171279033 61.4345301787 12.0337677002 10.4820699692 10.4187049071 12.1109880606 18.8850874106
1099511627791 283 (1, 141) 5.86951327324 0 78.6352469126 113.87609005 12.5673333009 11.3043831189 10.8770360947 12.8384576639 23.5687735875
1099511627791 289 (4, 34) 261.961902062 0 71.5350517432 28.2127696673 3.73305662473 3.00007573764 3.20430501302 6.79847558339 18.0267766317
1099511627791 293 (1, 292) 6.31933275859 0 77.6826779842 147.469274282 22.3079226017 18.2425392469 18.9642623266 18.9730467002 24.5110065937
1099511627791 307 (4, 34) 299.936074257 0 84.5561923186 34.166336298 3.47018671036 2.67115036647 2.70561536153 6.93044829369 20.2260077
1099511627791 311 (2, 155) 60.2236150901 31.3570380211 89.2814073563 164.634363095 16.4822967847 15.1846936544 14.1673214436 16.5593690872 30.3942526976
1099511627791 313 (2, 312) 61.2262626489 36.7064317067 83.7145439784 345.005695462 27.1803307533 23.3773636818 23.3091286818 23.2839149634 37.1953386466
1099511627791 317 (26, 316) 20675.7181451 0 95.5512355963 366.302499533 28.698007981 25.4302767118 24.4733688831 24.4674802621 39.170781374
1099511627791 331 (3, 165) 182.274964333 0 104.399064302 208.468573332 18.2456843058 16.2605686188 15.4203986327 18.3175883293 34.5274030368
1099511627791 337 (5, 112) 623.419698954 0 107.747329156 147.17547377 12.4347163041 10.1781192621 10.1387243271 14.1519603729 31.1957542102
1099511627791 343 (4, 294) 384.406663895 0 119.715627591 419.11547637 29.8035226663 28.485240221 26.4022209644 27.2279260159 45.169602712
1099511627791 347 (6, 173) 1097.44896603 0 119.507419189 251.421965679 20.6717249552 18.7185943127 17.2256983121 20.4306579431 38.9360896746
1099511627791 349 (10, 87) 3236.41700602 0 123.030515671 127.300742308 10.5573210716 8.86908459663 8.4537683328 13.2955536048 32.2217230002
1099511627791 353 (7, 352) 1532.20774698 0 118.463759025 544.311318517 33.9213526249 27.5129749775 28.0746133327 28.0436189969 47.6192853451
1099511627791 359 (1, 358) 10.3535357316 0 121.531883319 324.793066502 36.8408572674 31.5191009839 30.3320136865 30.3287330468 38.8015906016
1099511627791 361 (6, 114) 1182.43684602 0 124.25066336 181.938836336 13.3254563014 11.3797039191 11.1071893374 15.9157296817 36.8602570693
1099511627791 367 (3, 183) 233.086365938 0 132.874988953 315.944072485 24.113802433 22.4257012208 19.9732699394 23.6447546482 45.6258453528
1099511627791 373 (2, 186) 91.3919166724 51.4131921927 126.860340277 333.800368547 24.828132232 22.5034749508 20.5504790942 24.3412529627 47.2987396717
1099511627791 379 (12, 378) 5822.69791293 0 154.152266582 731.681432962 43.056425333 39.0459506512 35.6798453331 35.7494027615 59.6708424091
1099511627791 383 (12, 382) 6100.57280707 0 157.230240583 770.045964956 45.2465953032 42.270878315 37.45196263 37.4164920648 62.5362719695
1099511627791 389 (3, 388) 270.506121079 0 144.150934617 811.497938871 44.5200301011 34.6628886064 35.2963860035 35.2883039316 61.0007410049
1099511627791 397 (2, 396) 107.110687017 63.8253591061 165.051606019 865.667226076 46.3898390134 38.2704296907 37.3597946962 37.3829510212 64.0329515934
1099511627791 401 (8, 80) 2623.564044 0 182.410305023 173.073040326 11.9721646309 9.0551926295 8.87433433533 16.0570726395 43.7472940286
1099511627791 409 (4, 408) 593.502807975 0 168.393179019 968.918309927 49.8783876101 41.722370704 40.1436445713 40.1533557574 69.0648156007
1099511627791 419 (2, 418) 120.749788284 63.067482233 171.806308349 577.470783472 53.7582532565 43.6342514356 42.8956943353 42.9543766181 59.8505176703
1099511627791 421 (5, 84) 1124.50493193 0 170.680251122 210.806256294 13.8915197055 10.8422250748 10.244822979 18.3679711024 50.1092530092
1099511627791 431 (1, 215) 15.7848039468 0 194.139259656 302.007806897 36.8161574205 33.3416702747 29.7880940437 34.513311704 54.3390197754
1099511627791 433 (2, 2) 132.06862696 78.3035680453 200.028105736 7.1172709465 0.998248020808 0.553938706716 0.894512971242 11.5051123301 45.9157973131
1099511627791 439 (1, 219) 16.6006243229 0 202.64169995 633.069112062 38.5071604252 35.3363849322 30.9214067459 36.4756350517 72.4402280649
1099511627791 443 (2, 221) 138.867910067 71.3846734365 194.256761948 344.807601094 38.9881060918 35.4307846228 31.3920783202 36.2866902351 55.9139002959
1099511627791 449 (8, 112) 3223.11983705 0 202.164429665 336.168754458 19.8087526162 14.7820372581 14.5558427175 23.3606473605 62.4213863214
1099511627791 457 (3, 152) 386.609917045 0 233.498658339 483.802830935 28.1794675986 22.8413922787 21.5770432949 29.9087800185 70.8722029527
1099511627791 461 (3, 46) 400.572705984 0 233.283606927 149.765529394 9.53348096212 6.90887769063 6.44236262639 17.8307455381 59.4716242949
1099511627791 463 (4, 7) 775.071460009 0 237.315830628 24.7207484245 2.49386636416 1.30869801839 1.51741639773 14.1330673695 56.1702206135
1099511627791 467 (2, 233) 156.279817343 91.2142349084 261.814501603 797.054733992 44.0445407232 39.0792876879 34.7462352912 41.3311580817 84.7449297905
1099511627791 479 (1, 478) 20.3478886286 0 246.126517693 1815.78393197 78.7350170612 72.9468726317 62.620131731 62.5849060218 109.641353369
1099511627791 487 (4, 54) 894.281138897 0 267.28529795 207.647165696 12.401927948 9.22273190816 8.38008999825 21.1024023692 71.4793214003
1099511627791 491 (2, 245) 177.168606997 112.896372398 261.039620956 543.71543014 50.0148263772 44.756679217 38.8985716502 45.363735199 71.2066817284
1099511627791 499 (4, 83) 867.812623024 0 287.650315682 342.874021053 18.6996163527 14.5482309659 12.8669153849 25.5206564267 78.8116242886
1099511627791 503 (3, 251) 500.094071031 0 280.358280659 1153.85673022 55.9169436296 52.1926209927 43.9360560576 53.9110109806 120.555906614
1099511627791 509 (2, 127) 237.185944319 95.5308190982 286.80581967 331.228681922 29.719385465 30.3066629569 26.0401837826 39.8156246344 76.9962381522
1099511627791 521 (32, 520) 84524.857312 0 320.431592226 2488.10429788 91.5626014074 68.8677082856 70.6507467429 70.5991313457 132.791939338
1099511627791 523 (10, 29) 7791.48749495 0 291.515757958 137.184288422 8.21742606163 4.92194803556 4.83002686501 20.8464593887 84.3015376727
1099511627791 529 (22, 506) 39927.142652 0 343.699019074 2520.4755218 88.0082563559 75.7148263454 72.6704916954 73.2722055912 139.311861992
1099511627791 541 (9, 540) 6751.308779 0 370.281684637 2896.52944994 103.630408367 86.1562490463 80.6626234055 80.7609786987 151.906606595
1099511627791 547 (10, 7) 8529.03393507 0 367.74287045 40.0815559228 3.62846000989 1.68994371096 1.99844098091 20.8312497139 93.1566530069
1099511627791 557 (3, 556) 614.486665964 0 348.281410456 3238.26321697 111.34536926 92.2971113523 86.2728666464 86.1318786939 162.011778355
1099511627791 563 (7, 562) 3949.07161403 0 384.541545987 3363.15102601 117.335934718 96.1868960857 90.2803576787 90.1229283015 168.403361241
1099511627791 569 (6, 284) 3098.94776893 0 362.762086511 1730.85946608 73.943174998 64.2732868195 57.1724030177 67.740364631 149.04972895
1099511627791 571 (10, 190) 9244.7079339 0 360.808488965 1161.13711405 51.4052537282 42.6643133958 37.6252230008 52.0017422835 134.349050999
1099511627791 577 (2, 192) 261.143162409 150.935666641 353.170644999 1205.19424105 49.302178065 37.1428733667 35.9550423622 50.5701284409 134.910308282
1099511627791 587 (14, 293) 20555.357034 0 423.24924314 1953.07923889 81.0731099447 69.1586236954 61.5084975561 73.2385420005 161.06335791
1099511627791 593 (2, 148) 278.45753328 145.876450062 408.802721024 521.565998077 42.0761713982 31.0009299914 29.5698799292 45.6785392761 108.052439372
1099511627791 599 (8, 299) 6354.59298682 0 483.341048002 2119.75986385 85.8773063024 76.0622733434 65.1959164143 77.4541963736 170.741880655
1099511627791 601 (3, 600) 735.102725029 0 426.011882663 4357.77456212 136.14695406 111.717763901 103.673220317 103.711623351 199.120424906
1099511627791 607 (3, 303) 755.539855957 0 472.282455444 2238.68060493 90.7733506362 81.1672903697 70.6392389139 82.4996923606 180.173289378
1099511627791 613 (10, 306) 10656.0261941 0 474.524451971 2327.43259597 91.7119123141 77.3752125899 69.1870619456 82.2782932917 182.440051715
1099511627791 617 (8, 88) 6795.71340895 0 434.346004963 671.443489075 28.4003867308 20.3943019708 18.3980929852 40.6099576155 142.23171099
1099511627791 619 (1, 309) 37.8901367188 0 446.003805399 2405.54401898 93.7680857182 81.0533839067 70.6613667011 83.3269359271 185.013040225
1099511627791 625 (1, 125) 52.1140004794 0 437.764147997 981.336185932 31.0436206659 22.1835667292 19.8839803537 41.1925686995 145.329765638
1099511627791 631 (10, 315) 11080.618628 0 477.712331533 2602.57653308 98.9984927177 88.118945996 74.1080137094 87.8118035793 196.207184951
1099511627791 641 (2, 32) 336.304507017 227.69933939 461.587589979 143.915856441 12.5179049969 7.02538458506 7.02327132225 31.5370536645 79.5233267148
1099511627791 643 (6, 321) 3799.69764996 0 491.206037879 2778.96621609 97.1684633096 77.4630362988 71.1992693742 85.3461109797 198.646185001
1099511627791 647 (14, 646) 24773.1592271 0 498.269456029 5838.83471203 167.989970922 133.454658906 125.48361365 124.80163312 237.487618685
1099511627791 653 (2, 163) 348.018357396 180.361982346 510.370719433 830.571190119 54.4558024406 40.8445919355 36.9694609642 56.6839373112 135.945519288
