# ./benchmark.sh 17 5 2**10 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**10], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/17.dat', )"
5 1031 (2, 515) 7.96219491959 6.57245707512 12.938436985 800.755793095 66.9855790138 41.1966240406 26.0406517982 26.5518848896 83.6268000603
5 1033 (4, 1032) 58.8609719276 0 13.0981009007 3280.64318705 108.65170002 62.2267758846 41.6803359985 41.8804020882 115.937526941
5 1039 (4, 173) 59.8104979992 0 15.3210651875 540.803271055 29.6939628124 15.5793488026 9.62875699997 10.8011460304 87.7080450058
5 1049 (1, 524) 1.043872118 0 12.9036309719 859.361358881 62.1755931377 44.0508909225 28.0961830616 28.6579301357 90.1761360168
5 1051 (12, 525) 689.420988083 0 13.9279820919 1725.65670681 68.0803358555 48.1000161171 28.5269408226 29.5046520233 109.350351095
7 1031 (1, 206) 1.24347686768 0 15.2935330868 321.226898909 34.002327919 17.7964119911 11.675647974 12.6598351002 34.0447061062
7 1033 (4, 172) 68.0572969913 0 15.2024159431 531.49148488 27.3747041225 14.3922920227 9.59434604645 11.00704813 86.4237060547
7 1039 (4, 519) 68.8046858311 0 15.4393529892 1652.86416698 75.0779018402 47.0931551456 27.9308030605 28.9861900806 106.367528915
7 1049 (1, 1048) 1.26378083229 0 0 1749.48354292 113.93187499 67.1798698902 43.2357180119 43.4210088253 82.0580830574
7 1051 (12, 1050) 797.626780033 0 15.5254359245 3508.51050806 127.6091609 78.1291229725 47.3664028645 47.4334850311 127.098173857
11 1031 (1, 515) 1.6701529026 0 0 805.922417164 74.7604839802 45.6400468349 29.3387429714 30.1082351208 79.6172618866
11 1033 (4, 1032) 82.001581192 0 19.5595760345 3405.35379505 120.033428907 68.063601017 46.2277910709 46.3403570652 127.612607956
11 1039 (4, 1038) 83.0003340244 0 24.1830320358 3477.53732514 136.416607141 80.5308799744 50.3629360199 50.4343910217 134.712450027
11 1049 (2, 524) 17.314250946 11.3498001099 20.8916490078 907.069638014 71.415225029 47.8605899811 30.6875071526 31.4745149612 81.2826440334
11 1051 (12, 525) 976.636535883 0 22.3322031498 1793.62165117 76.4485111237 52.8730649948 31.6771361828 32.9178061485 120.255470991
13 1031 (1, 515) 1.81451010704 0 22.7030541897 826.385605097 74.3340928555 45.1531999111 29.0297009945 29.7651770115 85.4657418728
13 1033 (1, 1032) 2.6760430336 0 22.7193219662 3400.00865698 118.694846869 68.4953129292 46.5844190121 46.4749131203 127.91258502
13 1039 (1, 519) 1.83277106285 0 24.3761928082 1716.58609796 78.6070551872 50.4030840397 30.274212122 31.52490592 116.659723043
13 1049 (2, 262) 18.3298830986 8.18428778648 23.1599740982 460.550689936 41.1181709766 24.7128000259 16.4455239773 17.8351609707 78.0767018795
13 1051 (6, 1050) 225.504104137 0 25.0373280048 3634.75781298 132.368503809 82.9909598827 51.537198782 51.6140828133 138.418181896
17 1031 (2, 206) 19.4391570091 12.7274539471 28.7522921562 338.483816862 37.3851020336 20.194357872 13.4333641529 14.9133219719 71.6047480106
17 1033 (1, 516) 2.22740006447 0 31.0662741661 1679.57736993 71.1880528927 45.9586908817 29.4237849712 30.7030441761 121.836540937
17 1039 (1, 519) 2.25488805771 0 26.0111730099 1717.98755479 79.5672051907 53.5061979294 32.3870649338 33.7034289837 127.736267805
17 1049 (1, 1048) 2.34527277946 0 27.0276539326 1858.98381805 121.494668961 77.2037899494 51.1553897858 51.2438611984 103.402197123
17 1051 (3, 1050) 50.9374029636 0 29.1778070927 3632.49375796 131.351865053 86.3691239357 52.9935560226 53.0243470669 150.946666002
19 1031 (2, 206) 19.8777010441 10.6909542084 27.5407280922 339.65627408 36.7331750393 20.5169899464 13.5785040855 15.1605410576 68.3249740601
19 1033 (4, 129) 97.2484960556 0 31.8327109814 414.649446011 21.4984807968 11.2125530243 7.45026803017 9.61977410316 100.713065147
19 1039 (4, 519) 98.7090439796 0 27.2497930527 1717.36060596 79.6258728504 53.6706471443 32.7093801498 34.2039990425 127.86827898
19 1049 (2, 131) 20.7197489738 13.5704979897 27.703384161 246.219923973 23.0496349335 12.5718619823 8.33854389191 9.99939990044 77.8435139656
19 1051 (2, 210) 21.0090119839 10.1666331291 31.9752998352 711.622010946 37.6878159046 23.325248003 14.357421875 16.7316501141 114.980332136
23 1031 (2, 515) 20.9133849144 19.8202159405 27.4410438538 855.018532038 76.9827699661 48.0181310177 31.1484370232 32.0350739956 71.2512419224
23 1033 (1, 1032) 2.47364902496 0 28.3043451309 3400.41701293 122.017248154 73.0031819344 51.1416180134 51.2860240936 141.431540966
23 1039 (4, 346) 103.965681076 0 29.9614238739 1140.7280941 58.4980239868 35.6189289093 22.6283628941 24.6924760342 118.323582888
23 1049 (2, 1048) 21.7190959454 11.0742051601 29.8715529442 1883.17495608 123.853189945 77.1126580238 51.7140808105 51.8042578697 117.015927076
23 1051 (2, 1050) 22.2004330158 11.9133460522 30.2167239189 3633.14971781 135.054420948 89.2287070751 56.6042668819 56.7099339962 153.76224494
29 1031 (1, 103) 2.46745204926 0 32.7106602192 149.119256973 22.9557859898 9.93243193626 6.53418397903 8.26138496399 66.2508099079
29 1033 (4, 1032) 108.515102863 0 34.6703710556 3400.97325897 124.616200924 71.7459158897 49.2417218685 49.292678833 139.558805943
29 1039 (4, 519) 110.159060001 0 33.65472579 1719.52109194 84.8735449314 54.7343769073 33.6070230007 35.2898049355 129.281345129
29 1049 (2, 262) 23.0084710121 10.4671239853 31.3537580967 436.935920954 44.1536071301 26.2688701153 17.6152050495 19.3883550167 84.1283118725
29 1051 (12, 525) 1296.43482113 0 33.963643074 1798.25848103 85.0560321808 56.3338041306 33.9923198223 35.7509191036 134.138312817
31 1031 (1, 206) 2.66320109367 0 39.0949029922 351.890480995 40.8791620731 20.9913959503 14.0820569992 15.9844801426 72.9762101173
31 1033 (2, 516) 22.7950398922 13.4020359516 37.7922589779 1682.38519287 75.6568109989 48.3886837959 31.6204128265 33.4900929928 124.447839022
31 1039 (4, 1038) 112.100835085 0 32.7846860886 3479.69722795 143.264008999 86.0706939697 54.6740860939 54.7869548798 147.625946999
31 1049 (1, 1048) 2.76671409607 0 33.8676440716 1892.04148006 132.203004122 79.7775170803 53.1008529663 53.1344640255 110.182337999
31 1051 (4, 1050) 115.309014082 0 39.1255149841 3634.73529506 142.642139912 90.4757330418 57.4059140682 57.4889781475 154.952090979
37 1031 (1, 1030) 3.03370285034 0 39.8572859764 1785.6687808 136.635906935 78.477216959 51.8594081402 51.9380800724 122.448518991
37 1033 (2, 86) 23.9567651749 17.9904351234 36.3866848946 278.663467884 18.2000589371 8.44790291786 5.7759308815 8.36588692665 107.051145077
37 1039 (4, 173) 118.61756587 0 43.1587469578 569.235522985 37.506814003 19.5813970566 12.5831260681 15.2234520912 116.609051943
37 1049 (1, 1048) 3.17990398407 0 41.7198588848 1907.22251487 134.471166849 82.4681720734 55.00122118 55.1105289459 110.265110016
37 1051 (3, 1050) 62.2638659477 0 37.4313261509 3636.82021809 142.620257139 94.2700889111 58.5768880844 58.6316759586 163.570032835
41 1031 (2, 1030) 24.3055329323 17.1818978786 35.0020430088 1785.69244385 135.156373024 78.0528550148 51.7792139053 51.8902039528 116.004506826
41 1033 (2, 516) 24.469370842 15.2109642029 40.5218281746 1682.65749311 76.8685340881 49.7826418877 32.5161809921 34.2833309174 132.954203129
41 1039 (2, 346) 24.6226119995 13.6437978745 36.1161949635 1142.93413711 63.4102301598 36.6480259895 23.1178870201 25.260751009 126.804973841
41 1049 (1, 1048) 3.02957296371 0 35.3310899734 1907.70219588 133.534367085 82.5785660744 55.6770861149 55.7573928833 113.31299901
41 1051 (12, 1050) 1420.95560884 0 43.3405659199 3637.46947479 144.736476183 96.0581178665 58.4189040661 59.1885957718 163.851971865
43 1031 (1, 515) 3.07568311691 0 36.2023229599 880.098999977 83.5568330288 51.3751590252 33.376499176 34.608536005 113.666015148
43 1033 (4, 516) 121.322096109 0 39.9162120819 1682.03489184 75.4506971836 49.760158062 32.7051510811 34.6862699986 132.937730074
43 1039 (4, 519) 123.037369013 0 38.5928790569 1720.96363091 89.0603780746 58.1833720207 36.3874180317 38.339384079 139.247212172
43 1049 (2, 262) 25.4549281597 12.192084074 38.5109038353 464.488705873 47.0550022125 27.8424630165 18.9735350609 21.108905077 106.831619024
43 1051 (1, 175) 3.37689399719 0 42.4344780445 594.834222078 36.4736249447 20.6094958782 13.378880024 16.4241080284 121.551867962
47 1031 (2, 515) 24.9671549797 17.112251997 38.4548289776 878.21807909 84.7241530418 52.3779239655 34.9179859161 36.1370079517 103.436203957
47 1033 (4, 1032) 123.555893898 0 42.0433239937 3421.68047714 130.946725845 77.5008189678 54.406881094 54.5425601006 151.561637163
47 1039 (2, 519) 25.4463119507 28.6583750248 37.4187169075 1720.85125613 89.5875399113 58.244079113 36.7215969563 38.8657989502 139.621109962
47 1049 (1, 1048) 3.36823511124 0 41.422713995 1928.18130612 137.574926138 83.796653986 56.3470339775 56.284512043 122.843521833
47 1051 (2, 1050) 26.4829699993 19.651517868 45.9305419922 3655.876827 147.563709974 96.0477769375 59.8850090504 59.9478738308 164.065140963
53 1031 (1, 515) 3.30056500435 0 40.3987140656 874.188808918 85.7857980728 51.6840820312 33.7788119316 34.9941580296 94.562276125
53 1033 (1, 344) 3.37475180626 0 42.1613638401 1118.19635296 56.1754989624 32.170591116 22.1127848625 24.5664889812 123.133601904
53 1039 (4, 1038) 128.75376606 0 42.3466491699 3499.90740395 148.108370066 91.6432509422 56.6810379028 56.8188719749 157.162688971
53 1049 (2, 131) 26.6263930798 16.2891881466 44.7505509853 227.612349987 26.8040630817 13.2547597885 8.84786891937 11.1865780354 67.7655100822
53 1051 (1, 35) 3.58538413048 0 42.9128770828 119.764279127 11.5903630257 4.2869720459 2.72206902504 5.77641797066 110.843175173
59 1031 (2, 1030) 26.0988729 29.571803093 40.764220953 1806.68713689 144.43294692 83.133054018 56.6388161182 56.6517720222 113.606429815
59 1033 (2, 1032) 26.4372270107 16.1752181053 39.477435112 3424.69896889 133.821339846 79.0859599113 55.3500480652 55.4573829174 152.876694918
59 1039 (1, 346) 3.50889897346 0 42.1301620007 1144.19459391 66.2211549282 37.6574208736 24.2258749008 26.862637043 127.789602995
59 1049 (1, 524) 3.49753785133 0 46.7542550564 931.31445384 83.6576628685 54.8879890442 36.1833460331 37.5407409668 114.386538029
59 1051 (6, 1050) 340.737806082 0 50.8590610027 3657.59148908 147.237828016 97.9440610409 61.6300919056 61.7610058784 167.045691967
61 1031 (2, 1030) 26.7803320885 14.4328849316 39.3237268925 1807.51883817 140.794445038 81.6037940979 54.8113219738 54.8952460289 114.63957715
61 1033 (1, 172) 3.49713802338 0 41.9717011452 556.882184982 32.5424129963 17.859306097 12.4056251049 15.6402840614 113.71373105
61 1039 (2, 346) 26.8371169567 12.9601950645 39.932489872 1143.59716702 64.7874810696 37.6905319691 24.2887730598 27.0073950291 127.796509981
61 1049 (1, 131) 3.58394598961 0 41.9804959297 241.138018847 27.2799839973 13.585395813 9.18244504929 11.7287311554 62.1736550331
61 1051 (2, 525) 27.9143559933 13.4494371414 47.1955730915 1799.0368681 87.3119149208 59.9408221245 37.0416219234 39.2412991524 144.088561058
67 1031 (1, 206) 3.91885209084 0 52.6477279663 347.120032072 43.0218019485 22.6780061722 15.127286911 17.580313921 76.3081560135
67 1033 (4, 1032) 134.096107006 0 45.250025034 3424.00340819 136.832787037 83.3111450672 58.0008409023 58.0861780643 165.231782198
67 1039 (4, 519) 136.450343847 0 48.0634419918 1731.93079185 92.7122678757 61.1026449203 37.9270811081 40.0887651443 150.828109026
67 1049 (2, 1048) 28.252147913 25.33553195 47.1865801811 1930.91530204 140.494004011 89.8312158585 60.5768508911 60.5022540092 146.692815065
67 1051 (6, 525) 351.37847805 0 52.2023239136 1810.02808285 89.1810829639 63.2155652046 38.8141319752 41.0496678352 156.681602955
71 1031 (2, 1030) 27.6256408691 14.5281620026 45.2255079746 1810.97499108 151.574043989 88.7565460205 59.8582260609 59.8365380764 132.861581087
71 1033 (1, 1032) 3.95343208313 0 50.198718071 3426.3125391 139.019886017 85.5569541454 60.2732138634 60.4614450932 167.289695024
71 1039 (4, 1038) 138.031102896 0 46.4767849445 3500.21539497 152.261401176 100.342077971 64.1691389084 64.284101963 173.333698034
71 1049 (2, 1048) 28.5809562206 19.1392459869 62.1200067997 1930.13854408 139.721153021 90.0285701752 60.4005830288 60.4928820133 138.324416876
71 1051 (12, 1050) 1605.04498506 0 54.9893600941 3658.01329994 150.763504982 103.640096188 65.05519104 65.0950391293 179.343883038
73 1031 (1, 515) 3.96536183357 0 52.5016131401 896.791370153 87.6199879646 55.245100975 36.507694006 37.4233570099 97.7268669605
73 1033 (4, 344) 136.566068888 0 56.068338871 1118.65638208 56.4225199223 34.2800111771 23.7022750378 26.3462779522 134.290015936
73 1039 (2, 1038) 28.1683340073 18.6101369858 66.0098090172 3500.96217203 151.680269003 99.1801810265 62.3620550632 62.4774260521 172.066738129
73 1049 (1, 262) 4.19836497307 0 53.0114300251 463.544701815 47.4593331814 29.3611960411 19.7907979488 22.2126619816 111.745685101
73 1051 (3, 1050) 73.0911848545 0 61.3427021503 3657.11524892 147.946594 99.9625089169 61.8206460476 61.9140319824 176.659868002
79 1031 (2, 1030) 28.0833089352 14.6118350029 48.7546820641 1816.10665894 151.937754154 89.1742839813 61.5594880581 61.6000919342 120.002377987
79 1033 (2, 1032) 28.7485380173 14.8371539116 48.5228359699 3435.91469383 136.628211021 83.438808918 58.9564349651 59.083206892 165.76315403
79 1039 (2, 519) 28.6810557842 18.9813067913 54.8645069599 1737.77753615 94.2412550449 62.4475588799 39.7072019577 42.1658248901 152.492288113
79 1049 (2, 524) 29.3081350327 19.3607831001 54.4303820133 943.117833138 86.2519497871 58.1229870319 38.6791598797 40.1981239319 119.538469076
79 1051 (1, 75) 4.34184598923 0 58.2507519722 257.479576111 19.6098470688 9.43776607513 6.12182784081 10.3597848415 126.46319294
83 1031 (1, 515) 4.0912539959 0 51.7893610001 890.852858782 88.5716969967 54.5328400135 35.8300251961 37.3837749958 104.040817976
83 1033 (4, 516) 140.893224001 0 56.4979400635 1692.15706706 78.779127121 52.3922970295 34.8721659184 37.1706430912 144.386767149
83 1039 (1, 519) 4.1597340107 0 52.6167461872 1729.67454696 89.6691730022 60.8420510292 38.2768969536 40.5721669197 150.709453106
83 1049 (1, 1048) 4.38286805153 0 52.5375351906 1930.62166405 140.139024019 90.6068270206 61.4289882183 61.5544250011 97.8177120686
83 1051 (12, 525) 1655.81891418 0 50.7368738651 1808.16490483 90.469026804 63.9334301949 39.7634520531 42.0802249908 157.264993191
89 1031 (1, 1030) 4.19163489342 0 48.0736539364 1809.18429399 145.077709913 89.4882791042 61.4172151089 61.2843909264 125.242717981
89 1033 (1, 344) 4.19527411461 0 55.1668639183 1123.36447001 56.9276130199 34.6585950851 24.2520039082 27.0981919765 134.87463212
89 1039 (4, 1038) 144.13219595 0 51.1892879009 3499.2883451 150.287072897 100.67640686 64.3779089451 64.6781408787 173.753624916
89 1049 (2, 1048) 30.0455138683 21.6560359001 51.094645977 1931.95017409 140.399203062 90.6536939144 61.5278949738 61.5457229614 139.243953943
89 1051 (3, 105) 75.7097899914 0 57.9633128643 356.570049047 24.590294838 12.4036638737 7.72955703735 11.4823691845 126.789480925
97 1031 (2, 515) 29.1592049599 17.0239648819 56.8411118984 876.815485954 86.9274718761 54.7523789406 36.0924611092 37.427683115 104.384825945
97 1033 (4, 1032) 143.833199024 0 54.0068628788 3422.28538299 131.47045517 80.8923909664 55.9093539715 55.9225561619 162.878237963
97 1039 (4, 346) 146.280214071 0 52.5971469879 1148.79251695 64.1285800934 39.4111249447 25.1319100857 27.7299280167 138.474431038
97 1049 (1, 262) 4.51177382469 0 52.2129979134 473.069528103 47.8224298954 29.6424050331 20.0729560852 22.4792299271 81.4135968685
97 1051 (1, 75) 4.54785299301 0 52.7464540005 255.438245058 18.5121278763 9.08049297333 5.75088882446 9.08389306068 124.680879116
101 1031 (1, 515) 4.2726829052 0 53.6185040474 871.801414967 87.8524370193 55.2664670944 36.7472951412 38.1428909302 108.795140028
101 1033 (4, 172) 145.083712101 0 59.9728918076 556.620656967 32.7542228699 19.123925209 12.9705760479 16.5156319141 123.905539036
101 1039 (1, 1038) 4.33276891708 0 52.0965240002 3498.4409039 151.616703033 100.4760499 64.5175859928 64.6227550507 173.802403927
101 1049 (1, 1048) 4.48041009903 0 52.5227110386 1933.24209094 140.706506014 90.9769220352 62.2584171295 62.2892169952 138.720350027
101 1051 (4, 1050) 150.910624027 0 57.5589118004 3655.04084611 148.227659941 102.16608882 64.3555788994 64.403316021 178.915897131
103 1031 (1, 206) 4.27878117561 0 54.6426439285 345.709366798 42.5109751225 23.3992230892 15.5537469387 18.3719739914 86.805259943
103 1033 (1, 344) 4.38635396957 0 54.5963978767 1123.77111506 57.0235209465 34.4829790592 24.1827228069 27.4041152 134.39210391
103 1039 (4, 1038) 159.075627804 0 49.9513709545 3498.66212106 150.950024128 100.544543028 64.3753221035 64.4936380386 173.280504942
103 1049 (1, 524) 4.57122707367 0 55.2258400917 930.679123878 84.175178051 57.4427349567 38.3463571072 39.8760740757 122.066794157
103 1051 (12, 175) 1887.36505389 0 63.8837301731 594.734493971 37.2364299297 22.4598519802 14.4753220081 18.4896290302 133.381287098
