# ./benchmark.sh 18 2**10 2**11 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/18.dat', )"
1031 1033 (2, 129) 48.6119930744 37.2984468937 111.385212898 423.549138069 31.257846117 18.5239598751 12.7607960701 21.3756229877 172.945839882
1031 1039 (1, 346) 8.77848291397 0 100.154022932 1151.86692095 79.7492580414 50.5027148724 33.9096260071 39.1358380318 183.825237989
1031 1049 (1, 524) 8.89983606339 0 102.789604902 972.41834116 105.691839933 75.1725678444 51.8093018532 54.6277530193 141.37192893
1031 1051 (1, 210) 9.04469585419 0 103.426717997 720.391879082 51.8825659752 32.4782209396 21.1418480873 27.5271959305 177.593496799
1033 1031 (1, 515) 8.72618699074 0 112.661802053 930.911674023 105.383051872 71.5703368187 48.596916914 51.262485981 120.81675005
1033 1039 (2, 519) 48.9059128761 46.5891489983 99.3548781872 1736.36335707 109.960592031 77.5655519962 50.416082859 54.1954960823 199.811666012
1033 1049 (2, 262) 49.9061689377 33.541821003 105.910598993 473.279554129 58.9182319641 37.0137321949 25.6054489613 46.1747708321 166.446731091
1033 1051 (3, 525) 181.906257868 0 167.81594491 2074.47284603 112.196323872 81.7748410702 53.559773922 57.3939790726 208.384512186
1039 1031 (2, 515) 48.264029026 32.9697339535 107.008648157 1242.54379487 171.17564106 104.47614193 68.1094799042 75.6071989536 170.53770113
1039 1033 (2, 172) 65.9343900681 50.5859870911 139.519773006 809.610570192 58.6990859509 33.6105132103 23.0793788433 32.7592139244 231.294658899
1039 1049 (1, 524) 13.298828125 0 160.761115074 1325.74629402 149.059418917 76.4384989738 52.6603000164 69.5558099747 240.62213397
1039 1051 (3, 525) 192.012947083 0 145.695631027 2148.78360701 124.72385788 105.019625902 72.956182003 82.3036580086 220.301984072
