# ./benchmagma.sh m01 5 2**9 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m01.dat')"
5 7 (2, 6) 0.0183583100637
5 9 (1, 6) 0.0136656761169
5 11 (2, 5) 0.0251266161601
5 13 (4, 4) 0.06853667895
5 17 (6, 16) 0.158725976944
5 19 (1, 9) 0.0103573799133
5 23 (2, 22) 0.0213726361593
5 27 (2, 18) 0.0111587842306
5 29 (1, 14) 0.0173346996307
5 31 (12, 3) 0.344381014506
5 37 (1, 36) 0.0188233057658
5 41 (2, 20) 0.0866783459981
5 43 (4, 42) 0.65491271019
5 47 (6, 46) 1.48718730609
5 49 (4, 42) 0.460138638814
5 53 (2, 52) 0.143049319585
5 59 (6, 29) 0.367541790009
5 61 (2, 30) 0.183620373408
5 67 (1, 22) 0.0284526348114
5 71 (1, 5) 0.0346740086873
5 73 (4, 72) 1.76136819522
5 79 (4, 39) 0.306405305862
5 81 (2, 54) 0.318152666092
5 83 (2, 82) 0.272816022237
5 89 (1, 44) 0.022483030955
5 97 (1, 96) 0.0263226032257
5 101 (6, 25) 0.803210655848
5 103 (3, 102) 0.816309690475
5 107 (2, 106) 0.499485095342
5 109 (1, 27) 0.0598007837931
5 113 (2, 112) 0.537917375565
5 121 (6, 55) 1.58802175522
5 127 (2, 42) 0.695180018743
5 131 (2, 65) 0.908924976985
5 137 (2, 136) 0.867972612381
5 139 (4, 69) 0.691980918248
5 149 (8, 37) 4.87020778656
5 151 (6, 75) 1.84613903364
5 157 (3, 156) 1.2765827179
5 163 (4, 54) 0.831495682398
5 167 (7, 166) 3.2727060318
5 169 (4, 52) 1.00031312307
5 173 (2, 172) 0.198546012243
5 179 (1, 89) 0.061088959376
5 181 (2, 15) 0.233902692795
5 191 (2, 19) 0.251020352046
5 193 (4, 192) 1.25997654597
5 197 (18, 196) 63.0264956951
5 199 (4, 33) 1.25600703557
5 211 (22, 35) 2.45160206159
5 223 (12, 222) 31.6049776872
5 227 (3, 226) 1.00730633736
5 229 (1, 114) 0.101434707642
5 233 (2, 232) 0.37136443456
5 239 (1, 119) 0.100620985031
5 241 (2, 40) 0.399118264516
5 243 (2, 162) 2.8465953668
5 251 (2, 25) 0.444679339727
7 5 (2, 4) 0.00925064086914
7 9 (1, 3) 0.00868368148804
7 11 (2, 10) 0.01233903567
7 13 (2, 12) 0.0133732954661
7 17 (3, 16) 0.0338173707326
7 19 (12, 3) 1.16499495506
7 23 (1, 22) 0.00992600123088
7 25 (4, 4) 0.0893492698669
7 27 (1, 9) 0.0107975800832
7 29 (1, 7) 0.0102722644806
7 31 (1, 15) 0.011386235555
7 37 (2, 9) 0.0422724088033
