# ./benchmagma.sh m02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
521 5 (1, 1) 0.0131719907125
521 7 (6, 6) 0.0714256763458
521 9 (2, 2) 0.0323443412781
521 11 (2, 5) 0.0339949925741
521 13 (1, 1) 0.0165510177612
521 17 (6, 16) 0.206774632136
521 19 (2, 6) 0.0621739228566
521 23 (1, 22) 0.0191152890523
521 25 (1, 5) 0.0182163715363
521 27 (4, 6) 0.151117642721
521 29 (1, 2) 0.0198760032654
521 31 (5, 3) 0.357089678446
521 37 (4, 18) 0.360924402873
521 41 (1, 40) 0.0334676106771
521 43 (4, 42) 0.475828011831
521 47 (7, 23) 1.71226159732
521 49 (2, 6) 0.117743968964
521 53 (2, 13) 0.142190376918
521 59 (6, 29) 1.54461503029
521 61 (6, 20) 1.6284913222
521 67 (4, 22) 0.722804307938
521 71 (8, 35) 5.51694361369
521 73 (2, 8) 0.188779910405
521 79 (2, 78) 0.215173403422
521 81 (2, 18) 0.22189394633
521 83 (2, 41) 0.243945121765
521 89 (2, 88) 0.277988751729
521 97 (4, 6) 1.63620408376
521 101 (6, 25) 4.97908393542
521 103 (3, 102) 0.98494942983
521 107 (6, 106) 5.64036830266
521 109 (1, 108) 0.105606238047
521 113 (2, 8) 0.465027014414
521 121 (6, 55) 7.45192670822
521 125 (2, 25) 0.581334988276
521 127 (4, 63) 3.06097666423
521 131 (1, 130) 0.123033761978
521 137 (3, 136) 2.31075898806
521 139 (2, 138) 0.787911335627
521 149 (1, 148) 0.170518000921
521 151 (6, 25) 12.6413470109
521 157 (5, 12) 8.26474396388
521 163 (4, 162) 5.39832234383
521 167 (7, 166) 23.9461346467
521 169 (4, 13) 8.88135695457
521 173 (2, 172) 1.93001405398
521 179 (1, 178) 0.280078649521
521 181 (1, 20) 0.349849621455
521 191 (1, 38) 0.392310063044
521 193 (4, 192) 12.1666582425
521 197 (9, 98) 80.556261301
521 199 (1, 33) 0.319463650386
521 211 (10, 105) 114.572323322
521 223 (6, 222) 44.0416333675
521 227 (8, 226) 103.726133744
521 229 (6, 228) 47.2457950115
521 233 (2, 116) 3.47181463242
521 239 (1, 238) 0.579881350199
521 241 (3, 240) 10.1970906258
521 243 (8, 54) 116.752218962
521 251 (1, 250) 0.546089967092
523 5 (2, 4) 0.0269220670064
523 7 (6, 6) 0.035986661911
523 9 (2, 1) 0.0335759321849
523 11 (2, 10) 0.0430067380269
523 13 (1, 3) 0.0145376523336
523 17 (1, 4) 0.0122886498769
523 19 (10, 18) 0.534634033839
523 23 (1, 22) 0.0154856840769
523 25 (4, 20) 0.144296248754
523 27 (2, 3) 0.0847793420156
523 29 (1, 1) 0.0244890054067
523 31 (5, 10) 0.33795038859
523 37 (2, 36) 0.163262049357
523 41 (1, 10) 0.0223858356476
523 43 (2, 6) 0.0863680839539
523 47 (1, 23) 0.0242269039154
523 49 (6, 42) 0.0947100321452
523 53 (2, 13) 0.113857984543
523 59 (2, 29) 0.194795608521
523 61 (2, 60) 0.185176610947
523 67 (4, 33) 1.22102530797
523 71 (8, 14) 9.20918504397
523 73 (4, 36) 1.50149567922
523 79 (4, 39) 1.71770405769
523 81 (1, 9) 0.0809123516083
523 83 (1, 41) 0.0807202657064
523 89 (2, 11) 0.434757947922
523 97 (4, 96) 2.48017660777
523 101 (3, 100) 1.33671824137
523 103 (6, 17) 9.43699502945
523 107 (1, 106) 0.148507992427
523 109 (5, 54) 5.44152800242
523 113 (1, 16) 0.159408251444
523 121 (3, 110) 2.19468903542
523 125 (1, 100) 0.139767408371
523 127 (1, 63) 0.174125591914
523 131 (2, 2) 1.00212168694
523 137 (1, 68) 0.214719613393
523 139 (4, 23) 6.35693740845
523 149 (8, 74) 45.1656586329
523 151 (2, 50) 1.48026609421
523 157 (5, 39) 13.4059390227
523 163 (2, 81) 1.69267209371
523 167 (14, 83) 179.198149681
523 169 (4, 39) 9.4501183033
523 173 (1, 86) 0.343564033508
523 179 (1, 178) 0.407250324885
523 181 (6, 45) 30.0510373116
523 191 (2, 190) 2.16400233905
523 193 (1, 96) 0.371739943822
523 197 (9, 28) 110.069849412
523 199 (4, 11) 11.9234817028
523 211 (10, 21) 104.93238465
523 223 (12, 222) 172.037774483
523 227 (24, 113) 670.578836918
523 229 (2, 228) 2.86584321658
523 233 (2, 232) 3.22838433584
523 239 (1, 119) 0.524949391683
523 241 (3, 40) 8.84623670578
523 243 (1, 27) 0.569975296656
523 251 (2, 125) 3.78923034668
541 5 (2, 1) 0.026021639506
541 7 (4, 3) 0.0414293607076
541 9 (1, 1) 0.0135097503662
541 11 (1, 10) 0.0128392378489
541 13 (2, 4) 0.0324316819509
541 17 (3, 16) 0.0560666720072
541 19 (2, 9) 0.115802605947
541 23 (1, 11) 0.0147829850515
541 25 (1, 5) 0.0909663041433
541 27 (34, 1) 18.0820629597
541 29 (2, 28) 0.0982177257538
541 31 (10, 15) 1.4382010301
541 37 (4, 12) 0.296449025472
541 41 (2, 20) 0.131473223368
541 43 (1, 21) 0.0360949834188
541 47 (6, 23) 1.2202796936
541 49 (4, 21) 0.589317321777
541 53 (2, 26) 0.123495260874
541 59 (12, 58) 8.69850436846
541 61 (3, 20) 0.416768709819
541 67 (4, 22) 0.757177352905
541 71 (4, 70) 0.874894539515
541 73 (4, 24) 0.90256969134
541 79 (4, 13) 1.30895733833
541 81 (2, 3) 0.252800782522
541 83 (2, 82) 0.325273911158
541 89 (1, 88) 0.0714883009593
541 97 (4, 96) 2.49797534943
541 101 (3, 5) 1.08264056842
541 103 (3, 51) 1.26700496674
541 107 (3, 106) 1.33865491549
541 109 (5, 9) 4.70271531741
541 113 (1, 112) 0.12759009997
541 121 (6, 110) 11.0241030057
541 125 (1, 25) 0.156399647395
541 127 (4, 42) 5.2530066967
541 131 (2, 130) 0.803740421931
541 137 (6, 68) 16.2226566474
541 139 (2, 69) 1.19751095772
541 149 (8, 148) 44.8654503028
541 151 (3, 75) 3.27727635701
541 157 (10, 156) 59.3543589115
541 163 (2, 162) 1.63383197784
541 167 (7, 166) 28.5264469783
541 169 (1, 52) 0.270841677984
541 173 (1, 43) 0.269514242808
541 179 (1, 89) 0.380605856578
541 181 (3, 180) 4.19511238734
541 191 (2, 38) 1.84458939234
541 193 (2, 192) 2.04017400742
541 197 (9, 196) 95.7495069504
541 199 (2, 198) 2.4277586937
541 211 (5, 105) 27.637785991
541 223 (3, 74) 9.47841238976
541 227 (24, 113) 912.30416584
541 229 (4, 57) 20.1449943384
541 233 (1, 232) 0.632118940353
541 239 (2, 238) 4.46854829788
541 241 (2, 120) 4.06958524386
541 243 (2, 9) 4.32073926926
541 251 (2, 125) 4.86993265152
547 5 (2, 4) 0.0435787041982
547 7 (1, 1) 0.0129423141479
547 9 (2, 3) 0.03755235672
547 11 (1, 10) 0.0115943749746
547 13 (2, 1) 0.036870320638
547 17 (3, 16) 0.0661363601685
547 19 (10, 18) 0.554201761882
547 23 (2, 11) 0.0819662412008
547 25 (4, 20) 0.168445428212
547 27 (1, 9) 0.0733740329742
547 29 (1, 7) 0.0181970596313
547 31 (10, 15) 1.62536740303
547 37 (2, 12) 0.186362107595
547 41 (1, 8) 0.0197992324829
547 43 (4, 21) 0.302597681681
547 47 (1, 46) 0.0235477288564
547 49 (4, 7) 0.395742019018
547 53 (1, 26) 0.0280192693075
547 59 (12, 29) 6.65225688616
547 61 (6, 60) 1.60169935226
547 67 (2, 66) 0.185118675232
547 71 (8, 35) 5.54085469246
547 73 (2, 18) 0.186419963837
547 79 (1, 39) 0.05402302742
547 81 (1, 27) 0.240191698074
547 83 (2, 41) 0.239916642507
547 89 (2, 88) 0.281932353973
547 97 (4, 6) 1.71060331662
547 101 (2, 100) 0.378183762232
547 103 (1, 51) 0.0926396846771
547 107 (2, 53) 0.495187044144
547 109 (10, 36) 25.5823954741
547 113 (2, 8) 0.646090984344
547 121 (3, 110) 2.00114631653
547 125 (1, 100) 0.126818021139
547 127 (1, 126) 0.152177651723
547 131 (2, 130) 0.800533056259
547 137 (6, 2) 13.7391843001
547 139 (1, 138) 0.19068090121
547 149 (4, 74) 6.21265594165
547 151 (6, 25) 16.0624669393
547 157 (2, 78) 1.26396520933
547 163 (4, 3) 7.86196041107
