# ./benchmagma.sh m05 2**30 2**30+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**30,2**30+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m05.dat')"
1073741827 5 (1, 4) 0.0202729701996
1073741827 7 (1, 3) 0.0274453957876
1073741827 9 (2, 3) 0.0792686144511
1073741827 11 (1, 5) 0.0433770020803
1073741827 13 (2, 12) 0.13571302096
1073741827 17 (6, 2) 2.26276898384
1073741827 19 (10, 18) 6.63063764572
1073741827 23 (1, 11) 0.0711646874746
1073741827 25 (2, 20) 0.330604394277
1073741827 27 (1, 9) 0.0939737161001
1073741827 29 (8, 7) 10.0696866512
1073741827 31 (5, 5) 4.19654130936
1073741827 37 (4, 12) 3.75390100479
1073741827 41 (2, 20) 0.902304331462
1073741827 43 (4, 6) 5.13513875008
1073741827 47 (1, 23) 0.361833333969
1073741827 49 (2, 21) 1.41146834691
1073741827 53 (1, 26) 0.459991057714
1073741827 59 (1, 1) 0.604277610779
1073741827 61 (3, 60) 5.53599063555
1073741827 67 (24, 66) 684.606956005
1073741827 71 (8, 14) 70.3450386524
1073741827 73 (1, 72) 0.506745258967
1073741827 79 (2, 3) 3.67411255836
1073741827 81 (1, 27) 436.250909567
1073741827 83 (1, 82) 0.673889319102
1073741827 89 (1, 22) 0.780564864477
1073741827 97 (2, 6) 6.52315227191
1073741827 101 (6, 50) 114.933689356
1073741827 103 (6, 102) 135.935866038
1073741827 107 (2, 53) 11.7260614236
1073741827 109 (10, 27) 413.308448434
1073741827 113 (1, 14) 1.9442952474
1073741827 121 (1, 55) 2.38888001442
1073741827 125 (1, 100) 2.45097374916
1073741827 127 (4, 126) 69.9429552555
1073741827 131 (1, 65) 2.39750043551
1073741827 137 (2, 136) 13.7379364173
1073741827 139 (1, 46) 2.1689590613
1073741827 149 (4, 148) 80.4113562902
1073741827 151 (2, 15) 15.7820180257
1073741827 157 (2, 3) 17.400752306
1073741827 163 (4, 54) 97.7397426764
1073741827 167 (14, 83) 1586.92981815
1073741827 169 (4, 156) 149.064620018
1073741827 173 (2, 172) 28.2869276206
1073741827 179 (1, 89) 5.09892702103
1073741827 181 (6, 90) 443.353925467
1073741827 191 (2, 190) 36.4500606855
1073741827 193 (4, 192) 208.583605925
1073741827 197 (1, 98) 7.86262241999
1073741827 199 (4, 11) 208.653730631
1073741827 211 (5, 210) 391.301161051
1073741827 223 (6, 111) 482.75205493
1073741827 227 (4, 113) 305.173174024
1073741827 229 (4, 114) 294.871363958
1073741827 233 (1, 232) 10.0482334296
1073741827 239 (1, 119) 9.63157200813
1073741827 241 (6, 120) 728.505128145
1073741827 243 (2, 81) 66.7755063375
1073741827 251 (2, 125) 70.2612742583
1073741831 5 (2, 1) 0.0267780621847
1073741831 7 (4, 1) 0.217273314794
1073741831 9 (4, 2) 0.547017733256
1073741831 11 (2, 10) 0.114614963531
1073741831 13 (1, 12) 0.04025999705
1073741831 17 (1, 16) 0.0634582837423
1073741831 19 (10, 2) 9.00758592288
1073741831 23 (2, 22) 0.446349143982
1073741831 25 (1, 5) 0.101473649343
1073741831 27 (4, 2) 2.6401600043
1073741831 29 (1, 28) 0.145247062047
1073741831 31 (5, 5) 5.54707201322
1073741831 37 (4, 36) 5.33311343193
1073741831 41 (2, 40) 1.16316270828
1073741831 43 (2, 7) 1.57228597005
1073741831 47 (3, 46) 4.52082800865
1073741831 49 (1, 7) 0.517019669215
1073741831 53 (1, 13) 0.595834414164
1073741831 59 (12, 29) 159.310415347
1073741831 61 (6, 60) 37.9151136875
1073741831 67 (4, 66) 21.274657011
1073741831 71 (4, 35) 23.5131129424
1073741831 73 (2, 72) 4.44389804204
1073741831 79 (1, 78) 0.873457034429
1073741831 81 (2, 2) 5.64182098707
1073741831 83 (2, 82) 6.08541202545
1073741831 89 (2, 22) 6.29440569878
1073741831 97 (1, 96) 1.25715597471
1073741831 101 (3, 25) 22.2576646805
1073741831 103 (3, 17) 25.3333770434
1073741831 107 (3, 53) 27.893348376
1073741831 109 (10, 108) 423.084845424
1073741831 113 (2, 56) 11.8204080264
1073741831 121 (2, 110) 14.1952823003
1073741831 125 (1, 25) 15.1480620702
1073741831 127 (2, 63) 17.1606930892
1073741831 131 (1, 26) 2.69512669245
1073741831 137 (2, 136) 17.7581280867
1073741831 139 (4, 23) 97.0522442659
1073741831 149 (8, 148) 525.473459959
1073741831 151 (1, 5) 3.75923188527
1073741831 157 (5, 78) 216.71249032
1073741831 163 (4, 162) 122.213041306
1073741831 167 (2, 166) 27.4973123868
1073741831 169 (2, 156) 28.4657042821
1073741831 173 (2, 86) 29.2744410038
1073741831 179 (1, 178) 5.3633453846
1073741831 181 (2, 10) 29.9886026382
1073741831 191 (2, 190) 26.054019928
1073741831 193 (4, 192) 165.142175436
1073741831 197 (18, 49) 4011.47338104
1073741831 199 (4, 198) 160.171578964
1073741831 211 (10, 21) 1744.77954388
1073741831 223 (3, 222) 99.9269913832
1073741831 227 (4, 226) 217.839098056
1073741831 229 (6, 228) 569.508519888
1073741831 233 (2, 116) 41.02191933
1073741831 239 (1, 238) 8.28842504819
1073741831 241 (1, 240) 7.71159164111
1073741831 243 (20, 6) 8172.33858395
1073741831 251 (2, 50) 48.878354311
1073741833 5 (4, 4) 0.0546936988831
1073741833 7 (2, 6) 0.0464467207591
1073741833 9 (4, 1) 0.597791671753
1073741833 11 (1, 2) 0.0286933581034
1073741833 13 (1, 4) 0.036194006602
1073741833 17 (8, 16) 5.0885023276
1073741833 19 (10, 1) 8.24167259534
1073741833 23 (2, 11) 0.295912424723
1073741833 25 (4, 20) 1.56977542241
1073741833 27 (10, 1) 21.8511574268
1073741833 29 (1, 14) 0.140655676524
1073741833 31 (5, 15) 6.53023592631
1073741833 37 (2, 36) 1.02799797058
1073741833 41 (1, 20) 0.343936681747
1073741833 43 (2, 21) 1.56767265002
1073741833 47 (6, 46) 20.8078043461
1073741833 49 (4, 6) 9.27619393667
1073741833 53 (2, 13) 2.29172070821
1073741833 59 (6, 29) 34.7109662692
1073741833 61 (2, 20) 2.97613533338
1073741833 67 (4, 66) 18.0227169991
1073741833 71 (1, 35) 0.722151199977
1073741833 73 (1, 24) 0.661700963974
1073741833 79 (1, 26) 0.85817193985
1073741833 81 (1, 1) 0.825988372167
