# ./benchmagma.sh m09 5 2**9 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m09.dat')"
5 1031 (2, 515) 15.0738289356
5 1033 (4, 1032) 73.9868478775
5 1039 (4, 173) 72.9514629841
5 1049 (1, 524) 3.99787020683
5 1051 (12, 525) 905.491962194
7 1031 (1, 206) 3.02643895149
7 1033 (4, 172) 76.2228960991
7 1039 (4, 519) 80.2656788826
7 1049 (1, 1048) 3.08198213577
7 1051 (12, 1050) 1683.39994907
11 1031 (1, 515) 4.43264603615
11 1033 (4, 1032) 106.917484999
11 1039 (4, 1038) 107.723701954
11 1049 (2, 524) 22.0982441902
11 1051 (12, 525) 2185.99912405
13 1031 (1, 515) 4.81791090965
13 1033 (1, 1032) 5.11175894737
13 1039 (1, 519) 5.20184803009
13 1049 (2, 262) 23.272439003
13 1051 (6, 1050) 275.060169935
17 1031 (2, 206) 27.1549730301
17 1033 (1, 516) 5.95638108253
17 1039 (1, 519) 6.0045940876
17 1049 (1, 1048) 5.89394688606
17 1051 (3, 1050) 75.2277700901
19 1031 (2, 206) 28.2157468796
19 1033 (4, 129) 149.428179026
19 1039 (4, 519) 152.068917036
19 1049 (2, 131) 28.8891499043
19 1051 (2, 210) 30.1697900295
23 1031 (2, 515) 29.2418460846
23 1033 (1, 1032) 6.2962641716
23 1039 (4, 346) 161.667592049
23 1049 (2, 1048) 30.6402020454
23 1051 (2, 1050) 31.7954900265
29 1031 (1, 103) 6.24144887924
29 1033 (4, 1032) 215.756796122
29 1039 (4, 519) 172.588973999
29 1049 (2, 262) 32.9882590771
29 1051 (12, 525) 2426.99892211
31 1031 (1, 206) 6.29376602173
31 1033 (2, 516) 32.820098877
31 1039 (4, 1038) 175.797894001
31 1049 (1, 1048) 6.49507403374
31 1051 (4, 1050) 182.476699114
37 1031 (1, 1030) 7.13872289658
37 1033 (2, 86) 38.1947021484
37 1039 (4, 173) 264.266274214
37 1049 (1, 1048) 7.30250096321
37 1051 (3, 1050) 104.728558064
41 1031 (2, 1030) 40.842815876
41 1033 (2, 516) 39.123980999
41 1039 (2, 346) 39.3416938782
41 1049 (1, 1048) 7.6050260067
