# ./benchmark.sh 17 3 2**9 2**9 2**9+2**8 2 3 600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta6, Release Date: 2016-12-09
# ffisom revision d34a50562b548727073fe60b8c6a1417b66a3b70
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**9, 2**9+2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/17.dat', )"
3 521 (32, 520) 448.185502172 968.720084906 0 0 236.90117391 585.105190992 14.9108300209 10.9090775649 10.9125858943 7.45730765661 7.4701209863 17.2352712949
3 523 (5, 58) 5.92155543963 10.3651497364 0 0 24.7606867154 28.3372822603 2.42268164953 1.47610195478 1.47144206365 0.99843732516 1.12575729688 11.4087730249
3 529 (11, 253) 10.0705236594 60.6015156905 0 0 114.688386758 185.616474787 5.92697366079 5.93897294998 5.93095032374 4.11131326358 4.25802365939 14.4204657078
3 541 (11, 135) 141.314300934 64.5538803736 0 0 65.0545393626 81.3678429921 4.90738725662 4.0272582372 4.03359746933 2.65359203021 2.8353442351 14.1244092782
3 547 (5, 14) 6.29057033857 11.4225282669 0 0 5.46758906047 9.8205593427 0.954278707504 0.420087655385 0.420130252838 0.263126691182 0.380031665166 11.7018799782
3 557 (2, 556) 0.848762671153 1.9085000356 1.18271787961 0 307.372267604 791.630750895 19.0341194471 15.3331890106 15.3395609856 9.79383802414 9.70219969749 21.8183236122
3 563 (7, 281) 11.4063473543 25.3794302146 0 0 154.080749671 264.913701932 11.075488011 9.91103609403 9.9117436409 6.10976060232 6.29242865245 18.5664289792
3 569 (2, 568) 10.6643162568 2.06184228261 1.39565793673 0 333.402036071 865.169892073 20.1102396647 16.031106631 16.0295040607 10.1620106697 10.200908343 22.8323082924
3 571 (5, 570) 6.59749293327 12.4872663021 0 0 338.441919446 878.915043116 21.642727375 17.3028070132 17.3367969195 10.7548556328 10.8930340608 23.7482947508
3 577 (4, 48) 4.33176104228 7.95403337479 0 0 26.2507264614 29.8411176205 2.31945363681 1.3364803791 1.32776037852 0.912713686625 1.06287988027 14.3563218911
3 587 (7, 293) 14.1411863963 28.6951150099 0 0 181.588712374 314.82795155 12.3045915763 11.0830999215 11.0719939868 6.92455101013 7.12913497289 20.6733839512
3 593 (1, 592) 5.66509064039 0.169751326243 0 0 196.315594912 605.990643978 20.2828623454 15.0066106319 15.0051339467 10.2100857099 10.2231597106 17.2092726231
3 599 (8, 299) 28.0003253619 40.4901210467 0 0 197.810789744 343.124435067 13.239961942 12.3399463495 12.3369166851 7.39088773727 7.62045264244 22.0387120247
3 601 (2, 75) 1.06699164708 2.22453300158 1.48679018021 0 47.314724048 52.2333893776 3.61566964785 2.46800406774 2.46480464935 1.62058329582 1.81277060509 16.2880964279
3 607 (17, 606) 13.3572429816 224.292415301 0 0 428.439313531 1168.91491103 25.7424709797 20.5329260031 20.5325199763 12.567287604 12.5810603301 27.3626993497
3 613 (5, 102) 8.57510900497 14.6865416368 0 0 68.9140297572 82.8760266304 4.96608599027 3.56729888916 3.57578969002 2.35390965144 2.5641207695 18.2939436436
3 617 (8, 616) 28.7825539907 42.3967537085 0 0 456.955910563 1259.66250706 25.067056338 19.0558652878 19.0566256046 12.3970983028 12.4229113261 28.0436972777
3 619 (4, 206) 4.93154740334 9.46469004949 0 0 148.259975433 211.283214728 10.3064156373 8.53034734726 8.52737959226 5.41649325689 5.69172700246 21.6505970955
3 625 (4, 500) 196.207211336 11.1292029222 0 0 370.699164987 1045.74277186 18.1628272533 19.4054756959 19.3989886443 13.9712049166 14.0557853381 30.3299316565
3 631 (1, 630) 0.408153772354 0.22883828481 0 0 495.424185395 1359.56197119 28.7475795746 22.3523583412 22.3674097061 13.8464090029 13.778080066 30.3009185791
3 641 (1, 640) 7.28728795052 0.21271165212 0 0 262.991568406 1014.33938193 25.350740989 16.8979772727 16.9623565674 12.0398072402 12.0778676669 21.9843300184
3 643 (1, 214) 0.465874989827 0.221038659414 0 0 171.277450244 250.895322084 11.1799886227 8.0185760657 8.02833604813 5.42854038874 6.21718565623 23.1995830536
3 647 (1, 323) 0.483106295268 0.241970698039 0 0 264.358194033 473.910225034 16.2306892872 12.4249238968 12.4045049349 8.09280395508 8.34513243039 26.1386899153
3 653 (1, 652) 7.54430365562 0.209841251373 0 0 282.071763674 1083.94245696 27.1717728774 20.1871410211 20.1583907604 13.8067007065 14.4261860053 23.8997460206
3 659 (1, 329) 0.381861448288 0.234989007314 0 0 140.929929654 394.931186914 15.832570076 12.3923859596 12.3769439856 8.30310138067 8.43650062879 20.9326599439
3 661 (2, 22) 1.44612526894 2.77875526746 1.79359078407 0 16.6621085803 23.6498470306 1.72424165408 0.942420959473 1.03843800227 0.590654929479 0.779825925827 19.4314901034
3 673 (4, 168) 6.32273666064 12.0799889565 0 0 151.787149429 212.048333645 9.87586832047 6.76147421201 6.82204564412 4.66339874268 5.16439406077 25.3637009462
3 677 (8, 676) 37.580303669 53.928689003 0 0 649.463757992 1876.31662297 31.4027210077 23.5899662971 23.0966729323 15.0436573823 14.6176127593 34.5783396562
3 683 (1, 31) 0.399670283 0.262566010157 0 0 14.231806914 26.8724560738 2.66506926219 1.33358502388 1.33406297366 0.843004624049 0.969214200974 11.0401110649
3 691 (5, 690) 11.0685786406 20.0486586889 0 0 701.056498051 2068.19984889 36.8015476863 25.7449963093 25.9292763074 16.3369076252 16.3702560266 37.2145412763
3 701 (32, 700) 18.8137455781 1809.18134689 0 0 742.715352058 2228.55557609 36.918466568 28.9662636916 28.9557379882 18.0002601147 18.0277323723 39.7515246073
3 709 (4, 177) 7.81468145053 13.1048113505 0 0 186.060216268 261.337937991 10.7090069453 7.88479892413 7.89831256866 5.20114604632 5.57999897003 28.3847163518
3 719 (1, 359) 0.466785987218 0.303605318069 0 0 190.227295876 392.454841018 21.489893357 17.8379906813 17.8440538247 11.3395272891 11.5476233164 27.738935709
3 727 (4, 242) 7.77595567703 13.6942965984 0 0 276.060323636 420.905216455 16.6112010479 13.3270166715 13.3364005884 8.19393404325 8.64952206612 32.8106757005
3 733 (1, 183) 0.6095003287 0.401743650436 0 0 213.029915651 306.600246429 12.4290993214 9.69647304217 9.71703894933 6.08624164263 6.49406488736 31.559876283
3 739 (4, 738) 7.88305767377 14.4285809199 0 0 924.413241863 2916.8461411 43.403415362 29.9788213571 29.9298590819 18.9698249499 18.9729696115 44.2052445412
3 743 (1, 371) 0.493146260579 0.318190018336 0 0 227.874305566 488.647888541 22.77708896 19.5055743853 19.5034801165 12.0539429983 12.3230773608 29.7764603297
3 751 (10, 750) 21.4953420162 111.424664021 0 0 979.242758036 3095.895612 45.7041540146 35.0162212849 35.0374313196 20.5672283967 20.6767963568 47.0143310229
3 757 (16, 9) 233.783608913 328.85314548 0 0 7.26970362663 18.5510604382 1.3307770888 0.57732629776 0.582127730052 0.355904658635 0.579929192861 28.0122768879
3 761 (1, 152) 0.488093694051 0.3448026975 0 0 96.3753980796 180.753344615 10.91400973 8.76658837001 9.00514570872 5.59752607346 5.89181208611 26.0936479568
5 521 (32, 10) 1147.26789689 1353.59610486 0 5.61028695107 3.76995531718 11.4020043214 0.627671321233 0.333969990412 0.331558068593 0.228197336197 0.383562644323 11.8861354987
5 523 (12, 522) 22.1066401005 156.866590738 0 2.66410764058 243.897771358 1165.65295291 18.1689340274 13.7249236902 13.8455190659 9.18289001783 9.05586226781 20.8882297675
5 529 (22, 506) 84.065985918 601.462182045 0 414.133931994 239.118052721 1153.89711499 11.1420090199 12.3888380527 12.4347829819 8.15162960688 8.32590802511 20.3027799924
5 541 (9, 135) 110.223310312 87.6041603883 0 2.94037540754 66.0528432528 143.883742332 5.82635037104 4.56620955467 4.73502635956 3.0681087176 3.29586704572 16.4765230815
5 547 (1, 546) 0.809034268061 0.276362419128 0 0 291.870441039 1435.98451614 19.9831989606 14.492026329 14.4964977105 9.39571205775 9.42609771093 22.5017536481
5 557 (6, 556) 39.4878497918 23.5221486886 0 0 315.464664936 1535.81181908 20.4826287429 16.805511713 16.6930529277 10.5804254214 10.6092945735 24.2008423011
5 563 (14, 562) 347.386850595 249.302296638 0 0 321.759611011 1605.48470306 22.5155797005 17.5506985982 17.0976999601 11.1286063194 11.2606827418 24.967142264
5 569 (3, 71) 8.42533691724 6.04527894656 0 0 39.5879116853 74.8032460213 3.72769459089 2.45947662989 2.4591507117 1.6604013443 1.89168699582 16.8170456886
5 571 (1, 285) 0.784430980682 0.320997079213 0 0 168.911490679 483.535344481 13.0624893506 11.6974956195 11.6818032265 7.00635623932 7.60205626488 22.050315698
5 577 (1, 576) 0.900854349136 0.430918375651 0 3.54070496559 359.679476023 1756.74190593 21.7463963826 15.8255322774 15.470750014 10.4676456451 10.4777053197 25.7823770046
5 587 (7, 586) 62.6919980844 61.0022706985 0 0 384.457855105 1934.78652883 24.8476109505 18.8626845678 18.8854036331 11.9833690325 12.0332694054 27.7000826995
5 593 (2, 592) 3.53749005 2.80538209279 1.90767208735 3.63396231333 211.593591372 783.57964015 23.1593349775 18.117122968 17.5203293959 11.929117918 11.9573029677 23.926355044
5 599 (8, 299) 106.311259031 85.97067372 0 0 204.141170661 612.556683064 15.7594409784 14.0002003511 13.6646834215 8.36726800601 9.51541002591 26.2064700127
5 601 (6, 12) 47.8651573658 27.242985328 0 3.51272336642 6.93038765589 18.3390373389 1.06870436668 0.506937583288 0.507334709167 0.318305015564 0.53950659434 17.7971710364
5 607 (6, 606) 49.9774649938 29.272938331 0 0 445.688377976 2289.01282191 28.9754347006 22.8819233576 23.0887059371 14.7511957486 14.3524823984 34.5793406169
5 613 (22, 612) 33.3133212725 855.605964899 0 5.84838954608 461.310599566 2411.93561506 27.910099268 22.1082812945 20.7463186582 13.7366739909 13.3383306662 31.3452400366
5 617 (8, 616) 117.78823336 94.0560940901 0 4.03851660093 464.709306479 2442.74752283 26.8694632848 20.4050199986 20.547194322 13.3134469986 13.4663740794 31.6270627181
5 619 (4, 309) 21.221562624 12.2096766631 0 4.29550909996 232.460775296 704.119704962 16.5826989015 13.3818699519 13.3204773267 8.4481086731 9.1427210172 28.0317983627
5 631 (12, 35) 33.9134932359 237.236843348 0 4.25939631462 26.8474090099 45.8426276048 2.97509598732 1.69033900897 1.68855722745 1.05621234576 1.32091172536 22.6340530713
5 641 (2, 64) 4.58528431257 4.36173097293 2.55473661423 0 27.2586720785 47.4697072506 4.76745327314 2.82661938667 2.40485707919 1.71307428678 1.93473760287 18.3710946242
5 643 (4, 214) 22.6561625799 14.2256539663 0 0 179.580988646 458.087986469 13.9018712838 8.93826603889 9.7517054081 6.92034467061 6.89733370145 29.2830415567
5 647 (7, 646) 81.5206275781 76.3211586475 0 0 558.582563519 3069.82127118 32.9004606406 23.1464567184 22.4387126764 16.1210723718 15.1285692851 35.4188556671
5 653 (2, 652) 4.5287202994 3.48800206184 2.441918691 3.93166828156 302.262166977 1050.228374 32.4069554011 23.0887347062 22.3700282574 15.0288419724 15.4393883546 30.3346350193
5 659 (1, 329) 1.10566004117 0.349935293198 0 0 152.585563898 445.428050518 18.6311813196 14.7788100243 14.7138453325 9.41600124041 9.51329008738 26.4471512636
5 661 (2, 330) 4.54600596428 4.41930937767 2.52961826324 0 300.832552552 935.592837095 20.1969308853 14.4098966916 14.2620921135 9.58666666349 10.3570543925 33.6184390386
5 673 (4, 672) 26.2487620513 15.1202156544 0 5.36246728897 655.581983089 3674.11595178 34.9459822973 24.527693669 23.9948393504 15.5298299789 15.4464126428 38.5631890297
5 677 (8, 676) 142.383795023 115.220462322 0 4.97496700287 669.680134058 3720.86540198 34.9644526641 26.2292042573 26.006459713 16.8546343644 16.726684014 42.2869609992
5 683 (2, 682) 5.35841870308 3.80713526408 2.94843268394 4.60765369733 354.196945548 1557.67387795 36.2664603392 26.7863570054 26.3120436668 17.0190096696 17.5295054118 33.4756720861
5 691 (4, 115) 42.215600729 16.364456892 0 5.04819726944 115.067536592 238.782043219 8.72814528147 5.97733902931 5.90109372139 3.78030467033 4.20482929548 29.4307233493
5 701 (9, 350) 188.195365111 161.279693047 0 15.2642466227 373.366533995 1160.40921903 22.4456953208 19.3244609833 19.2215046883 11.7723666827 12.1665082773 38.2830808957
5 709 (4, 354) 28.9662482738 17.476530393 0 5.4555970033 398.232391953 1265.18822098 23.2704790433 17.1448482672 17.3699526787 11.0750099818 11.3986670176 38.4597365856
5 719 (1, 359) 1.10970632235 0.434722661972 0 0 201.394333998 797.305288076 23.9105197589 19.606453975 20.5945460796 12.5688643456 12.5913777351 26.59333992
5 727 (1, 726) 1.52488994598 0.468119621277 0 5.77579696973 872.825206995 6267.5187552 46.7937207222 35.0288182894 36.2439406713 22.1057562828 22.0198250612 52.5204073588
